{'短评内容': '虽然离酒吧一条街很近但闹中取静很好的休息地很满意', '短评打分': 3}
{'短评内容': '这个价位，里面的设施还是相当不错的。但原想住在新南门车站 附近的，但来了以后才知道，35路两站地，另还得走780+480米，出门不是很方便。', '短评打分': 5}
{'短评内容': '卫生好，舒适，值得推荐！就是早餐素面，鸡蛋等，营养不够的。', '短评打分': 5}
{'短评内容': '外表一般 里面和豪华 很不错 早餐也不错 ', '短评打分': 5}
{'短评内容': '外面看看普通 里面装修豪华 也很干净 第2次入住了 下次还来', '短评打分': 5}
{'短评内容': '酒店外观一般 里面装修和豪华 早餐也不错 第2次入住 一样的好 ', '短评打分': 5}
{'短评内容': '五月份去川大开会，住在这里，离川大非常近，信价比非常高，早餐也很不错，下次来还会住这里。', '短评打分': 5}
{'短评内容': '酒店位置不错，闹中取静，房间虽小但干净，早点不错，价格稍贵了些。', '短评打分': 3}
{'短评内容': '干净舒适温馨整洁 性价比高 但书桌旁电源插口少', '短评打分': 5}
{'短评内容': '干净舒适 但书桌旁的电源插口太少', '短评打分': 3}
{'短评内容': '干净、离四川大学非常近，50m。服务也还不错。缺点标间房间小了点。但我认为价格是非常有优势。', '短评打分': 5}
