{'短评内容': '对于要乘机场大巴的客人还是不错的 。 有机会下次还会住的。', '短评打分': 5}
{'短评内容': '环境挺好的，很舒适，服务态度也挺好的，下次还选他家，', '短评打分': 5}
{'短评内容': '这个高级大床房的采光不是很好，而且好像是背阴的方向。房间还行，我比较喜欢阳面的房间，采光好。', '短评打分': 5}
{'短评内容': '很安静，床很舒服,边上是大超市，购物什么也方便', '短评打分': 5}
{'短评内容': '，不错，方便快捷！', '短评打分': 3}
{'短评内容': '酒店位置很好~卫生也很干净！就是停车位太少在人行道上不安全！！我住的房间木地板质量不好 踩上去吱吱响~！！', '短评打分': 5}
{'短评内容': '很不错 ，很舒服。服务也是非常的好，非常的好', '短评打分': 5}
{'短评内容': '专门社了个房型较小 价格较低的类似特价的房间 很紧凑很温馨 ', '短评打分': 5}
{'短评内容': '还不错，物超所值，入住非常快，房间里独立包装的洗发水和香氛很贴心，以后出去玩住汉庭不用带那么多洗漱用品了，推荐下。', '短评打分': 5}
{'短评内容': '在汉庭来说             还                     不错', '短评打分': 5}
{'短评内容': '床单的布料太粗了...\n排气口的保护罩居然掉下来了...好在没砸着我...要不小命就没了...\n性价比很不高...还是如家好点...\n服务员只会按照他们自己的时间模式打扫房间... 我下午挂了一下午的牌子打扫房间...都没见来人...', '短评打分': 1}
{'短评内容': '酒店位置不错，房间内硬件也较新，特别是服务员态度非常好', '短评打分': 5}
{'短评内容': '地段不错，房间很大，而且服务让我十分满意！~ ', '短评打分': 5}
{'短评内容': '作为汉庭来说                比其他汉庭要好、附属东西不错，  房间差，早餐差点。', '短评打分': 5}
{'短评内容': '住在这里非常方便，屋内格局合理，每天还提供免费纯净水一瓶，夏天出外办事很受用。还有免费试用的品牌袋装洗发液等，很方便。这里离陕西外管局比较近，每次来办事我都住在这，交通、饮食都很方便。', '短评打分': 5}
{'短评内容': '干净、安静、交通方便，服务也很到位，总之是不错的一家汉庭。推荐。', '短评打分': 5}
{'短评内容': '房间蛮大，采光也不错，地理位置也可以，离金华和金鹰都很近，楼下就有超市', '短评打分': 5}
{'短评内容': '＋服务态度好、希望增加分店、经济房太少，仔细想仅为了休息，费用有点偏高。希望采纳意见，我会经常先临的。谢谢！！', '短评打分': 3}
{'短评内容': '因为阴差阳错在这里定的酒店，没想到环境真不错，干净，还很实惠呢，下次还考虑来这里。', '短评打分': 3}
{'短评内容': ' 挺好的。', '短评打分': 3}
