{'短评内容': '楼下就是各种串串宵夜，还有超市，很方便', '短评打分': 4}
{'短评内容': '环境还可以   出门很方便   楼下吃得也多   不用走很远   到武侯祠锦里只要十分钟左右   到熊猫基地也只要二十几分钟', '短评打分': 5}
{'短评内容': '隔音效果很差，', '短评打分': 4}
{'短评内容': '在这个位置这个价格，还不错。卫生也算干净。挺好的', '短评打分': 5}
{'短评内容': '还不错，离春熙路很近，交通也很便利，房间也还可以，经济实惠', '短评打分': 4}
{'短评内容': '还好，便宜实惠！！！！！！！', '短评打分': 5}
{'短评内容': '房间一点都不隔音', '短评打分': 3}
{'短评内容': '环境舒适，满意。', '短评打分': 5}
{'短评内容': '退了', '短评打分': 5}
{'短评内容': '其他没什么    就是环境卫生不是很到位', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '吹风和马桶盖是坏的', '短评打分': 4}
{'短评内容': '购物方便，安静', '短评打分': 5}
{'短评内容': '反反复复反反复复反反复复反反复复反反复复反反复复反反复复反反复复反反复复', '短评打分': 5}
{'短评内容': '酒店位置较好，内部环境良好。只是酒店3层楼，竟然没有电梯。领着行李上了3层楼，好幸苦啊！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店位置很好！繁华当道', '短评打分': 4}
{'短评内容': '挺好的，正常酒店的样子', '短评打分': 5}
{'短评内容': '还行吧，地理位置不错', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '房间隔音效果差,空调声音大,电视太陈旧,晚上洗澡没热水,网速太慢,当地司机都找不到酒店地址。唯一的优点就是位于春熙路。', '短评打分': 3}
{'短评内容': '价格合理，交通方便，卫生干净。前台服务员态度好。', '短评打分': 5}
{'短评内容': '该装修了。', '短评打分': 3}
{'短评内容': '我订的是218特惠标准房，服务好，环境也不错，网上订房比会员价贵些，不划算。', '短评打分': 3}
{'短评内容': '如同所有如家，但这家前台服务超好，管理到位', '短评打分': 5}
{'短评内容': '隔音效果不好，旁边有KTV。地段还算好。', '短评打分': 5}
{'短评内容': '交通非常的便利，出门就可以去逛繁华的春熙路啦！', '短评打分': 5}
{'短评内容': '该酒店没有电梯，大堂在二楼，需要走过一楼长楼梯才可进入，没有无线上网，还在装修中。', '短评打分': 3}
{'短评内容': '还不错 服务态度不错 房间里被子的颜色我很喜欢 交通也很方便', '短评打分': 5}
{'短评内容': '非常不错，狠喜欢床单的颜色', '短评打分': 3}
