{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '设施差，配不上4星的标准', '短评打分': 2}
{'短评内容': '酒店有点老 设备不太好', '短评打分': 3}
{'短评内容': '说实在话，这个酒店真不敢再住了', '短评打分': 3}
{'短评内容': '实在是太旧了', '短评打分': 1}
{'短评内容': '总体不错，干净整洁，wifi好快', '短评打分': 5}
{'短评内容': '总体不错，干净整洁，wifi好快', '短评打分': 5}
{'短评内容': '总体不错，干净整洁，wifi好快', '短评打分': 5}
{'短评内容': '总体凑合，位置较偏僻', '短评打分': 4}
{'短评内容': '如果不是离婆婆家近，是打死都不会住金龙的，房间小，设施陈旧，墙体脱皮，洗澡水小的简直无法用语言形容，热水时断时续，洗澡基本就别考虑了，入住三天，除了第一天早上8点服务员根本不理会你是不是还在休息的敲门要求做卫生，说过以后第二天早上继续敲门要修电话，除了这种骚扰式的服务，可以说没任何服务了，同等的价位，在这个竞争激烈的行业里，有太多性价比更高的', '短评打分': 1}
{'短评内容': '如果不是离婆婆家近，是打死都不会住金龙的，房间小，设施陈旧，墙体脱皮，洗澡水小的简直无法用语言形容，热水时断时续，洗澡基本就别考虑了，入住三天，除了第一天早上8点服务员根本不理会你是不是还在休息的敲门要求做卫生，说过以后第二天早上继续敲门要修电话，除了这种骚扰式的服务，可以说没任何服务了，同等的价位，在这个竞争激烈的行业里，有太多性价比更高的', '短评打分': 1}
{'短评内容': '相当一般，要不是在客户旁边绝不选择', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '此次出差到新乡,本身在当地可选择的酒店就不是很多,选择此家酒店是客户所属集团下的一家酒店,此家酒店的规模在当地还不小,相对总体来说除了酒店所处的地理位置较客户很方便,酒店的其他方面的性价比也都还是一般般吧.', '短评打分': 4}
{'短评内容': '酒店太偏了，周围都是工厂，跟描述中的完全不一样，门口打车都打不到，服务业一塌糊涂，叫人来检查个落地灯，等了2个小时', '短评打分': 1}
{'短评内容': '酒店整体还不错，价格公道，只是有些设施是旧了点', '短评打分': 5}
{'短评内容': '交通不太方便，周围也没有什么饭店和商店。如果有车，性价比还不错。', '短评打分': 5}
