{'descr': '很干净', 'star': 5}
{'descr': '哈哈哈哈哈哈哈哈哈哈哈', 'star': 5}
{'descr': '房间较大，还有停车场，就是电视遥控小了点。重新开电视比较麻烦。放行李方便，服务员也热情！其他还算方便。', 'star': 5}
{'descr': '停车方便', 'star': 4}
{'descr': '环境不错', 'star': 5}
{'descr': '很干净，虽然地点有点偏，但是整体满意。', 'star': 5}
{'descr': '房退了，我现在就想凑齐十个字得京豆而已。。。嗯就是这样', 'star': 5}
{'descr': '还行还行还行还行还行还行', 'star': 5}
{'descr': '房间很不错，服务也好', 'star': 5}
{'descr': '地理位置还是不错的，然后房间感觉比较干净，价格也实惠哈。', 'star': 5}
{'descr': '地理位置还是不错的，然后房间感觉比较干净，价格也实惠哈。', 'star': 5}
{'descr': '很好，干净，经济实惠。', 'star': 5}
{'descr': '很好 干净每次都会入住这家', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '离地铁有点远', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '不行', 'star': 2}
{'descr': '离地铁还是有点距离，离儿童医学中心近。', 'star': 4}
{'descr': '酒店环境卫生都非常不错 服务也很好！', 'star': 5}
{'descr': '酒店卫生很干净 房间设施也不错 住的很舒心 ！', 'star': 5}
{'descr': 'It is good for this price. No complaint.   ', 'star': 4}
{'descr': '挺好的', 'star': 4}
{'descr': '很不错的酒店，赞一个', 'star': 5}
{'descr': '酒店地点很不错 房间很大 还带有进水设备 闹中取静 周围超市医院 一应俱全 在浦东是个好地方', 'star': 5}
{'descr': '房间很大很卫生，干净整齐，条件不错，服务态度好', 'star': 3}
{'descr': '如家一如既往的好 干净 整洁 温馨  \n离龙阳路很近 去城隍庙 外滩回来 非常方便 价格也很优惠 推荐 ', 'star': 5}
{'descr': '不错的酒店，下次去上海还住这里，对面那家快餐店的东西也蛮好吃的，酒店的环境卫生都还可以', 'star': 5}
{'descr': '其他还好，就是在立交桥下，开车太难找了.附近也没什么吃饭的地方', 'star': 5}
{'descr': '酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。酒店不错，下次还会住这里。', 'star': 5}
{'descr': '交通位置比较方便，价格也合适，有自己的停车场。', 'star': 5}
{'descr': '非常好！下次展会还住这！环境好！交通方便！', 'star': 5}
{'descr': '非常好！环境很好！交通方便！下次展会，还会来此！', 'star': 5}
{'descr': '如家一直都是不错的酒店，当天9点多到的，我定的是大床房，可能是当晚大床房没了，给安排的是数码大床房(没另外加价)。', 'star': 3}
{'descr': '离塘桥地铁站大概8分钟路程，位置比较安静，旁边是个公园，比较推荐', 'star': 5}
{'descr': '附近吃饭相对不方便，房间比较新也很干净，房间数量也较多', 'star': 5}
{'descr': '如家服务很好，居住环境好，交通便利！下次再来还住这里', 'star': 3}
{'descr': '配置不错，交通方便', 'star': 3}
{'descr': '位置比较方便。离展场比较近点。服务人员态度不错。', 'star': 5}
{'descr': '超喜欢  超爱啊   哈哈`~~~~~~~~~~~~~~~~~下次还要去呢~', 'star': 5}
{'descr': '爆喜欢....又干净  服务又超好.........哈哈~~~', 'star': 5}
{'descr': '服务超好....超喜欢....    尤其是那个保安叔叔~~~', 'star': 5}
{'descr': '超好,,,超喜欢~~    哈哈啊哈哈哈哈哈哈哈哈哈阿', 'star': 5}
{'descr': '宽敞，干净，一如既往。另，前台经理态度非常不错！', 'star': 5}
{'descr': '交通还可以，距离我的目的地还算ok的。比起其他附近的性价比算可以的。', 'star': 5}
{'descr': '还不错，会场还是比较方便的。比起其他的算是方便多了。', 'star': 5}
{'descr': '交通方便，也挺干净的，早餐也丰富,定的170的特惠大床房，估计是客人住满了就给安排了商务大床房，挺不错。', 'star': 5}
{'descr': '环境不错，挨着公路略微有些吵，还是很不错的，服务不错', 'star': 3}
{'descr': '这家酒店靠家门口真的很近，就在沃尔玛旁边，购物也方便，就是离四号线塘桥站要走路大概8分钟左右，爸爸妈妈过来的时候因为家里住不下只能安排在这边住，很干净卫生，服务也很体贴周到，连保安叔叔都您好您好的叫个不停，挺不错的，我也已经不是第一次住了！不过这家酒店的电视有点难操作，我也是研究了好久才研究出来的，电视台也不是很多，建议以后也不要设置什么悦电影悦生活的，就直接电视台就可以了！@', 'star': 5}
{'descr': '本来住的是特惠大床房，后来帮我升级成大床房了，觉得房间还不错，如家嘛，性价比还是可以的，干净整洁，房间清清爽爽的，现在淡季房间都便宜。', 'star': 5}
{'descr': '还不错. 下次还会再来。\n服务员态度也很好。干净，卫生。', 'star': 5}
{'descr': ' 不错', 'star': 3}
{'descr': '干净，环境不错！就是没早餐送不好，出去也挺方便', 'star': 5}
{'descr': '太差了，房间居然没打扫', 'star': 3}
{'descr': '即使住在一楼也不是很吵~环境还是不错，就是打扫的不是很干净，额 字数要50……还是不够……怎么还不够', 'star': 5}
{'descr': '这个位置有点偏，打出租车都不知道。上海的出租太贵的，不过房间还是不错的，卫生也挺好的。以后再去上海要找离南京路或城隍庙近的地方住，这两个地方我觉得比较好。', 'star': 1}
{'descr': '很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！很不错，环境好，服务好，交通便利！满意！', 'star': 5}
{'descr': '还是比较干净的，就是空间小了些，卫生好就好，里展馆还是比较近的，就是附近没什么吃的，想找个吃的地方比较费力', 'star': 5}
{'descr': '不错，房间比较大，虽然离高架比较近，完全感觉不到吵', 'star': 5}
{'descr': '隔音不是很好，早上楼道很吵，其他挺好的，对了，周边吃的东西很少', 'star': 5}
{'descr': '很干净 服务很热情、周到~各种设施齐全~~~~~', 'star': 5}
{'descr': '在上海浦东区属于比较性价比很不错的酒店之一，值得推荐。。。。', 'star': 5}
{'descr': '每次的第一首选，既干净又安静，周边也方便。', 'star': 5}
{'descr': '环境一般般，但是还挺方便，只是旁边有个部队早上比较吵', 'star': 5}
{'descr': '离会场还很近的，打车还比较方便，旁边还有家沃尔玛，购物较方便', 'star': 5}
{'descr': '服务不是很好，同事在酒店里摔了一跤，态度比较恶劣，但是经过批评，态度有所改善', 'star': 5}
{'descr': '＋很好', 'star': 3}
{'descr': '1、停车位多，停车很方便\n2、背后就是个大超市，购物很方便\n3、充电器落在房间里了，回去拿的时候，由于服务员之间交接的问题，找了很久才找到，不过服务员一直很耐心，态度很好\n4、门口保安大叔很热情，赞一个。', 'star': 5}
{'descr': '还不错，干净整洁，服务员的态度都很亲切，就是离地铁站稍微有点远', 'star': 5}
{'descr': '商务大床房房间很宽敞，干净。比较安静，离沃尔玛超市很近。适合商务旅行。', 'star': 5}
{'descr': '前台服务员态度很好，很热情，大床房的床很大，周围环境也不错，离上海科技馆和世博园都不远（打的到世博和科技馆都在15元以内），房间卫生也不错。负一楼的餐厅收费还挺合理，但是口味不怎么样，不推荐，早餐在外面吃的，没在负一楼的餐厅吃，不知道怎么样，整体感觉很好，下次来应该还会住这里，也会向朋友推荐的。', 'star': 5}
{'descr': '这个酒店还算干净，离着展馆比较近，交通还算方便。', 'star': 5}
{'descr': '服务人员态度很好，酒店很干净，房间的装修和纷纷的被子真的给人一种家的感觉，价格也蛮合理的，支持如家！', 'star': 5}
{'descr': '服务很周到，服务人员很客气，酒店也很干净，挺值得的', 'star': 5}
{'descr': '刚刚入住大床房，不错挺干净。被子是粉色的，很温馨。', 'star': 3}
{'descr': '太靠近高架桥，声音有点大，空间比较压抑，交通也不方便，挺难找', 'star': 1}
{'descr': '出行还比较方便。每次预定的特惠大床房都没有，到店后免费升级，哈哈！', 'star': 5}
{'descr': '海友客栈，还凑合吧！！！！！！！！！！！！', 'star': 5}
{'descr': '出行比较方便，旁边就是地铁站，有个沃尔玛，如果是去仁济看病，那还是很方便的', 'star': 5}
{'descr': '一般般啦，没啥特别想法，可以去逛逛巴黎春天浦建路店。', 'star': 1}
{'descr': '房间还可以，就是住的人说床硬了，但是去上海公干的就还可以的', 'star': 5}
{'descr': '离地铁，沃尔玛比较近。打的稍微不大好打！', 'star': 5}
{'descr': '车位多，虽然在南浦大桥下，但是隔音效果不错！就是早餐和平时用餐时，菜种偏少！', 'star': 5}
{'descr': '整体感觉还不错，酒店较新，房间很干净，装修风格蛮温馨的，下次还来住。', 'star': 3}
