{'短评内容': '虽然比较简陋，但是挺舒服的。很安静。有家的感觉。', '短评打分': 5}
{'短评内容': '旅馆就在西塘里面，阿姨人很热情。。不过要是设施还有条件能更好点就更好了。。', '短评打分': 5}
{'短评内容': '总体来说不错，一是位置好，距车站8分钟路程，二是老板娘人不错，帮着买票，三是屋子比较干净。但是确实是民房改造的客栈，住多了5星酒店的朋友，可能会不习惯.总体来说，值得推荐！', '短评打分': 5}
{'短评内容': '这家宾馆的阿姨好热情啊，我们到了以后还出来接我们过去，宾馆的设施齐全，很方便，阿姨还给我们讲旅行图，真好，玩的很开心…', '短评打分': 3}
{'短评内容': '很舒适，只是靠在电梯边的房间稍微有点吵', '短评打分': 3}
{'短评内容': '蛮不错的，老板娘很热情，推荐.............', '短评打分': 5}
{'短评内容': ' 房间很干净，服务态度也很好，期间提出要换房，服务员也给解决了，总体来说比较满意！', '短评打分': 3}
{'短评内容': '性价比超高，服务很到位，在北方的经济酒店里服务首屈一指。还会选择过去。', '短评打分': 5}
{'短评内容': '这哪里是宽带呀，70K每秒，上个网急死你。房间设施还可以', '短评打分': 5}
{'短评内容': '住了两天，好不错，大堂服务人员态度很好，房间也比较暖和，热水什么的也比较方便，住的是六楼，推荐，下次还会住这里。', '短评打分': 5}
{'短评内容': '服务还可以，完全也不错，就是有点热！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '还可以，比较干净', '短评打分': 3}
{'短评内容': '出门就是火车站，交通方便。早餐一般，希望能改进。另外、为什么开业以来都不能住外宾，对面的葫芦岛大酒店、以及新开业的7天酒店都可以住外宾，其他城市的如家也都可以住外宾。希望能尽快可以住外宾。', '短评打分': 5}
{'短评内容': '阿姨很热情，房间比较干净，临到之前给阿姨打了电话，她还出来接我们，下次还来！', '短评打分': 3}
{'短评内容': ' 地毯很脏，谈不上服务，冷，有网线没网络。只有24H热水值得安慰，据说是温泉水。院子停车方便。', '短评打分': 3}
{'短评内容': '隔音不太好，灯光有点儿暗，楼下就是火车站，好在不是太过于频繁鸣笛，服务态度很好，卫生也不错，值得推荐', '短评打分': 5}
{'短评内容': '干净卫生，服务也不错，交通位置非常便利，挺好的，值得入住。\n就是早餐比较简单。', '短评打分': 5}
{'短评内容': '酒店就在火车站旁边，房间很干净，就是隔音效果不好，床比较大但空间很小，整体性价比高', '短评打分': 5}
{'短评内容': '硬件设施好.交通便利.服务态度好.卫生干净', '短评打分': 5}
{'短评内容': ' 很干净很舒服', '短评打分': 3}
{'短评内容': '酒店位于火车站北面，噪音太大。网速太慢，无法用。空调不好。\n就是服务员的态度很好。以后少去住吧。', '短评打分': 1}
{'短评内容': '价格实惠，但电梯等候时间太长。服务很好，但入住时房间电视信号不好，希望下次会好点。', '短评打分': 5}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '不错的,,住的很舒服,服务也很好很到位,很好很如家', '短评打分': 5}
{'短评内容': '.........还不错。。........', '短评打分': 5}
{'短评内容': '老板娘很热情 就是房间有点小 有点潮 还是平日去好', '短评打分': 5}
{'短评内容': '缺点就是门口停车要20元，太贵了，周边的餐馆不多', '短评打分': 5}
