{'短评内容': '交通方便，服务态度好。周围吃饭购物都很方便', '短评打分': 4}
{'短评内容': '地理位置比较好，交通便利，公交打的都方便。周围用餐饭店和小吃快餐店很多，随时可饱口福。酒店工作人员态度热情，入住心情愉快。', '短评打分': 5}
{'短评内容': '差不多吧', '短评打分': 5}
{'短评内容': '一如既往的支持', '短评打分': 4}
{'短评内容': '还可以，就是空调声音太大了，其他都还不错', '短评打分': 5}
{'短评内容': '房间比较小', '短评打分': 3}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '真的很实惠方便，不过就是房间有点小', '短评打分': 5}
{'短评内容': '设施齐全,不错,赞一个', '短评打分': 5}
{'短评内容': '舒适干净，就是房间有点小。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '还不错，我订的商务A，以后要订商务B，太小。。。。。', '短评打分': 5}
{'短评内容': '房间小了点，一个人住还可以不适合会客价格有点小高了', '短评打分': 5}
{'短评内容': '挺好的，就是隔音效果不是很好，洗手间大大的比较好', '短评打分': 5}
{'短评内容': '服务不错价格公道，中央空调也很凉下次还住这里', '短评打分': 5}
{'短评内容': '还不错…房间挺大', '短评打分': 3}
{'短评内容': '还行吧，性价比应该还是可以接受的。要是再稍微改进点就会更好', '短评打分': 5}
{'短评内容': '房间挺干净的，就是小了点…', '短评打分': 3}
{'短评内容': '不错，卫生间不好，排风扇声音好大，而且喷头也不好，洗澡不爽！其他还可以。', '短评打分': 5}
{'短评内容': '说实话！与我以前住过的差距太大！所以第二天我就退了房！', '短评打分': 3}
{'短评内容': '靠近火车站，交通比较方便,下次还会入住。。。。。。', '短评打分': 5}
{'短评内容': '好干净，推荐，，，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '酒店设施不好。', '短评打分': 3}
{'短评内容': '酒店的空气不好。', '短评打分': 3}
{'短评内容': '离火车站有10分钟的步行路程，旁边就是百货公司购物广场步行街，吃饭购物交通都很方便，房间很大，也挺干净，服务规范，花了10块钱就升级到电脑房，在8楼隔音效果很好，有安静舒适的睡眠。\n不足的地方：浴室地面很滑，好几次差点摔倒，毛巾感觉不是很干净，白天碰巧撞见工人送一车洗好的毛巾，那些毛巾简单捆成一扎一扎，就裸露在外面，也不怕二次污染，估计本身也没怎么洗干净，不信你试试在浴室放点水用那个洗手皂把那个干', '短评打分': 5}
{'短评内容': '还可以，洗澡的地方比较小.隔音很好。哈哈哈哈', '短评打分': 5}
{'短评内容': '卫生方面可以，房间空间太小了。设置方面不是很健全。', '短评打分': 5}
{'短评内容': '很好，很干净整洁，但是厕所没有专用的拖鞋有点不方便', '短评打分': 5}
