{'短评内容': '早餐和环境都不错哦', '短评打分': 5}
{'短评内容': '早餐种类齐全，但是8点半之后就没什么了，位置好，环境也可以，停车方便。属于很老牌儿的酒店了。', '短评打分': 5}
{'短评内容': '挺好，干净', '短评打分': 5}
{'短评内容': '早餐还比较丰盛，很有豫北地方特色，房间也还算干净，整个宾馆都有点年头了，服务人员也比较热情，周边交通方便', '短评打分': 5}
{'短评内容': '设施有点老旧但是卫生很干净，自助早餐特别丰盛！餐厅很大！', '短评打分': 5}
{'短评内容': '老三星，经济标准间跟标准间就是楼层区别，价格差一倍。健身房海还收费。无语。这个价格在濮阳随便住随便挑，不是', '短评打分': 2}
{'短评内容': '老三星，经济标准间跟标准间就是楼层区别，价格差一倍。健身房海还收费。无语。这个价格在濮阳随便住随便挑', '短评打分': 2}
{'短评内容': '来濮阳出差首选，很近就是人民广场，市中心，方便。', '短评打分': 4}
{'短评内容': '房间设施旧 但是早餐很不错 特别是油条 确实炸的不错', '短评打分': 4}
{'短评内容': '年头有点老了，周边的绿化也透露着沧桑', '短评打分': 4}
{'短评内容': '价位合理，逼格很高，环境没的说，很满意', '短评打分': 5}
{'短评内容': '房间还可以，应该是政府招待所！', '短评打分': 3}
{'短评内容': '没得说了！ 反复选择！', '短评打分': 3}
{'短评内容': '我们老两口开了一天车，到濮阳后，先去拜谒了戚城颛顼玄宫和会盟台。傍晚入住濮阳宾馆，是昨天晚上预定的。办手续很快。酒店各方面中规中矩。卫生很好。周边吃饭散步方便。', '短评打分': 5}
{'短评内容': '非常不错，地理位置优越！', '短评打分': 3}
