{'短评内容': '代訂', '短评打分': 4}
{'短评内容': '挺好，很好，老板很热情。房间阳台很不错。', '短评打分': 5}
{'短评内容': '老板很热情', '短评打分': 5}
{'短评内容': '在景区内，全福寺旁。因为是十一，价格不便宜，房间设备不是很齐全，没有吹风机，房间不是非常干净，不过没有出现蛇虫鼠蚁，已经挺满意的了。本来十一出行，期望值也不是很高，所以总体算挺满意的。', '短评打分': 4}
{'短评内容': '老板服务很好', '短评打分': 5}
{'短评内容': '老板服务很好', '短评打分': 5}
{'短评内容': '到酒店很满意，老板很热情，位置很好沈厅，全福寺，都很近还有阳台房可以直接看到南湖，老板娘手艺很好烧的农家菜比饭店好吃多了，老板是个帅哥，性格开朗，喜欢开玩笑，一起同住的几位同吃很开心有家的感觉，是我以来旅游最有感觉的一家，一样下次还能够幸运的遇到如此的，店家。', '短评打分': 5}
{'短评内容': '环境很好，在景区里面，房间布置非常有特点，窗外就是周庄小河，房里有个很大的“龙床”，以后还会来', '短评打分': 3}
{'短评内容': '栈在沈厅附近，很容易找，一开始找不到时，老板娘出来，迎接的我们，房间在二楼，房间不是特别大，但是很舒服，尤其阳台面向公园，可以看见湖，晚上湖风吹来，在阳台和家人聊聊天，那种感觉真好。回去的时候，自己不小心把东西遗留在客栈，多亏老板娘的热情，帮我寄回来，真的很感谢，下次还会来的哦！', '短评打分': 3}
{'短评内容': '周庄里面小客栈 ，有点偏 ，老板很有个性。', '短评打分': 3}
{'短评内容': '老板还可以，只是蚊子很多，老板推荐的饭店虽然没有环境，可味道还不错，不过性价比不是很高，可能周庄都是这样。', '短评打分': 1}
{'短评内容': '房间很干净，住的比较舒适。老板人很好，在到之前就已经把房间的空调打开了，热水也烧好了，很细心。再次感谢！！！', '短评打分': 5}
{'短评内容': '老板很好，很帅，就是稍微远点。挺好的，下次推荐朋友过来', '短评打分': 5}
{'短评内容': '老板很不错,房间也很好,只是时间太仓促了,感觉意尤未尽', '短评打分': 5}
{'短评内容': '小两口人很好的！干净整洁！价位也合理的！', '短评打分': 5}
{'短评内容': '非常不错的一家小店，老板是北京人，非常热情，亲自接送我们，还跟我老公家住的很近，哈哈，一下拉近了距离~~~小店很干净，基本设施也都齐全。总之非常不错~哈哈', '短评打分': 5}
{'短评内容': '还算整洁~总体上还可以~', '短评打分': 5}
{'短评内容': '老板很爽快，很热情。到景区外面来接，带了提前帮我订好的打折门票，还帮我拎了一个又沉又不好拿的包...客栈位置很好，在景区内，拿着老板给的地图，一直逛到所有店铺都关门~房间很干净，设施也齐全，老板的猫咪很漂亮!赞一个', '短评打分': 5}
{'短评内容': '老板特别热情，就是房间顶容易掉黑色物质。', '短评打分': 5}
{'短评内容': '房间比想像的要小很多，但卫生间比较大，而且很干净。', '短评打分': 5}
{'短评内容': '很好的客栈，老板很热情！值得一住！', '短评打分': 5}
{'短评内容': '老板是北京人 很热心 酒店位置不错 值得入住', '短评打分': 5}
{'短评内容': '店主非常热心，来接我们还帮我们拎行李，帮我们买票也很合算，才80元/人，照了相可以在周庄玩三天呢，性价比特高，可惜时间太赶，第二天就走了。店主还热心地向我们推荐在哪里吃饭，买东西怎样还价等等，人超好的，下次去还住这家。', '短评打分': 5}
{'短评内容': '酒店整体还不错,老板很热情。', '短评打分': 5}
{'短评内容': '很安静，最大的感触是老板很热情，天寒地冻还特地出来接我们。还告知我们很多省钱的方法。小店干净，卫生，很实惠！值得推荐！', '短评打分': 5}
