{'短评内容': '很差的一间酒店', '短评打分': 2}
{'短评内容': '可以看到江景，也挺方便的，不错！', '短评打分': 5}
{'短评内容': '每次去都是住这里，还不错，挺干净的，而且楼下吃东西的地方和散步的地方都很方便！', '短评打分': 4}
{'短评内容': '还好，地点好，就在桥下，上班方便', '短评打分': 4}
{'短评内容': '还好，地点好，就在桥下，上班方便', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '经济实惠形酒店，门口就是珠江相当不错。适合晚上散步', '短评打分': 4}
{'短评内容': '价格有优势其它没啥，离地铁站二号线近。', '短评打分': 4}
{'短评内容': '位置非常好,就在珠江边上,交通比较方便,就是早上搭车比较难打.设施简陋,房间卫生一般,考虑价格性价比还说得过去吧.', '短评打分': 3}
{'短评内容': '不错，非常便宜，离江比较近', '短评打分': 3}
{'短评内容': '很便宜的酒店，靠江边比交近', '短评打分': 3}
{'短评内容': '又小又脏又差，没想到是这么差得酒店，这是悔死我了~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '房间比较小，环境一般。', '短评打分': 3}
{'短评内容': '已入住珠景宾馆', '短评打分': 3}
{'短评内容': '室温太低', '短评打分': 3}
{'短评内容': '价格实在是划算，地段超好，不过其他实在不敢恭维，如果是经济型的旅游者，可以建议你选择这家宾馆，享受型的就不要冒险了。。。', '短评打分': 5}
{'短评内容': '服务好,酒店可以', '短评打分': 3}
{'短评内容': '位置在海珠区，设施老旧得很，不推荐入住，但是价格真的便宜！', '短评打分': 1}
{'短评内容': '味道太大了 最好不要住 管理也不行 不推荐', '短评打分': 1}
{'短评内容': '房子很久，屋子里面味道很重，不喜欢，贵了很多！！', '短评打分': 1}
{'短评内容': '地理位置较好,坐地铁非常方便,服务员态度挺好,希望服务员对附近的环境多一些了解,如公交车.超市以及出行线路,为客人提供方便.我被告知的公交车站找了40分钟也没找到。最后只好打车去，住了几天发现，有一路车就在本宾馆门口直达目的地。', '短评打分': 5}
{'短评内容': '房间还可以，就是电脑不太好用…', '短评打分': 3}
{'短评内容': '似乎有老鼠哦。其他地方都很好。。                 区位，风景。。           ', '短评打分': 5}
{'短评内容': '房间比较整洁，服务态度也好，珠江边上，距地铁口挺近，下次还会考虑', '短评打分': 3}
{'短评内容': '位置是比较容易找到，但是感觉房间卫生很糟糕，洗手间的台面上甚至有一个不知道装着什么液体的杯子，被单还有被烟烫坏的孔，宵夜的地方少之又少，房间空气也不怎么清新。', '短评打分': 1}
{'短评内容': '位置不错，但房间设施一般，屋里一股霉味，确实对不起所称的“豪华”称号。', '短评打分': 1}
{'短评内容': '还可以,住了三天，总体感觉是可以，就是比较难找得到，可能是地址写得不是太详细', '短评打分': 5}
{'短评内容': '价位很实惠，就在珠江解放桥下，很方便的说，晚上夜景也不错，就是设施老了点，另外最近旁边有房子装修，虽然晚上不施工，但最好还是过段时间再去住', '短评打分': 5}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '设施还可以，服务较好，以后会考虑入住该酒店', '短评打分': 5}
{'短评内容': '环境不错，距离进，被子相对不太好有些不太舒服', '短评打分': 5}
{'短评内容': '房间还不错!!只是空调漏水严重了', '短评打分': 3}
{'短评内容': '整体感觉还可以~不过设施有些陈旧~不过一分钱一分货了', '短评打分': 1}
{'短评内容': '珠江边~~非常漂亮~~价格也很公道~~还会再来', '短评打分': 5}
{'短评内容': '酒店管理严，卫生洁净，地理位置佳，性价比好，值得入住。', '短评打分': 3}
{'短评内容': '房间感觉一般般，但是服务员服务态度还好，希望房间装修下更好。', '短评打分': 3}
{'短评内容': '旅店条件一般，价格便宜！隔音非常不好！！ ', '短评打分': 5}
{'短评内容': '地方还行，就是设施比较老化，杯子什么的都不是很干净。。', '短评打分': 1}
{'短评内容': '位置还要，外面的风景尤其夜景不错。因为就在珠江边上、解放大桥的桥头。桥头和马路上的灯光十分的美丽。', '短评打分': 5}
{'短评内容': '不錯...還是比較乾淨的...但是隔音不太好..價錢彌補了這個問題', '短评打分': 5}
{'短评内容': ':房间超级小', '短评打分': 3}
{'短评内容': '一般般 可以凑合一晚 可惜是看不到珠江的', '短评打分': 1}
{'短评内容': '酒店位置很好，出门就是珠江，出门后景色很不错。靠近海珠广场（有地铁），步行到广场约10分钟。价格实惠，管理也还可以，住房管理员会检查每一个上楼的人，比较安全。装修比较旧，木地板有一部分翘起来了。房间空间也不大。', '短评打分': 5}
{'短评内容': '基本还可以，交通便利', '短评打分': 3}
