{'descr': '一般般…一般般…', 'star': 3}
{'descr': '位置优，一不小心走过了，态度好，设施老。地毯是黑色的，淋浴铁管子有部分锈了，而且出水小。房间有股羊肉的味，太累了第二天一大早换对面的格林了。地毯（这古董是否能换木地板了，太恶心）。占着金地没饭吃！！！！！', 'star': 4}
{'descr': '老房的原因，屋内设施陈旧', 'star': 3}
{'descr': '出了火车站就是，晚上下火车非常方便。内部设施齐全，虽略显陈旧，但功能良好。前台服务周到！', 'star': 5}
{'descr': '酒店就在火車站右邊,出站大約100米就到了,,訂房費用是124,但是入住時櫃台說沒有收到訂單,房費要148,經出示携程訂單後,才同意以124入住,服務態度就是一般國營店的態度,不能期望太好,酒店旁邊就是京鉄旅行社,對出游的旅客非常方便,服務態度也很好,值得推薦.', 'star': 4}
{'descr': '还行，跟火车站比较近', 'star': 3}
{'descr': '整体还不错，经常入住，就是这次的房间晚上很吵，在网上付了钱到了店里又要现付，说是已经返现，账户又没有都不知道怎么回事了', 'star': 3}
{'descr': '一般', 'star': 1}
{'descr': '酒店整体环境不错，离车站近，就是没有电梯。', 'star': 5}
{'descr': '出火车站出口处就到，很方便，酒店很干净，服务也很热情，而且在酒店里就能解决一日三餐，且价格不贵，就是酒店的自助早餐太简单了，总体来说酒店的性价比还是很高的，值得推荐！！！', 'star': 5}
{'descr': '酒店地理位置不错，也比较安静，总的来说还不错', 'star': 5}
{'descr': '房间比较干净', 'star': 3}
{'descr': '该酒店很好，很干净，非常不错，就是早餐不怎么好吃~', 'star': 5}
{'descr': '住的小单间 还是不错的 就是确实是有点小 不过要是一个人足够了 不足的就是里面再多个小桌子让放东西就好了 光床头柜太小了 不够放', 'star': 5}
{'descr': '4服务员态度很好', 'star': 3}
{'descr': '卫生条件太差，地毯上有瓜子壳、桔子核；被子上还有头发。水杯都是脏的，洗手间地面很脏马桶应该百年没有擦过了。', 'star': 1}
{'descr': '感觉不咋样，这个价格可以有更好的，还是去快捷酒店吧', 'star': 1}
{'descr': '该酒店还有很多硬件需要更新。以我住的单间来说，1、房间需放置一个垃圾桶；2、网络接口离窗户近，但是没桌子没椅子，离床又太远；3、电水壶插头在电视机后头，水汽极易影响电视机。等等', 'star': 1}
{'descr': '离火车站近，定的是20平方的房间，有壁橱，很新，很不错，还有个小阳台，挺宽敞的', 'star': 5}
{'descr': '离火车站真的很近，走几步就到了，房间也不吵，装修的还算新，价格也公道，还包早餐，不错', 'star': 5}
{'descr': '订了5间房，被分别安排在了3个楼层，找服务员协调，还一副爱理不理的样子，最后直接找到经理，才解决了。服务员素质有待提高。。。', 'star': 5}
{'descr': '价钱倒是比较实惠的，总体还行，就是没有浴室穿的拖鞋优点不方便', 'star': 5}
{'descr': '己入住，环境一般，网上价格和店内水牌差不多', 'star': 3}
{'descr': '＋非常满意', 'star': 3}
{'descr': ' 旁边就是火车站停车场，很方便！宾馆还挺干净的，标间挺大，洗澡水也很好！  ', 'star': 3}
{'descr': '还可以。和价格相比', 'star': 3}
{'descr': '房间还是挺大的,离火车站近很方便,不足的是房间的地毯有点气味,如果换成地板就好了。', 'star': 3}
{'descr': '一般吧，说不出哪里不好，也没什么好的，唉，太一般了', 'star': 1}
{'descr': '＋还行', 'star': 3}
{'descr': '已入住', 'star': 3}
