{'短评内容': '一般出行的好选择', '短评打分': 4}
{'短评内容': '设施有些旧，其他方面还好', '短评打分': 4}
{'短评内容': '位置有点偏，离闹市区还有一点距离，房间卫生间比较脏，附近早上吃早餐的地方非常多，味道为很赞！！！！！', '短评打分': 4}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '房间一股发霉的味道', '短评打分': 3}
{'短评内容': '附近不是很繁华', '短评打分': 5}
{'短评内容': '总体感觉不错，骑行的自行车一开始不允许带进房间，我说一路海南骑行过来都可以，不让放就不住了，答应放。可能是服务员性格原因，感觉不怎么友好，那天Wi-Fi还没有，比较郁闷', '短评打分': 3}
{'短评内容': '酒店不错，比较干净，比较安静！', '短评打分': 3}
{'短评内容': '酒店不错，比较干净！', '短评打分': 3}
{'短评内容': '回来都好几天了，评价一般', '短评打分': 3}
{'短评内容': '天天住，一般，条件愁和', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '过得去啦，前面说过了。', '短评打分': 4}
{'短评内容': '一般，过得去，一层楼没几个房间，走廊却平均距离装了三个无线三天线的路由，够强大的！电梯有点吓人，推自行车出慢点就夹住了车尾，吓我一大跳。好多小卡片，晚上有搔扰电话，续住也没人帮你搞卫生。', '短评打分': 4}
