{'短评内容': '挺好的。干干净净', '短评打分': 5}
{'短评内容': '不错哟', '短评打分': 5}
{'短评内容': '第一天来的早，等到九点多才让入住，好吧~_~，入住的房间是现打扫的，厕所有点脏，别人用过的肥皂还在那里，床单被套整齐，其实被子上有别人的头发，床单上也有几根，好在自己带了睡袋，头发真有点恶心到了，窗户虽然是双层隔音一般，楼道的声音更明显，也许因为房间是电梯旁边，楼道味道有点大不知道哪来的，空调的出风口扇叶不见了也许是坏了没修，所以没用。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没有早餐提供，周围环境也还算可以，不算太嘈杂。就是附近没有什么吃饭的好地方，要吃好点的话要走三个红绿灯。。。其他还行', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '对得起价格吧，下次还是住个好点的吧', '短评打分': 5}
{'短评内容': '公司培训住宿，就睡觉而言可以了', '短评打分': 4}
{'短评内容': '怎么说呢还在装修，感觉比之前住过的如家都要差，马桶水都冲不出来', '短评打分': 4}
{'短评内容': '服务佳，环境不错，设施好', '短评打分': 4}
{'短评内容': '很好，很安静，幻境很舒适，', '短评打分': 5}
{'短评内容': '出差订的酒店，就价格来说的话还是可以的，卫生一般，设施也是比较久。不过服务态度还可以的。周边没有什么地方可以逛，吃饭倒是不成问题。适合出差住宿，旅游的话就不太合适，周围交通不是很方便。', '短评打分': 4}
{'短评内容': '酒店价格还行，总之一句话，一分钱 一分货！', '短评打分': 3}
{'短评内容': '位置比较偏，马桶不行，盖子站不住，总是抵着背，洗澡间太小了，又没有门，洗澡的时候很冷，那个帘子，水弄在上面很凉很凉', '短评打分': 3}
{'短评内容': '硬件设施需要提升', '短评打分': 5}
{'短评内容': '酒店还可以 ~住的不错', '短评打分': 4}
{'短评内容': '还好，商务型的性价比高。 网上定好，晚上到那里也不用仓促去找酒店了。', '短评打分': 5}
