{'短评内容': '员工出差定点单位', '短评打分': 3}
{'短评内容': '很差，不想住了', '短评打分': 1}
{'短评内容': '酒店开票比较慢，需要开票的预留些时间。晚上回来进门满地的名片很不好，205房间的窗户不能反锁。榻榻米泡茶不错，房间整体宽敞', '短评打分': 5}
{'短评内容': '房间干净，大，值得推荐', '短评打分': 5}
{'短评内容': '不错的还行', '短评打分': 5}
{'短评内容': '也就那样吧', '短评打分': 4}
{'短评内容': '出差还可以', '短评打分': 4}
{'短评内容': '房间还不错，价格还行。谢谢携程', '短评打分': 5}
{'短评内容': '价格还可以，酒店也不错，信任携程。', '短评打分': 5}
{'短评内容': '卫生不错，环境不错，交通方便', '短评打分': 4}
{'短评内容': '一般，服务态度很不满！又贵，还不如去大鹏住', '短评打分': 3}
{'短评内容': '还可以，也比较安静，住的房间有点旧，早餐一般。', '短评打分': 3}
{'短评内容': '还行吧，不过到现在还不给我确认住店，不能领取返现！！！', '短评打分': 3}
{'短评内容': '不错哦，物有所值，下次还来', '短评打分': 3}
{'短评内容': '不错。可以住 。只是设备有点旧', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 3}
{'短评内容': '服务实在太过份了，八点多吃饭回来，电梯不能用，问了前台小姐，前台小姐说电梯地板刚换不能使用，我说我们住在八楼怎么上去，前台一个矮胖带眼镜的男人回我们说，要我们爬上去，我问什么时候可以使用，他又回我一句别人都可以配合为什么我们不行，接着说电梯坏了在维修当中，我们问什么时候可以修好，他说不知道，他说人家六七十岁的老头子都可以爬为什么你们不能爬到八楼，我们当下决定说，我们不住了要退房，他马上叫我们打电话', '短评打分': 1}
