{'短评内容': '打扫不卫生，卫生间恶心，床上更恶心', '短评打分': 1}
{'短评内容': '，酒店位置比较方便，3号线4号线7号线地铁口，卫生不行，房间设施陈旧', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '酒店设施差，性价比不如住如家，', '短评打分': 2}
{'短评内容': '订的大床房却成了优惠房大床房！床只有1.2米！房间也不大！服务员还说就是这种！那干嘛不都一个价钱好啦！', '短评打分': 3}
{'短评内容': '交通很方便 附近小吃也很多 只是房间没有电吹风', '短评打分': 5}
{'短评内容': '虽然便宜，但是也就那个档次。实在找不到住的地方，将就一下。无所谓好与坏', '短评打分': 5}
{'短评内容': '离地铁近，方便。但地铁声音也大，还好白天不在', '短评打分': 3}
{'短评内容': '房间还好，只是开的房间对着电梯非常不爽换也没的换，周边还好小吃比较多，只是对着地铁有点吵，空调效果也非常不好，加被子又没有，习惯好评。', '短评打分': 4}
{'短评内容': '酒店位置比较好，就在地铁站旁边。', '短评打分': 4}
{'短评内容': '不错，下次还订这家', '短评打分': 5}
{'短评内容': '服务态度一般 不好不坏！房间很小很压抑，洗漱台水龙头居然都晃动了，汗！楼下有不少小吃。', '短评打分': 3}
{'短评内容': '挺不错的酒店，比较有情调，比较满意', '短评打分': 5}
{'短评内容': '怎么说呢？就是很一般吧，除了地段可以，其余我就真想不出哪里好。在高架下面，房间里好象有点异味，装修算是有点特色吧。', '短评打分': 3}
{'短评内容': '适合情侣', '短评打分': 4}
{'短评内容': '隔音差些，位置比较方便', '短评打分': 3}
{'短评内容': '给客户定的 反馈非常好 住的很舒服', '短评打分': 3}
