{'短评内容': '地理位置很不错，周边交通便利，吃饭样样俱全！', '短评打分': 5}
{'短评内容': '定的房间没有早餐 环境不错. 位置优越 有公交方便出行 停车位早一点也会有. ', '短评打分': 5}
{'短评内容': '胜在便宜，周边吃的地方多！', '短评打分': 3}
{'短评内容': '胜在便宜。', '短评打分': 3}
{'短评内容': '房间干净，整洁。位置非常方便，前台态度很好，一次非常满意的入住！', '短评打分': 5}
{'短评内容': '不错挺干净', '短评打分': 5}
{'短评内容': '在长春铁北这家酒店挺好的了，价格也不贵。', '短评打分': 5}
{'短评内容': '感觉不好，床有点脏，下次去长春不会再入住了。', '短评打分': 1}
{'短评内容': '不是A派连锁店，网络太慢了，网页都打不开，洗浴也没有压。', '短评打分': 1}
{'短评内容': '可以免费上网', '短评打分': 3}
{'短评内容': '房间很温馨，只是电脑不好使', '短评打分': 3}
{'短评内容': '环境卫生，舒适安静，不错的选择，这个价格有这样空间非常值提推荐。', '短评打分': 5}
{'短评内容': '服务质量特别差！服务员根本都是白痴！洗澡水跟尿尿一样，水特少！', '短评打分': 1}
{'短评内容': '要有早餐就好了', '短评打分': 3}
{'短评内容': '酒店还不错。卫生挺干净的。设备比较新，服务态度也很好.............................................................', '短评打分': 5}
