{'descr': '挺好 环境不错 交通便利', 'star': 5}
{'descr': '、vvvvbbbn', 'star': 5}
{'descr': '已经连续住了近半个月了环境很好，', 'star': 5}
{'descr': '还好一般可以', 'star': 5}
{'descr': '京东能够及时帮助解决问题', 'star': 5}
{'descr': '非常方便，非常好，环境不错', 'star': 5}
{'descr': '不错   很舒心', 'star': 5}
{'descr': '很不错，环境好，宽敞，整洁', 'star': 5}
{'descr': '很好啊', 'star': 5}
{'descr': 'henhao', 'star': 5}
{'descr': '这个酒店位置在家俱城附近，附近有很多商铺和饭店，非常方便。对釆购家俱、家用装修装饰材料非常方便。价格很优惠。', 'star': 5}
{'descr': '太冷了', 'star': 3}
{'descr': '有点差的酒店 首先酒店的位置就很不好找 位于铁西家具城 酒店里面入住的客人都是烟鬼 在前台办理入住剪直被熏的不行了 而且前台的服务员办理入住速度太慢了 受不了 也不组织客人吸烟 素质差的要死 电梯也是脏死了 ', 'star': 1}
{'descr': '前台接待服务态度好，酒店还是很干净的，', 'star': 5}
{'descr': '酒店挺好的', 'star': 5}
{'descr': '酒店环境很好，服务很好，。      。。', 'star': 5}
{'descr': '也就是还行吧 临时有考试的涨价了 呵呵', 'star': 4}
{'descr': '整体很不错，就是房间冷呀！中央空调不给力呀！', 'star': 5}
{'descr': '环境挺好，地点方便！', 'star': 5}
{'descr': '除了停车困难之外，其余都不错！', 'star': 5}
{'descr': '价格便宜，服务很好。开了比较久了应该，设施较旧。', 'star': 4}
{'descr': '酒店很干净，商务特大床很舒服。下次出差还预定这里。', 'star': 5}
{'descr': '不错，服务很不错。环境也好，。交通便利。', 'star': 5}
{'descr': '很不错 容易找得到 价格也便宜 服务员的态度非常好', 'star': 5}
{'descr': '房间比较小，总体来说对得起这个价格', 'star': 3}
{'descr': '房间太小，不太舒适，交通还是比较方便！希望大家考虑考虑！', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '不错的酒店，我下次来的话，还会入住该酒店，顶！', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '酒店位置 很好找，房间设施也挺好，床很大，适合出差住，离家具城很近。 \n', 'star': 5}
{'descr': '环境不错，就是贵点', 'star': 3}
{'descr': '位置还不错，房间有点小，离地铁站有点远，周边配套比较全，离铁西百货、和商场比较近，适合入住，不错，值得推荐。', 'star': 5}
{'descr': '非常好，干净，安全', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '酒店一如既往的好，服务很舒服；距离铁西百货很近，逛街也超级方便的；值得赞一下！', 'star': 5}
{'descr': '酒店一如既往的好，服务很舒服；距离铁西百货很近，逛街也超级方便的', 'star': 5}
{'descr': '周边购物都比较方便  内部环境都还是不错的 ', 'star': 5}
{'descr': '感觉挺不错的，会推荐，有机会还会去住宿。', 'star': 5}
{'descr': '环境不出错，交通便利，服务很好，下次还会在住。', 'star': 5}
{'descr': '13楼供水都断断续续的！靠近道边很吵，前台态度也不好！', 'star': 1}
{'descr': '环境卫生都还不错   离万达广场 家乐福都很近  出行购物都不错 ', 'star': 5}
{'descr': '交通便利，房间舒适，环境一般，设备有些旧，安全性很高。', 'star': 5}
{'descr': '酒店很干净、很好。同学聚会订的，反映都不错', 'star': 5}
{'descr': '服务态度很好，很干净，洗澡水冲力很大，值得入住。', 'star': 5}
{'descr': '清洁卫生，房间挺大，就是空调不是很好，交通便利。', 'star': 5}
{'descr': '酒店环境还行，就是房间有点小。地方不太好找，从沈阳站打的十一块钱…还有就是两天借吹风机都没借到…', 'star': 3}
{'descr': '服务态度很好，附近公交车不是很方便，室内卫生条件很不错!', 'star': 5}
{'descr': '总体不错。整潔乾淨。但交通稍有不便。\n會向朋友推薦！\n下次還會來！', 'star': 5}
{'descr': '酒店干净卫生，服务员态度很好。 以为太便宜所以是阴面，有点冷', 'star': 5}
{'descr': '非常好的服务，非常合理的价格，非常值得推荐！', 'star': 5}
{'descr': '房间太冷了，其他都很好。房间太冷了，其他都很好。房间太冷了，其他都很好。', 'star': 5}
{'descr': '便宜，卫生，感觉，位置好，推荐，不错的地方，沈阳这样的少', 'star': 5}
{'descr': '这个酒店服务等还行，安全也很好，就是到市区太远了。', 'star': 1}
{'descr': '交通便利，房间很干净，很温馨，前台服务周到细心，会再次光临', 'star': 5}
{'descr': '非常舒适，清洁干净，只是隔音效果不是很好。', 'star': 5}
{'descr': '地点不错，出行比较方便，周围吃的东西也蛮多的。', 'star': 5}
{'descr': '地点还是很不错的，出行比较方便，酒店比较干净，可以考虑的。', 'star': 5}
{'descr': '环境不错，交通还是很方便，周围吃的很多，买东西也还方便，只是这个季节有点凉，不过建议之后，第二晚就好了，还很不错', 'star': 5}
{'descr': '这家店，特价的房间是三面冷山的，，，天气冷的时候，真的温度不行。。还是选择贵一点点的非特价还是不错的。。。180的那个豪华大床房也真是不错的。。', 'star': 5}
