{'短评内容': '还可以吧，，空间还大，我们住的套房。', '短评打分': 4}
{'短评内容': '早餐不错，酒店有停车场，房间宽畅，干净。服务周到。', '短评打分': 5}
{'短评内容': '酒店在当地算不错的，当地最早的设施设备齐全酒店，朱镕基总理曾下榻过的酒店，有地面专用停车场，值得推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '泸定县很难找到好酒店，因为是带孩子，所以就选择环境要较好一点的酒店，但是到酒店很失望，前台的服务态度不好，携程上订比在酒店里定房间要便宜、前台服务员非要让我们在她那定，还忽悠我们说网上订的是没有窗户的房间，我说网上写的就是定的房间第五层那一间，第五层有窗户，凭什么给我们开没有窗户的？结果她给我们开了518房间、确实有窗户。第二天早上我打总台电话，让他们给我送个牙刷过来，他们直接把电话给我挂了，等了', '短评打分': 4}
{'短评内容': '宾馆一般吧 设施很陈旧的 随便住住还是可以的', '短评打分': 5}
{'短评内容': '还行吧，就那样，价格相对贵，小县城价格高，设施一般般', '短评打分': 5}
{'短评内容': '总体来说房间不错，位置比较偏！', '短评打分': 5}
{'短评内容': '房间还可以，就是服务态度很差！', '短评打分': 5}
{'短评内容': '还可以再甘孜州来说', '短评打分': 5}
{'短评内容': '基本还是可以，服务还行，基本交通卫生等都还可以，下次还会再考虑，基本还是可以，服务还行，其他环境也基本可以', '短评打分': 5}
{'短评内容': '因为是泸定县政府接待酒店，所以选择。但是设施设备太旧旧了，洗澡水时热时冷。在泸定算可以了，关键停车方便。', '短评打分': 3}
{'短评内容': '这次换了间房间好多了', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '很安静，不错', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '老牌酒店，还算不错，只是外面修路很找了下路', '短评打分': 5}
{'短评内容': '房间挺大，设施较为完备，当地最好的酒店了！早餐还可以，性价比高，服务态度也不错，有独立院子、停车场。', '短评打分': 4}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': ' 总体不错，但设施已显陈旧，服务态度尚可，作为旅游中转一晚就行了。', '短评打分': 3}
{'短评内容': '在当地应该是最有名气的酒店了  到了泸定 都有指示牌引导\n开店蛮久了  所以设施都有些陈旧的  没有图片里看到那么新\n但是还是收拾的很干净的\n早餐很好 选择的食物很多 不错~', '短评打分': 5}
{'短评内容': '，宾馆不错，因急着上路过后再发图片', '短评打分': 3}
{'短评内容': '还是不错，比较安静，早餐丰富', '短评打分': 3}
{'短评内容': '谢谢', '短评打分': 3}
{'短评内容': '感觉还不错，在泸定这里算是不错的宾馆，大堂很宽敞，服务还可以，有很大的停车场。这样很方便。而且有好多名人住过这里，值得推荐！', '短评打分': 5}
{'短评内容': '在革命老区有这样一个宾馆相当不错哦，价廉物美。我是第二次入住，他坐落在大渡河旁，离泸定桥非常近。有机会到川西还要入住。', '短评打分': 5}
{'短评内容': '床单被套比较干净，房间安静，只是房间设施稍微老了点。入住时很紧俏，没预订就没房间了。', '短评打分': 3}
{'短评内容': '酒店位置不错，周边出行蛮方便的，性价比还行，住宿环境挺好的', '短评打分': 5}
{'短评内容': '距离泸定桥很近，周边出行还算方便，房间装修的简洁，住宿环境很一般', '短评打分': 3}
{'短评内容': '酒店服务还可以，比较热情周到，房间卫生条件很好打扫的很干净，其他都还可以', '短评打分': 3}
{'短评内容': '宾馆距离泸定桥很近，顺着大渡河走就到了，步行就可以，房间住宿环境很好，比较安静，房间装修的比较简洁，服务很好，热情周到', '短评打分': 5}
{'短评内容': '房间蛮宽敞的，配套设施齐全，舒适度很好，附近交通出行很方便，自驾停车都没问题，酒店后面有个泸定美食街，吃东西很方便，前台服务员很热情周到，早餐不错，蛮丰盛的', '短评打分': 5}
{'短评内容': '住宿环境很好，蛮安静的，没有骚扰电话，停车很方便，有专门的停车场，房间卫生条件不错，打扫的很干净，舒适度不错', '短评打分': 5}
