{'短评内容': '位置非常合适', '短评打分': 5}
{'短评内容': '没有吹风机，隔音有些差，没有停车场，但老板还是好心帮腾出来停车地方，虽然早上一大早就走了', '短评打分': 2}
{'短评内容': '旁边就是客运站，买车票很方便，房间设施倒还齐全，只是没有吹风，要去前台拿，我们这个三人间厕所门是坏的，还没有窗户，空气不好，只是少了路边车来车往的声音，安静。', '短评打分': 5}
{'短评内容': '挺好，很好，非常好。性价比高，老板一家都挺好。免费停车，可以加床，就在旅游客运中心旁边。', '短评打分': 5}
{'短评内容': '价格合理', '短评打分': 5}
{'短评内容': '在峨眉山下面，离公交站很近，离上山的班车也很近，非常方便，行李什么的都可以寄存，早上的稀饭也很不错。', '短评打分': 5}
{'短评内容': '酒店地址确实很方便，旁边就是游客中心，时间一点都不操心，出门就可以直接去大厅买票上山，酒店设施如果说一般出游还是可以，比较讲究的朋友慎选，老板人还是很实在，楼上住宿楼下饮食。峨眉这边大多酒店都是这种经营模式', '短评打分': 4}
{'短评内容': '对于景区的酒店来说，还算可以。', '短评打分': 5}
{'短评内容': '挺好找的，就在车站旁边，老板比较热情，会介绍怎么游玩，就是餐店里有几个服务员的态度不怎么样，点个餐拖拖拉拉', '短评打分': 4}
{'短评内容': '老板一家人很好 物超所值 干净宽敞 每天有打扫卫生 换洗漱用品 住店吃饭打折哦 哈哈 免费地图 寄存行李 在客运站旁边 一切一切都很美好 虽然峨眉山这两天都下着小雨 但是遇到这样的店家 心情变的很好 还有要买茶叶的朋友 可以从店家这边联络 我想最起码会买到真的 出门在外很容易被骗 自己分不出真假 谢谢店家帮忙 下次游玩还会入住 会介绍朋友 祝店家生意兴隆', '短评打分': 5}
{'短评内容': '环境还可以 离客运站近 但服务真心一般', '短评打分': 4}
{'短评内容': '环境不错，停车方便，店家服务很好，还有早餐；本人把房门钥匙丢了，店家说出门不容易并把押金全退了，好人啊！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '非常一般。地理优势明显。。', '短评打分': 3}
{'短评内容': '那个时候也只能订这样一个酒店了。位置就在客运中心旁、很近。。条件非常一般。', '短评打分': 3}
{'短评内容': '朋友说非常不错，性价比还很高，就在山脚下，下次有机会我也去试试', '短评打分': 5}
{'短评内容': '酒店环境挺好，卫生舒适。购物旅游都挺方便。服务还行。满意。', '短评打分': 5}
