{'短评内容': '下水道排水慢', '短评打分': 5}
{'短评内容': '和一百多的价格还是匹配的，没有太多要求。离要办事的地方比较近，所以那边的人推荐的。比预计的要好些，在这个价格下可以考虑入住。', '短评打分': 3}
{'短评内容': '和一百多的价格还是匹配的，没有太多要求。离要办事的地方比较近，所以那边的人推荐的。比预计的要好些，在这个价格下可以考虑入住。', '短评打分': 3}
{'短评内容': '有停车场，适合带孩子', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '就知道推销食品用品给顾客，没有Wi-Fi，电视老旧，没有衣架，一点不人性。打电话给客服，修不好Wi-Fi，空调十六度都不怎么凉。你们看看', '短评打分': 1}
{'短评内容': '。。。。。。。。。', '短评打分': 3}
{'短评内容': '这酒店服务不好，同等价钱没起它酒店好，被子床单旧，卫生也不好，隔音差，前台服务气死人，明明拿着自己的证件，她偏说不是我的，不让我入住，叫她报警来确认是不是我本人又不报，就酒店环景来说不建议入住。', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '由于飞机晚点时间很久，打电话给酒店，前台帮我预留了房间，服务很好，房间整体还不错，附近就是商业中心，交通、餐饮等都比较方便，值得出差的朋友入住。。。。。。', '短评打分': 5}
{'短评内容': '还行吧。便宜。', '短评打分': 5}
{'短评内容': '性价比不高，', '短评打分': 3}
{'短评内容': '位置很好，隔音稍差点，还可以接受', '短评打分': 5}
{'短评内容': '还可以 丝好好休息时间去想那些乱七八糟', '短评打分': 3}
{'短评内容': '条件一般，还可以，挨着大浪商业街', '短评打分': 3}
{'短评内容': '卫生好差 床单都发黄了', '短评打分': 3}
{'短评内容': '竟然没有烫衣服的', '短评打分': 4}
{'短评内容': '性价比高，周边吃喝玩乐都方便', '短评打分': 3}
{'短评内容': '酒店硬件很好，干净卫生，最好的就是前台服务质量太好了，前台服务员很有气质，说话彬彬有礼，不愧是咱们中国的女人的代表，有中国女人味，我记的我只带卡了，没有现金，只能刷房钱，现金要交押金，人家很客气地说一些流程，最后还是给我开了房间，比起关内那些星级酒店前台小姐强百倍，那些小姐就像是瞧不起住一百以上的人，这家酒店握住了几次了，感觉赔好', '短评打分': 5}
{'短评内容': '还可以，实惠！住了三晚。下次还会住这里。', '短评打分': 5}
{'短评内容': '不错，实惠，比门前便了20元。是新的商务酒店。', '短评打分': 5}
