{'短评内容': '一如既往的 习惯性的 住这', '短评打分': 4}
{'短评内容': '一如既往的 习惯性的 住这', '短评打分': 4}
{'短评内容': '一如既往的 习惯性的 住这', '短评打分': 4}
{'短评内容': '说一个问题就好。原因就是欠缺吹风机！大冬天的洗完澡头发湿哒哒的，没有吹风机真的是不行，又要等头发干彻底了才入睡，真是煎熬啊！', '短评打分': 3}
{'短评内容': '服务真是是差到没边，一边办入住，一边玩王者荣耀，还嫌弃客人麻烦，不服别人就服你，酒店前台做到这样真是没谁了，真是给夏商摸黑啊！', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '位置比较难找，出入麻烦一下', '短评打分': 4}
{'短评内容': '感觉很不好的一次住酒店', '短评打分': 3}
{'短评内容': '感觉不错', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一如既往的好。', '短评打分': 5}
{'短评内容': '酒店周边比较偏', '短评打分': 4}
{'短评内容': '总体不错，电器设备比较老旧', '短评打分': 4}
{'短评内容': '一如既往。', '短评打分': 5}
{'短评内容': '很好。一直预定这家。', '短评打分': 5}
{'短评内容': '很好！有机会还会去', '短评打分': 5}
{'短评内容': '还好，晚上网络会卡。其它都还好。住第3次了', '短评打分': 5}
{'短评内容': '服务好，就是交通不方便，服务好，就是交通不方便，服务好，就是交通不方便，', '短评打分': 5}
{'短评内容': '酒店环境还不错，住的也还不错。', '短评打分': 3}
{'短评内容': '老住户了，服务不错，就是交通不是很方便，要走到路口去打车。', '短评打分': 5}
{'短评内容': '干净卫生，早餐也不错，服务态度很好，停车安全放心', '短评打分': 5}
{'短评内容': '就是太偏僻 价格是不贵 不过没网络 前台服务员好像什么都不懂 一问三不知 其他都OK', '短评打分': 5}
{'短评内容': '这次入住实在把之前的好印象全破换了，和酒店无关，就某些低级趣味的人，生怕别人不知道他低级，非强迫众人皆知。', '短评打分': 1}
{'短评内容': '同事住的，帮忙顶的，说实话，酒店也没什么的，但有的住店客人太趣味低级了，实在恶心', '短评打分': 1}
{'短评内容': '本来就觉得床垫不舒服，其他的也勉强，比较价格在那了，但6月中住了以后，以后不住了。和酒店没有关系，是入住客人太低级了。', '短评打分': 1}
{'短评内容': '本来是觉得除了床垫太难受，其他都好的，但6月中住了以后，估计以后不住了', '短评打分': 5}
{'短评内容': '比较安静，很好，就是床太硬，喜欢软床的朋友可能不太习惯', '短评打分': 1}
{'短评内容': '价格是不错，，挺便宜，，但是呢，交通太不方便了', '短评打分': 1}
{'短评内容': '不错，就是比较难打车，要走到路口。不错，就是比较难打车，要走到路口。', '短评打分': 5}
{'短评内容': '环境还不错很安静，房间里面很干净。就是地方有点偏僻，不过价格优惠，也算是物有所值。', '短评打分': 3}
{'短评内容': '酒店地点比较偏，较安静。但是打车不方便，吃饭也不方便。', '短评打分': 5}
{'短评内容': '还不错。我住第二次了。', '短评打分': 3}
{'短评内容': '酒店服务不如以前了，每次让前台叫车，都反馈没有，自己走到路口就有。', '短评打分': 1}
{'短评内容': '还行，就是有点偏。性价比尚可........', '短评打分': 5}
{'短评内容': '位置偏了点，但店内环境还不错。缺点呢，电视节目太少了，很多台都收不到。其中体育台就没有，那个郁闷啊。。。。。。，希望你们改进。', '短评打分': 5}
{'短评内容': '网络很不错。房间环境很好。服务态度不错。位置离火车站近，走十几分钟就到。在排头村里。附近没有路灯。', '短评打分': 3}
{'短评内容': '总体还可以，电视不是那种有线电视，是卫星电视，总是会没有台，网络有点差。卫生条件还可以，建议预定。。', '短评打分': 5}
{'短评内容': '酒店环境不错。', '短评打分': 3}
{'短评内容': '真的非常不错的！向大家推荐，价格实惠，服务周到，地段也不错！', '短评打分': 5}
{'短评内容': '网络需要改善，交通不方便。', '短评打分': 1}
{'短评内容': '交通不方便，前台换人了，服务不如以前。交通不方便，前台换人了，服务不如以前。', '短评打分': 5}
{'短评内容': '交通超级不方便。', '短评打分': 1}
{'短评内容': '还不错的。。卫生好。。水温保证稳定。。就是有一点。。对房型的称呼感觉没有统一。。网上是标准大床房。。前台说是标准单人房。。还有就是前台的服务态度略显生硬、、总体还是不错的、、', '短评打分': 5}
{'短评内容': '还行，被子只有一条挺薄，这天气睡有点冷', '短评打分': 3}
{'短评内容': '干净＋安静，就是交通不大方便，跟女朋友开房的这个首选。', '短评打分': 5}
{'短评内容': '地理位置较为偏僻，房间床很硬，早餐很简单，但是还不错，装修较好，前台服务挺好的', '短评打分': 3}
