{'descr': '挺不错的', 'star': 5}
{'descr': '慢嗨好，双层窗户，声音比较轻。', 'star': 5}
{'descr': '可以的', 'star': 5}
{'descr': '服务很周到', 'star': 5}
{'descr': '干净卫生，位置好', 'star': 5}
{'descr': '111111111', 'star': 5}
{'descr': '总体感觉还可以了，  房间不是太大了  价位性价比不错哦', 'star': 5}
{'descr': '离高速口还蛮近的，靠近轻轨，但是夜间停了噪音还好，唯一不满意的就是停车不方便，车位较少。附近餐饮选择不是很多，最好开车方便一些。房间大小还可以。', 'star': 5}
{'descr': '同学结婚，从携程网上预定的房间，价格比上门住便宜多了，性价比也挺高的，从高速路口下来几分钟就到了，酒店在东亭老街，离地铁站也挺近的，走路几分钟就到了，做地铁还直接能去三阳广场，特别方便。周边有好多好吃的，水果店，小吃店，还有逛的地方，买东西啥的也特别方便。在前台办理登记的时候，前台小姑娘可热情了，因为入住的人多，我们需要等一下，就让保安师傅给我们每人倒了杯热奶茶，这么冷的天喝杯热奶茶多暖心啊，轮到', 'star': 5}
{'descr': '同学结婚，从携程网上预定的房间，价格比上门住便宜多了，性价比也挺高的，从高速路口下来几分钟就到了，酒店在东亭老街，离地铁站也挺近的，走路几分钟就到了，做地铁还直接能去三阳广场，特别方便。周边有好多好吃的，水果店，小吃店，还有逛的地方，买东西啥的也特别方便。在前台办理登记的时候，前台小姑娘可热情了，因为入住的人多，我们需要等一下，就让保安师傅给我们每人倒了杯热奶茶，这么冷的天喝杯热奶茶多暖心啊，轮到', 'star': 5}
{'descr': '主要停车比较麻烦', 'star': 5}
{'descr': '酒店设施一般，比较陈旧，隔音不好', 'star': 4}
{'descr': '很不错', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '可以的', 'star': 5}
{'descr': '去附近得客户那边 住在这里，床不算太舒服，临街会有点吵，旁边老街吃的好多，古楼香小龙和馄饨特别好吃，走走就到了', 'star': 4}
{'descr': '环境不错。一分价一分货。', 'star': 3}
{'descr': '江浙一带的酒店真是物美价廉，入住的这家靠近地铁，吃饭也方便，挺好！', 'star': 5}
{'descr': '房屋干净，隔音一般；\r\n价格便宜；\r\n交通方便', 'star': 4}
{'descr': '物美价廉...', 'star': 5}
{'descr': '位置不错  服务也不错  地点很好  很值得推荐', 'star': 5}
{'descr': '很好  附近东西也还可以  吃饭 水果 都有', 'star': 5}
{'descr': '离我要去的建材市场很近 附近都是建材市场 不过要是去其他地方就不要住这里了，锡沪路一直在修路 道路不是很好', 'star': 5}
{'descr': '总体还可以，距无锡东站很近，公交方便，服务可以', 'star': 5}
{'descr': '干净舒适，房间再大些就更好了。位置还好，服务态度好！', 'star': 5}
{'descr': '房间内卫生比较好，周围环境也挺不错。住的比较舒适，唯一就是卖的东西价格太高。 ', 'star': 5}
{'descr': '总体还行，就是目前门口施工，有点点灰尘，隔音做的还不错，没有影响到休息。如果工程完工，还是挺好的。', 'star': 5}
{'descr': '酒店很干净，环境也不错。\n酒店很干净，环境也不错。酒店很干净，环境也不错。\n\n', 'star': 5}
{'descr': '虽然网上前阵子曝光如家个别店不够卫生，但所住的这间还是蛮舒适的', 'star': 5}
{'descr': '还不错啊 就是选择标准间的时候要注意了 标准间全部靠马路 ', 'star': 5}
{'descr': '酒店不错。就是自己电脑win7,居然不能连酒店网络，希望酒店赶快解决。另外，希望开放Wifi.', 'star': 5}
{'descr': '＋环境好价好。', 'star': 3}
{'descr': '房间还干净，整洁，服务态度挺好的。就是修地铁有点不便', 'star': 5}
{'descr': '房间比较实惠，附近有很多小吃，就是有点吵', 'star': 5}
{'descr': '还可以~~比较方便~~卫生条件也可以~~~提供更多免费服务就更好了~~', 'star': 5}
{'descr': '服务态度还是一样的好  就是周边在造地铁  有点乱 和吵  ', 'star': 5}
{'descr': '还凑合了，如家么，住过的人都知道的，说不上号也说不上坏。', 'star': 5}
{'descr': '保持了如家一贯的风格，人性化、简单、干净；', 'star': 5}
{'descr': '如家快捷酒店（无锡锡沪东路店）紧邻正在施工的马路，夜间很吵闹！', 'star': 1}
{'descr': '如家快捷酒店（无锡锡沪东路店）位置比较好，服务员态度也不错，房间设施较新，值得推荐。', 'star': 5}
{'descr': '服务很好，就是离市中心远了点，再就是房间不是很隔音，其他的都还不错。', 'star': 3}
{'descr': '+已入住，一般，不隔音！', 'star': 5}
{'descr': '房间干净，整洁，房间布置的很温馨，卫生间很干净，从房间里看到大运河的风景，感觉很不错，舒适度还可以', 'star': 5}
{'descr': '酒店位置不错，交通方便，其他都还可以', 'star': 5}
{'descr': '位置太偏,而且房间空间太狭窄了', 'star': 1}
{'descr': '每次都住在那里，卫生安全和服务，如家的不错', 'star': 5}
{'descr': '我顶的是159元的大床房，房间装修很精致，粉红色的色调让人觉得很温馨，卫生间的装修更是惊喜。卫生环境好，自助餐比较好吃，唯一美中不足的是临街的窗户不隔音，太吵了，半夜我都听见有拖拉机呜呜的声音，巧的是我离店的当天就换了双层的隔音玻璃。我从火车站打车过去的，21块钱。那个地方还算偏僻，不过门口就有公交站点，那一站焦作“东亭老街”，8路公交车直接从火车站到酒店门口的公交站。', 'star': 5}
{'descr': '我经常有出差，感觉对这个酒店印象不是很深，挺一般的酒店，就是位置还不错，挺方便的。', 'star': 5}
{'descr': '环境还不错，挺干净的，酒店的地理位置也很好，服务也还可以吧，但没有一些大城市的人员素质高', 'star': 5}
{'descr': '房间内的空调噪音杂音很大，晚上多次吵醒；\r\n\r\n房间之间的隔音不好，隔壁的猪头电视音吵得没法入睡；', 'star': 1}
{'descr': '总体来说还是不错的', 'star': 5}
{'descr': '该用户未发表文字评论', 'star': 5}
