{'短评内容': '房间还行，就是服务态度差，没有服务意识。', '短评打分': 3}
{'短评内容': '很干净整洁', '短评打分': 5}
{'短评内容': '房间干净卫生', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 4}
{'短评内容': '态度恶劣', '短评打分': 1}
{'短评内容': '挺干净的。价格比较合理。位置便利有停车位，没有早餐，加床就不知道了，带小孩的话就要和酒店管理去沟通了！', '短评打分': 4}
{'短评内容': '借不到手机充电器，前台态度生硬。床上有毛发，卫生差。墙纸脱落。马桶漏水。', '短评打分': 2}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '总体评价三星', '短评打分': 4}
{'短评内容': '酒店不错，在世纪大道上，前台服务态度不错，就在菊花仙子像边上，附近餐饮不是很方便，从高铁站打车过来要30元左右。', '短评打分': 4}
{'短评内容': '整体感觉非常好，干净，舒服！房间很有特色！酒店的地理位置也非常好找！距离景区也不是很远！性价比很高！极力推荐大家！', '短评打分': 5}
{'短评内容': '酒店装修有点陈旧，性价比一般，最近在重新装修，但价格又涨了', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '地处市政府附近，交通便利。房间也很新。不错。', '短评打分': 5}
{'短评内容': '服务非常差，餐厅服务员骂人，说老板这么教的，不怕投诉，半夜鬼叫门，满地是卡片，老公住这儿要看好，床垫都是包，觉都睡不好，携程怎么这样客户都有。', '短评打分': 1}
{'短评内容': 'Wi-Fi不好用，给了个路由器，插座有限，电视看不了了，为了有早餐来住这得，比汉庭还贵，郁闷，看看明天早餐啥样吧', '短评打分': 4}
{'短评内容': '现在在京东就可以预订酒店了，真的是太方便了。下次预订酒店首选京东。', '短评打分': 5}
{'短评内容': '还不错吧，觉得枕头好高啊，还有被子好像不是特别干净，不过总体感觉还行', '短评打分': 3}
{'短评内容': '不知道好评哪来的，杯子茶残留都在，浴室少半扇门，天花板缺一块的，连拖鞋都是破的', '短评打分': 3}
{'短评内容': '位置听好的。本来预定两间豪华单人大床间，但是到了只给了豪华和普通的各一间，差别不算很大！这个季节被子很潮湿，睡的不舒服！房间电视屏幕有一竖道，看着有影响！早上送得自助餐还可以。总体来说感觉还可以！推荐入驻！', '短评打分': 5}
{'短评内容': '房间挺干净的，刚开始打过去电话说没房了，跟他讲理后才让过去的', '短评打分': 3}
{'短评内容': '还行\n房间轶大装修还不错，总体感觉还行。', '短评打分': 5}
{'短评内容': '住宿条件还好，服务不错。', '短评打分': 3}
{'短评内容': '还不错呢，自助早餐也很好啊，桐乡的民风很淳朴呢，就是床有点短了。。别的都很好。。', '短评打分': 5}
{'短评内容': '挺好！位置不错，世纪大道和振兴路口，附近有很多好吃的，离客运中心和世贸中心都很近，打的也很方便。开车的话，车位一般都可以满足。', '短评打分': 5}
{'短评内容': '宾馆整体不错，性价比蛮高的，交通也比较方便，周边餐饮业也发达。最主要的是这里是我美好爱情开始的地方。', '短评打分': 5}
{'短评内容': '态度还不错  电视机坏了  房间没换 退了30块钱 ', '短评打分': 5}
{'短评内容': '还不错的说，就是不知道怎么坐公交去乌镇，最后没办法打车去的', '短评打分': 5}
{'短评内容': '总体感觉还行吧，就是外面马路上比较吵，被子什么滴感觉不是很干净吧', '短评打分': 5}
{'短评内容': '酒店设施比较新，除了我住的房间对门是餐厅及淋浴的龙头有点问题外，别的都很OK，性价比较高，推荐一下。', '短评打分': 5}
{'短评内容': '环境不错。地段不错。干净卫生。', '短评打分': 3}
{'短评内容': '158的价格真很不错的房间了，中规中矩的房间，满意！就是早餐不怎么样，呵呵！', '短评打分': 5}
{'短评内容': '酒店安全干净清静离乌镇很近不错', '短评打分': 3}
{'短评内容': '总体还不错，就是隔音稍差，热水较小，天冷的话就不要去了，这么小的水的话。', '短评打分': 5}
{'短评内容': '装修太老，不如连锁的好。', '短评打分': 3}
{'短评内容': '性价比很高。特别是入住当天的大堂很认真负责。因为我们当天去的比较晚，所以电脑的订单处理系统出了一些问题。酒店积极及时处理了这个问题，并且我们感到很满意。谢谢', '短评打分': 5}
{'短评内容': '性价比较好，早餐也不错，是居家旅游的好选择。', '短评打分': 5}
{'短评内容': '酒店环境不错，也挺安静，地理位置还好，尤其是里面卫生间采用透明褐色纱窗，别有风味哦，哈哈', '短评打分': 5}
{'短评内容': '自己开车离乌镇20几分钟路程。。。酒店还行，比较好找，唯一不足的是毛巾很旧了，早就该换了，别的还OK', '短评打分': 5}
{'短评内容': '酒店交通方便，房间大很卫生，设施不错，就是早餐有点简单，不过下次还是会选择入住此家酒店～', '短评打分': 3}
{'短评内容': '还可以,也比较卫生干净', '短评打分': 3}
{'短评内容': '很不错。 里边挺干净的，同等价位在南京绝对不会像那么好', '短评打分': 5}
{'短评内容': '挺不错的，干净，服务也还不错的~就是免费的早餐提供的吃的不够丰富', '短评打分': 5}
{'短评内容': '房间一般，服务还可以', '短评打分': 3}
