{'短评内容': '垃圾！预订没有房，现在却显示预订成功！退房！', '短评打分': 1}
{'短评内容': '隔音特别不好，隔壁说话听得清清楚楚的，晚上两点才睡着。。。。后悔!', '短评打分': 3}
{'短评内容': '房间较小，没有窗户，但是楼下小吃很多', '短评打分': 4}
{'短评内容': '就是没有窗，很压抑，空调声音大', '短评打分': 4}
{'短评内容': '环境可以，周围好多餐馆', '短评打分': 5}
{'短评内容': '我不会再住第二次的了，说完了，自行体会。', '短评打分': 3}
{'短评内容': '不错，周边环境挺好，散步不错', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': ' 挺不错的', '短评打分': 4}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '灯都坏了。。被子竟然没铺就给我房', '短评打分': 2}
{'短评内容': '里面环境还行，比较有特色的是房间的大灯泡，隔音效果一般，走廊外面的声音在房间里听得很清楚。', '短评打分': 4}
{'短评内容': '感觉不太好。图片如果拍的不是别家的就是P过的，完全不一样啊。设施旧也没什么，关键是破旧，那个花洒是除了蓬头水不大，从水管到连接处到处出水都大。床小又硬，枕头罩都起球了。就这像招待所一样的条件还两百多，真的不值。', '短评打分': 3}
{'短评内容': '华南理工大学的门口  可以到学校找找学生时候的感觉', '短评打分': 4}
{'短评内容': '位置：离华工很近，如果你是坐公交到华工的，就问学生穗石商业街怎么走，酒店就在那里，招牌挺显眼的。去广外也很近，适合考生住。 饮食：周围环境就类似于每间大学后门的那条街……吃东西（如果你不挑的话）、买水果什么的都很方便。 房间：住得还OK，但价格有点小贵。', '短评打分': 3}
{'短评内容': '酒店的房间还不错，但服务水平跟不上，我17:00入住房间，竟然还未做清洁！另外酒店在装修，大堂等感觉很凌乱。', '短评打分': 1}
{'短评内容': '环境不错，服务很好！', '短评打分': 3}
{'短评内容': '在大学城这种生态环境中，如此酒店的确是让人大跌眼镜。档次低却房价高，整个酒店40%房间无窗，空调超级烂，4个钟头后才觉得有点凉。', '短评打分': 1}
{'短评内容': '装修很简单，设施还算齐全。就是交通太不方便了', '短评打分': 5}
{'短评内容': '房间设置很特别，尤其是浴室，很有特色，蛮不错。', '短评打分': 3}
{'短评内容': '第二次去大学城，感觉好大，找了半天，环境不错，周围就是吃的，室内环境也还行吧，有电脑可以上网，就是价格说实话有点贵，名为情缘确实是大学生谈情说爱的地方，灯关很暧昧，最有趣的是侧说、浴室跟卧室就隔着一扇透明玻璃，真是一览无余啊，呵呵，广州的大学生真的很会享受嘛。', '短评打分': 5}
{'短评内容': '酒店环境还不错 就是小了点 总体挺好的 设计也挺特别的', '短评打分': 5}
{'短评内容': '环境还可以，就是冷气有点吵........还有就是交通有点不便', '短评打分': 5}
{'短评内容': '大学城华工附近比较靠谱的一家了，但隔音有待改善', '短评打分': 5}
{'短评内容': '地方交通不方便，离考试地点远。里面的环境还好，但设备不好。', '短评打分': 1}
{'短评内容': '整体环境不错~就是下面餐馆晚上挺吵~离华工教学区很近~方便~', '短评打分': 5}
{'短评内容': '整体感觉还不错，就是出行不太方便，没什么公交车出租车', '短评打分': 5}
