{'短评内容': '还好，但是没想象的好，也许是因地制宜吧，合肥要好很多。', '短评打分': 1}
{'短评内容': '服务态度不错，环境不错。', '短评打分': 3}
{'短评内容': '房间空间太小，没有其它格林豪泰的房间大.服务还可以', '短评打分': 5}
{'短评内容': '地处市中心,方便,干净,便宜!', '短评打分': 3}
{'短评内容': '条件还好，只是空间小了点。', '短评打分': 3}
{'短评内容': ' 酒店还可以蛮实惠', '短评打分': 3}
{'短评内容': '凑合吧  价格在这呢\n\n不算吵！\n\n虽然临街。。。', '短评打分': 5}
{'短评内容': '太垃圾了，房间超小，设施差，而且网络不稳定，办好了住房手续上去看了下房间，我要退房，服务员就说可以，按照一天的价格退。。。气愤啊 换了一个地  推荐如家宾馆不错，设施好，旁边还有好多小吃店', '短评打分': 1}
{'短评内容': '没有热水,电视也不能看', '短评打分': 3}
{'短评内容': '床的确很大  不过房间很小  但是很方便  地点很好   就是床放进去之后  没地方占脚了。。。', '短评打分': 5}
{'短评内容': '客房很小，不过交通还是很方便，就在汽车站的对面', '短评打分': 5}
{'短评内容': '房间太小就算了，充斥房间的一股怪怪的味道让人很受不了，，，一夜都没睡安稳。。。感觉是睡在一个毒气房里面。。。。', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '地理位置好，大床房比标间小很多~~停车不太方便', '短评打分': 5}
{'短评内容': '靠街的房间较小，还算安静，在中心干道上，没有停车的地方，只能停到汽车站，酒店承担停车费', '短评打分': 5}
{'短评内容': '这个酒店内部设施不错 服务很好 我们很满意 ', '短评打分': 3}
{'短评内容': '这是我在国内住过比香港还小的房间.安庆人太有才了', '短评打分': 3}
{'短评内容': '早餐便宜且丰富，房间整洁，基本上需要的东西都有！', '短评打分': 5}
{'短评内容': '不错……就是电视节目太少了 有点蛋疼。。。无法看英超。', '短评打分': 5}
{'短评内容': '酒店很干净很整洁，前台服务态度也不错，价格也蛮公道的', '短评打分': 5}
{'短评内容': '位置很好。就是房间太小啦。很压抑的感觉！去的那天正好隔壁的装修，给我安排了比较安静的房间，这点还是很满意的！', '短评打分': 5}
{'短评内容': '态度好,态度好,态度好,态度好,态度好,态度好,', '短评打分': 5}
{'短评内容': '一般，房间里有股味道，价格也不是很便宜。就是做车方便', '短评打分': 1}
{'短评内容': '环境和服务都不错。。交通很便利。基本处于安庆的市中心。', '短评打分': 5}
{'短评内容': '感觉该酒店整洁，干净。服务业很周到，要是价格是含早餐的话，那就更好了。', '短评打分': 5}
{'短评内容': '交通方便，干净卫生，就是房间太小，价位和周边比偏高', '短评打分': 5}
{'短评内容': '交通便利，靠近汽车站，距安师院菱湖校区很近。', '短评打分': 5}
{'短评内容': '乘法鬼画符飞过海法发挥法恢复搞活活动法和', '短评打分': 5}
{'短评内容': '还可以！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务不错，环境也还可以，就是房间空间太迷你了。', '短评打分': 5}
{'短评内容': '服务态度很好。淋浴器龙头坏了，提出后及时更换了。很好！', '短评打分': 5}
{'短评内容': '房间的味道有点大，开开窗户通了半个小时的风终于把这个味给吹散了~~~~~', '短评打分': 1}
{'短评内容': '已经好几次入住该该酒店了。服务态度很好。不过设备有点陈旧了，该换还得换。', '短评打分': 5}
{'短评内容': '性价比不错，服务也很好，设施也齐全…但是房间有点小，而且隔音效果实在太差了…', '短评打分': 3}
{'短评内容': '房间不够宽敞，偶尔住一次还行，交通比较方便，服务态度也不错', '短评打分': 5}
{'短评内容': '：已入住，服务尚可，房间太小。谢谢！', '短评打分': 3}
{'短评内容': '服务态度很好，一开始的房间太暗，一说就给换了楼层高光线好的房间。\n缺点是房间隔音不好，旁边不知道是电梯还是水房，炒得厉害。\n价格应该还是很便宜的。', '短评打分': 5}
{'短评内容': '房间好迷你哦', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间有点小，不过住的还是挺舒服的。交通方便，服务态度也不错', '短评打分': 5}
{'短评内容': '位置在汽车站正对面，比较方便。但房间较小~~', '短评打分': 5}
{'短评内容': '房间太小，而且临近马路边，较吵，同时窗户不能完全打开一点也不舒服。', '短评打分': 1}
