{'descr': '很烂的宾馆', 'star': 1}
{'descr': '还可以距离机场近', 'star': 5}
{'descr': '离机场很近，的士居然嫌太近，拒载，  也是醉了', 'star': 5}
{'descr': '空间大，经济实惠。餐厅饺子不错', 'star': 5}
{'descr': '109返11为何没返11？', 'star': 5}
{'descr': '下单的是二部，被安排去一部住了，装修不说，用品有点旧，被子浴巾等估计洗的时候没放洗涤剂，有味，脏的东西没洗掉，一切用品没有消毒，每天四五点钟就有大帮人大声喧哗各种吵杂，前台服务还可以吧，但后台服务太差', 'star': 5}
{'descr': '便宜！离机场近！走着20分钟！', 'star': 5}
{'descr': '房间不错，很干净，老板人很好，走路去南苑也只要17分钟', 'star': 5}
{'descr': '相同价格在北京就这样，性价比可以', 'star': 4}
{'descr': '一个比较旧的酒店。飞机延误没办法入住的酒店，楼下就是饭馆，这点倒是挺方便，房间挺小，但是通过携程订的，价格也实惠', 'star': 3}
{'descr': '性价比一般，但毕竟价格低', 'star': 4}
{'descr': '图片与实际不符，同时前台态度很差，明明是入住，像是求人。窗框坏了，还能听到隔壁按电灯开关的声音。厕所马桶像不干净的公厕，使用时把盖掀开竟然有水，合理怀疑是没有做卫生而上位客人留下了痕迹。床单被子一看就不干净，房间超级小。只是想着这离机场近，但送机30一位。总之，不要钱也不会再来第二次。', 'star': 3}
{'descr': '还可以吧。', 'star': 4}
{'descr': '位置较偏瞎描述，离机场没那么近，小破店没法住', 'star': 1}
{'descr': '订房时说有双早，到酒店又说没有，影响判断。房间床垫不平，又要了两床被子铺在底下才行。设施很陈旧，价格很低，离机场打车不到10分钟很近！', 'star': 3}
{'descr': '早餐服务需要改进，只提供馒头和咸菜', 'star': 5}
{'descr': '不值这个价，有点像20年前的干店', 'star': 5}
{'descr': '刚好是双节，到处都无房。还好东京上有这房子，赶紧就订了。朋友说住的还不错。赞个', 'star': 5}
{'descr': '之前看评论说没有空调，还真没有能冷死，距离机场也不算很近。', 'star': 1}
{'descr': '之前看评论说没有空调，还真没有能冷死，距离机场也不算很近。', 'star': 1}
{'descr': '六点二十九分服务员持通用房卡开门进入，巨怕！之后嚷嚷到八点点，我现在3月18日九点还在酒店，为什么不能评论？难道好评才行吗', 'star': 3}
{'descr': '六点二十九分服务员持通用房卡开门进入，巨怕！之后嚷嚷到八点点，我现在3月18日九点还在酒店，为什么不能评论？难道好评才行吗', 'star': 3}
{'descr': '如果不是非要赶飞机，就尽量不要选择这里了，偏僻郊区的2层楼宾馆，服务很差，很早就定了大床房到了却告诉我们只有标间了（反正到了那里就那么一个酒店，他们的心态就是你爱住不住），房间不隔音，走廊里几乎一致有人喧哗，而且冷的厉害，空调几乎没用，另外那里的水质极差，都是锈，根本没法自己烧水喝，想喝的话楼下倒是有卖5块一瓶的矿泉水...唯一的优点就是离机场的确不是很远，但是提醒大家千万不要被工作人员和当地人所', 'star': 1}
{'descr': '如果不是非要赶飞机，就尽量不要选择这里了，偏僻郊区的2层楼宾馆，服务很差，很早就定了大床房到了却告诉我们只有标间了（反正到了那里就那么一个酒店，他们的心态就是你爱住不住），房间不隔音，走廊里几乎一致有人喧哗，而且冷的厉害，空调几乎没用，另外那里的水质极差，都是锈，根本没法自己烧水喝，想喝的话楼下倒是有卖5块一瓶的矿泉水...唯一的优点就是离机场的确不是很远，但是提醒大家千万不要被工作人员和当地人所', 'star': 1}
{'descr': '要是夏天  这里是最好的选择 服务和环境都很好 但是冬天非常冷 没有暖气', 'star': 1}
{'descr': '要是夏天  这里是最好的选择 服务和环境都很好 但是冬天非常冷 没有暖气', 'star': 1}
{'descr': '冬天回东北老家时订的酒店，标准间价格还可以，可惜没有暖气，只有空调基本起不了多大的取暖作用', 'star': 1}
{'descr': '冬天回东北老家时订的酒店，标准间价格还可以，可惜没有暖气，只有空调基本起不了多大的取暖作用', 'star': 1}
{'descr': '此酒店太差，房间开了十多个小时没有热乎气，潮气味很大，被子床铺太单薄，穿了一宿的棉裤睡得，真希望他们好好改进，要不是离着机场近，当时就想退房！', 'star': 1}
{'descr': '此酒店太差，房间开了十多个小时没有热乎气，潮气味很大，被子床铺太单薄，穿了一宿的棉裤睡得，真希望他们好好改进，要不是离着机场近，当时就想退房！', 'star': 1}
{'descr': '屋内很干净、整洁，悲催的是现在北京这么冷的天，里面没暖气，把我冻的，怕怕啊。。。。。。。。。。', 'star': 1}
{'descr': '屋内很干净、整洁，悲催的是现在北京这么冷的天，里面没暖气，把我冻的，怕怕啊。。。。。。。。。。', 'star': 1}
