{'短评内容': '酒店环境很不错 第一次入住感觉很不错 酒店圣诞气息很隆重 很漂亮 前台小邵介绍游玩的景点 推介绿色骑行 服务人员文文帮忙拿行李送房间 介绍酒店设施设备', '短评打分': 5}
{'短评内容': '超美的环境！超热忱的服务！从前台的奖歌到房车小管家张文艺MM以及皮划艇的几个师傅，无一不用真诚服务住客！入住赠送的水果饼干晚安奶，送给小朋友的孔雀羽毛，邀请我们体验的皮划艇和秋叶画制作，小朋友自己捡很多送松果，玩得不肯回家啦！早餐的地瓜、笋我非常喜欢。停车方便，适合亲子游玩。餐饮也十分方便！总之非常开心的一次周末亲子游。', '短评打分': 5}
{'短评内容': '第一次入住，环境优美，前台小美服务非常热情周到，值得表扬。下次再来千岛湖，一定首选开元度假村！', '短评打分': 5}
{'短评内容': '前台美女服务很好！', '短评打分': 5}
{'短评内容': '早餐非常好', '短评打分': 5}
{'短评内容': '酒店非常不错！环境很漂亮！前台接待员果果非常好！', '短评打分': 5}
{'短评内容': '正好淡季，房价便宜，服务好，很合算。', '短评打分': 5}
{'短评内容': '酒店服务很好！自助餐很棒！餐厅服务员姜昊服务也特别到位！总之好评！！！', '短评打分': 5}
{'短评内容': '还行。无功无过', '短评打分': 5}
{'短评内容': '整體感覺很不錯，只是酒店設施有點舊...房間衛生間有異味，應該把地漏換下，特別是淋浴房區！酒店的工作人員都很NICE...還有客房區服務員小趙很有親和力...', '短评打分': 5}
{'短评内容': '服务 环境都非常不错 还会再去…！', '短评打分': 5}
{'短评内容': '环境服务都特别好', '短评打分': 5}
{'短评内容': '酒店头一次来，看上去很朴素,淡雅！是我喜欢的风格，酒店前台小安服务态度很不错。很耐心的讲解，很不错。酒店的中心湖景房景色特别美。床也特别舒适！下次还过来', '短评打分': 5}
{'短评内容': '环境不错，服务周到。', '短评打分': 5}
{'短评内容': '超级满意！这么老的酒店还以为设施很旧，其实一点都不觉得，环境很美，餐饮也不错，对于喜欢睡懒觉的我们来说，早餐十点结束是非常开心的！然后还有各种设施可以玩，就泡泡酒店也能呆上几天，非常适合度假。最最主要的是服务超级好，天天都有新鲜水果和舒睡奶，前台的李云飞和夜床服务林娟让我印象深刻，房间连升两级，住了这么多的酒店从没有过这待遇，住了三天还意犹未尽，下次一定要带上孩子再去，希望下次还能在开元有个舒心的', '短评打分': 5}
{'短评内容': '千岛湖新开元酒店，这是一家老牌子酒店，果然是，非常好，服务啊，就餐啊，周边的环境啊，都非常好，非常满意，我们对服务员，对早餐也非常满意。', '短评打分': 5}
{'短评内容': '酒店位置真不错，这次来千岛湖大部分时间都是待在酒店里面的。登岛游太赶了，完全不能好好体验。在酒店里慢慢体验很nice', '短评打分': 5}
{'短评内容': '还好的', '短评打分': 4}
{'短评内容': '服务很好，很热情。送了饼干和水果，因为带了孩子还送了两只小熊。感谢安胜男和张伊静的服务，孩子很开心', '短评打分': 5}
{'短评内容': '很适合亲子度假的酒店，开元酒店非常大，外景都非常赞，特别是室外泳池，夏天来孩子一定玩得开心。服务也很值得一提，酒店员工都非常礼貌亲切，连停车场清扫的阿姨都主动热情跟我们打招呼，祝我们玩得愉快，真是让人心情大好。对了还有就是早上起来推开门竟然有孔雀从门前走过，印像深刻很惊喜。总之环境令人满意，唯一不足可能就是酒店设施有点旧了。下次会选天热的时候再来一次的。', '短评打分': 5}
{'短评内容': '这是第二次入住开元度假村了，感觉不错，服务态度比较好，特别是前台的小张，服务热情贴心。下次到千岛湖还是会考虑住开元度假村。', '短评打分': 5}
