{'短评内容': '舒适…', '短评打分': 4}
{'短评内容': '酒店很好，房间干净整洁。早餐丰盛可口。酒店离火车站很近，对面是加格达奇的广场，而且酒店还有免费的接送航班服务，热情周到。娱乐设施齐全，餐饮部也不错，服务热情，菜品齐全。', '短评打分': 4}
{'短评内容': '挺好的 不错', '短评打分': 5}
{'短评内容': '早餐很不错，超赞', '短评打分': 5}
{'短评内容': '服务好，京东酒店服务也不错', '短评打分': 5}
{'短评内容': '京东订单很不错，服务有保障', '短评打分': 5}
{'短评内容': '每次出来都选择这个酒店，好的没得说', '短评打分': 5}
{'短评内容': '遇到过最具性价比的酒店，五星级的设施，4星际的价格，物超所值。京东酒店，越做越好！加格达奇，大兴安岭地区首府，休闲避暑的好地方，天空特有的加格达奇蓝，透彻心扉。全国少有的行署，地委，独特的行政区划，每年黑龙江给内蒙古补偿。', '短评打分': 5}
{'短评内容': '服务可以 早餐不错 wifi 有点慢', '短评打分': 5}
{'短评内容': '俯瞰街景，很棒', '短评打分': 5}
{'短评内容': '俯瞰街景，很棒', '短评打分': 5}
{'短评内容': '很好，帮妈妈同学聚会订的，下次自己也去体验一下', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '加格达奇最好的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好！条件不错。', '短评打分': 5}
{'短评内容': '物有所值 美好回忆', '短评打分': 5}
{'短评内容': '酒店高大上，应该是加格达奇最好的酒店了，性价比很高，交通便利，窗外就是大广场，周围有商场、餐馆等，饭菜质量和价格都很不错，服务态度也不错。推荐。    ', '短评打分': 4}
{'短评内容': '地理位置很方便，离车站很近，房间很温暖，硬件设施很好。', '短评打分': 5}
{'短评内容': '加格达奇比较不错的酒店，值得推荐', '短评打分': 5}
{'短评内容': '不错的选择', '短评打分': 4}
{'短评内容': ' 酒店位置不错，交通方便，硬件很好，房间很大，但是晚餐时间太短，7:30就没吃的了，', '短评打分': 5}
{'短评内容': '多少年没回那里了新开的酒店服务一般需要及强，住了几天还可以吧', '短评打分': 5}
{'短评内容': '前台接待很热情，早餐服务员态度很差，饭店环境很好，很干净。', '短评打分': 3}
{'短评内容': '这是我们旅行4天中住的最舒服的酒店。各方面感觉都挺好。下次来一定要住这里。', '短评打分': 3}
{'短评内容': '入住第一印象很好，温馨整洁，服务以用户所需考虑，很满意，物有所值。', '短评打分': 3}
{'短评内容': '各项硬件够得上5星级。瑕疵是客房部隔音，门缝大。走道的声音清晰。宣传有游泳池、健身房。实际一问，未开。典型的不合标。早餐不错。', '短评打分': 5}
{'短评内容': '房顶高房间宽敞采光好，进门没有潮湿的闷味，不错。被子毛巾也很干净。加格达奇最好的酒店。早餐好吃，推荐！', '短评打分': 5}
{'短评内容': '在加格达奇算最好的了。卫生，房间比较宽敞。早餐比较丰盛。服务还有待提高，我离开的时候，已经在门旁亮了需要清理的灯，回来的时候还是没清理。', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '环境很好，价格也很优惠，服务员的服务态度很好。早饭也很好吃，就是那个地方太冷了。要带好衣服过去，停车的位置较少，不过总体来说，在加格达奇住在这里还是很不错的。', '短评打分': 5}
{'短评内容': '很不错的酒店；全城最高的大厦，装修服务都很到位！', '短评打分': 3}
{'短评内容': '早餐不错', '短评打分': 3}
{'短评内容': '很不错！', '短评打分': 3}
{'短评内容': '本酒店交通方便，环境安静，房间设施齐全，前台服务很好，结账离店速度很快，值得推荐。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '酒店房间不错，但价格偏高', '短评打分': 3}
{'短评内容': '内部环境还可以，就是卫生间地面感觉很脏，再就是房间里晚上很冷', '短评打分': 5}
{'短评内容': '房间宽敞明亮，而且采光好很通透，服务人员也很专业，很贴心.', '短评打分': 5}
{'短评内容': '刚建店，条件很好，而且距离火车站也近，出行极为方便.', '短评打分': 5}
{'短评内容': '内部空间很大，外面看很有高档酒店的气势，早餐也不错，服务也很好，很热情，不过我发现卫生间的地面不是很干净，看起来很脏，这一点值得注意，以免影响酒店的形象，还有就是我这个月份来内部的空调不能制热，房间有些冷，不过服务人员很热情，给我拿来了电暖风，非常感谢！', '短评打分': 5}
{'短评内容': '地段好，出行方便，而且周边逛逛也是不错的选择，房间舒适度也挺高的', '短评打分': 5}
{'短评内容': '客房干净整洁，舒适度极高，而且服务人员也很热情周到.挺不错的.', '短评打分': 5}
{'短评内容': '在当地是最高的建筑，很明显，而且很容易找得到，在中心位置，交通便利.', '短评打分': 5}
{'短评内容': '不错的酒店，就是好像没有全部竣工,房间里有装修的味道，令人不是很舒服。', '短评打分': 5}
{'短评内容': '服务硬件设施都很不错，但是当时正在装修还没有装修完房间卫生设施还蛮好的，位置也很好就是市区的位置。价格也不贵。', '短评打分': 5}
{'短评内容': '酒店环境不错.而且是新开业的就是房间有些装修的味道.其它各方面条件也挺好的.', '短评打分': 5}
{'短评内容': '我去的时候还没有完全开业还在装修呢，一些设施上面还是没有装修好，不过酒店的环境还是挺好的，房间的卫生设施没有问题，出行还是挺方便，价格的还算便宜。', '短评打分': 5}
{'短评内容': '不愧是大兴安岭第一个五星级酒店，最高建筑，大老远就看见了金马大楼，走近之后更是没有令我们失望。低调中尽显奢华，不仅体现在大堂的每个角落，房间里宽敞的浴室，液晶电视，柔软舒适的大床，也彰显了我们客人的尊贵。说到尊贵我不得不特别肯定一下前台服务员的工作，他们热情规范的服务，即快速又高效，自始至终带着充满亲和力的微笑，手续办好后“竟然”还送我们至电梯厅，真是体验了一把“贵宾”的感觉。来大兴安岭旅游这里也', '短评打分': 5}
