{'短评内容': '酒店很干净 值得入住', '短评打分': 5}
{'短评内容': '还不错&amp;hellip;&amp;hellip;床稍微有点&amp;ldquo;硬&amp;rdquo;，性价比可以', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '！', '短评打分': 5}
{'短评内容': '我住过测试酒店？', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '我入住的是景观房，房间算大还可以，设施挺齐全的，有阳台，光线足，床硬了一点点，洗手间挂衣的地方不够，偶尔会传出一阵异味。办入住的地方是在另一条街上，另方便程度降低了一些。', '短评打分': 5}
{'短评内容': '距离珠江很近，距广州塔也不远，房间较大，卫生还行，有厨房，性价比较高。', '短评打分': 5}
{'短评内容': '很不错的酒店公寓，但是酒店那边的管理确实比公寓要高出一大截，饮用水、用具等都会好一些。但公寓胜在有无线网络，虽然网速不快。', '短评打分': 5}
{'短评内容': '环境挺好!', '短评打分': 3}
{'短评内容': '挺好，长住短住都舒服。位置好，生活方便，风景好。和珠江新岸酒店同一栋楼，但楼层比珠江新岸酒店高，价格低，性价比高。', '短评打分': 5}
{'短评内容': '酒店位置好，吃饭也方便（但酒店无内部餐厅）。走500米可到周边小区生活区，什么都有了。走100米可达珠江边，风景不错。', '短评打分': 5}
{'短评内容': '内部设施和条件都不错，就是办理入住手续的时候有点麻烦/很好，下次还会住/', '短评打分': 5}
{'短评内容': '环境还可以，态度很不错，就是找了好一会才找到酒店', '短评打分': 5}
{'短评内容': '环境很好，推荐使用，谢谢', '短评打分': 3}
{'短评内容': '还不错，设施都很全，洗衣机冰箱都有，离小蛮腰很近，晚上拉开窗帘就能看到广州夜景，性价比还可以。下次到广州还会考虑这里。建议店家能把床单换成纯色的，因为总感觉带花点的睡着不是舒服。', '短评打分': 5}
{'短评内容': '房间还可以，就是不提供早饭不方便，还有入住和结账要跑到另外一栋楼去也不方便，入住也不能刷预授权，只能刷消费，然后付现金作押金。', '短评打分': 1}
{'短评内容': '很好很好很好很好\n非常好非常好非常好\n以后还会常来的！！！\n这间酒店绝对是五星级的装修和服务但是只是三星级的消费，超值超值超值！！！', '短评打分': 5}
{'短评内容': '非常放便', '短评打分': 3}
{'短评内容': '酒店的情况是比我预想的要好。只是服务上略有点不便，但这个不重要。服务生还是尽最大努力弥补了。', '短评打分': 5}
{'短评内容': '交通方便，视野很好，有能看到珠江和广州塔的房间，宽敞舒适，就是办理入住手续要拐出一条街，有点远啊！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间内空气较清新，卫生条件较好，服务员态度好。', '短评打分': 5}
{'短评内容': '酒店不错，设施和景色都很好，唯一麻烦的地方就是办理手续的地方有点远', '短评打分': 5}
{'短评内容': '风景很好，很漂亮，对着珠江新城和广州塔，房间里有烟味儿', '短评打分': 3}
