{'短评内容': '里万达很近', '短评打分': 5}
{'短评内容': '干净卫生，服务好，空调好用，网络快，热水大，装修不错，布草干，有吹风机，很好。干净卫生，服务好，空调好用，网络快，热水大，装修不错，布草干，有吹风机，很好。干净卫生，服务好，空调好用，网络快，热水大，装修不错，布草干，有吹风机，很好。干净卫生，服务好，空调好用，网络快，热水大，装修不错，布草干，有吹风机，很好。干净卫生，服务好，空调好用，网络快，热水大，装修不错，布草干，有吹风机，很好。', '短评打分': 5}
{'短评内容': '干净卫生，服务态度好，设施齐全，热水大，空调温度适中，床单被套都很干净，上网快，很好，赞。停车方便。干净卫生，服务态度好，设施齐全，热水大，空调温度适中，床单被套都很干净，上网快，很好，赞。停车方便。', '短评打分': 5}
{'短评内容': '服务态度好。网络很块。装修不错。通风好。卫生干净。非常安静。淋浴很大 ', '短评打分': 5}
{'短评内容': '服务挺好的，有停车场，很方便，房间温馨，房间干净，房间整齐，有吹风机，很好，房间热水很大，无线网很流畅，电视频道也多，空调暖和，房间无异味，通风也好，很好。', '短评打分': 5}
{'短评内容': '环境一般  空调声音大  房间闷', '短评打分': 4}
{'短评内容': '不错的商品', '短评打分': 5}
{'短评内容': '好评，不错，房间很干净，床单被套都是崭新的，床特别大，床垫睡起来特别舒服，房间设施很齐全，无线网也快，热水用起来也方便，温度适当，还有前台服务态特别好，对了，还有睡前牛奶特别满意酸酸乳跟纯牛奶多种选择，好喜欢，哈哈哈，喝完睡觉觉，下次还来住，太满意了。100', '短评打分': 5}
{'短评内容': '比较安静，硬件还蛮新的，网速较慢，实惠型', '短评打分': 4}
{'短评内容': '房间干净，每天还能领1袋奶，就是有一点偏，不过不管是做公交车还是打车都挺方便的，离汽配城真的好近，好方便', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '卫生不怎么样，卫生间还有尿臭味，空调噪音不是一般大，一个晚上没睡好', '短评打分': 4}
{'短评内容': '房间有点小', '短评打分': 4}
{'短评内容': '就是墙体有开裂…牙刷不提供…也没什么了', '短评打分': 3}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '房间还行，可是房间厕所那里不知道是堵了还是怎么，房间里好臭，另外浴巾打开里面好长一根头发，马桶盖还有个地方翘起来了', '短评打分': 4}
