{'短评内容': '非常好，老板很热情', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '店内人员人品有问题', '短评打分': 1}
{'短评内容': '酒店很干净', '短评打分': 5}
{'短评内容': '一点都不好', '短评打分': 1}
{'短评内容': '无网，无电视，冷。', '短评打分': 1}
{'短评内容': '经常来住，还是不错的', '短评打分': 5}
{'短评内容': '不错的酒店，服务很热情', '短评打分': 4}
{'短评内容': '房间信息明明是能住两个人，结果给的是只能住一个人的房间！到宾馆与携程协商了半天，最后和宾馆自行解决的，很是让人生气！希望携程在登记酒店信息是要准确核实酒店信息，不要给用户带来不必要的麻烦。携程最后承担了120元加房的差价。', '短评打分': 3}
{'短评内容': '还是很不错的，经济又实惠', '短评打分': 5}
{'短评内容': '还可以的 帮朋友订的 店家人挺好', '短评打分': 4}
{'短评内容': '不推荐大家去，脏乱差 ，而且隔音效果超级烂的', '短评打分': 4}
{'短评内容': '住了4天，给我的印象非常好。宾馆房间干净，配套设施齐全，预定的时候价位也比较便宜。而且周边交通非常便利，有很多饭馆、超市，果蔬店，步行10分钟左右到达国权路地铁站，地理位置不错，美食也多，总之给我的印象非常好。', '短评打分': 5}
{'短评内容': '旅社！一样的感觉！一样是不是太过依赖', '短评打分': 3}
{'短评内容': '不是很理想，坏境卫视有待提高……', '短评打分': 3}
{'短评内容': '隔音差', '短评打分': 3}
{'短评内容': '位置好，房间挺大，略据特质。但电话服务差，无停车场，卫生差，被子略有异味。', '短评打分': 1}
{'短评内容': '非常吵，不能入睡，下次不能在住了。只适合小情侣。', '短评打分': 1}
{'短评内容': '不喜欢，走廊好吵，设施什么的也很陈旧，给人一种很不舒服的感觉，', '短评打分': 1}
{'短评内容': '1月20,21住了两个晚上，差。网速慢的很，尤其第二天，根本上不去。而且最气人的前台那个男的，态度不好，跟他反应网速慢的情况，他竟然说，小姐这是你自己电脑的问题，我怎么管哩。\n还冷的要命。再也不会去了。', '短评打分': 1}
{'短评内容': '环境不错，气氛很好，价格也公道，周围设施也挺全，离五角场也很近，美中不足就是隔音效果不好……', '短评打分': 3}
{'短评内容': '环境一般。最主要的床板上什么都没有，就一张床单，连个垫絮都没有。另外床单是不是没有消毒？两个人睡上去都全身都痒。', '短评打分': 1}
{'短评内容': '干净、简洁，但电视机是坏的！', '短评打分': 3}
{'短评内容': '环境挺不错的，房间虽然小了点，但是布置感觉不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '这个旅店空间太小了，而且距财大较远，有个财大店更近的，服务也一般，前台口径不一致，感觉定什么房都一样小，就怕小专门定贵一点的，结果还是一样，有点失望额。', '短评打分': 1}
{'短评内容': '不满意的：1.房间只有9平，远远没有标称的大；2.床是1米2的，也没有标称的1米5大。\n满意的：1.有个大窗户，比较亮堂；2.屋子相对比较干净；3.服务态度非常不错；4.安全套免费使用，省钱了！\n总体上说：利大于弊！值得推荐！', '短评打分': 5}
{'短评内容': '挺安静的，就是晚上附近吃东西的地方不是很多', '短评打分': 5}
{'短评内容': '性价比挺高！！酒店老板服务不错，只是有点像私人开的小旅馆！！', '短评打分': 5}
{'短评内容': '接待员很热情，酒店很干净，就是隔音不是很好', '短评打分': 5}
{'短评内容': '＋很漂亮的天花板上关灯后会看到星星', '短评打分': 3}
{'短评内容': ' 住过很多次了！很好', '短评打分': 3}
{'短评内容': '价格还可以，房间设施与价格相匹配，总体来看还行吧', '短评打分': 5}
{'短评内容': '房间的床挺大。。。挺干净', '短评打分': 3}
{'短评内容': '服务周到，房间很干净', '短评打分': 3}
{'短评内容': '昨天去了发现这酒店隔音效果实在是太差了。。。男朋友说就像睡在大街上一样', '短评打分': 5}
{'短评内容': '原本订的标准房，到那边却说不做标准房的活动，挣扎了很久打了很多电话最后给了间大床房，本应该很生气的，但是一进房间心情顿时愉悦了许多，房间大而舒服，装修设备都很新，太适合情侣小浪漫了！以后还会去滴~', '短评打分': 5}
{'短评内容': '与描述不太符。被子很薄。无线网络也很差。', '短评打分': 1}
{'短评内容': '环境很不错，很干净，就是网速太慢了', '短评打分': 3}
{'短评内容': '环境还可以，靠近五角场商业中心，购物还是很方便的，房间装修的比较普通，硬件设施还是很齐全的，卫生不错，打扫的很干净，其他都还好', '短评打分': 5}
{'短评内容': '性价比还好，算物有所值了，房间卫生做的不错，每天都会按时打扫的，交通出行还可以，附近有万达商业区。', '短评打分': 3}
{'短评内容': '房间比较干净，卫生条件很不错，硬件设施齐全，电视空调效果都还可以，性价比蛮高的，前台服务很热情，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '酒店位置不错，周边有地铁站，出行还是很方便的，房间布置的很温馨，吸顶灯是星星形状的，感觉很特别，房间卫生条件不错，打扫的很干净，住着还可以', '短评打分': 3}
{'短评内容': '酒店位置不错，附近有大型超市，性价比蛮高的，适合学生族居住，房间卫生条件不错，打扫的很干净，服务也很到位，其他都还好', '短评打分': 5}
{'短评内容': '酒店环境不错，很安静，舒适度不错，房间装修的一般，周边吃饭的地比较多，很方便，其他都还好', '短评打分': 3}
{'短评内容': '住着比较舒服，床很软，周边环境还是不错的，绿化做的不错，服务很好，房间卫生每天都会按时打扫的，附近交通出行比较方便', '短评打分': 5}
{'短评内容': '靠近五角场商业中心，购物蛮方便的，服务方面很好，前台服务员态度周到热情，交通出行方便，房间卫生条件不错，打扫的很干净，住宿环境还可以', '短评打分': 5}
{'短评内容': '价格还可以，比较经济实惠的，住宿环境一般，房间一些基础设施都是齐全的，服务还好，卫生也差不多', '短评打分': 3}
{'短评内容': '距离复旦大学蛮近的，住宿环境不错，价位比较经济实惠，前台服务员态度还可以，比较热情周到，整体印象还是不错的', '短评打分': 5}
{'短评内容': '酒店隔音效果较差，不过同等价位还算不错！', '短评打分': 5}
