{'短评内容': '很好！很好！条件服务都很好！', '短评打分': 5}
{'短评内容': '在前门搜的附近  找了很久  到了之后住的是地下一楼  总有一股奇怪的气味  不是很喜欢', '短评打分': 5}
{'短评内容': '感觉应该是间老店，里面的设施都有点久了。地方有点偏僻，虽然确实挨着天坛公园，但是如果说“粉厂胡同”哪怕本地司机都说不大清楚。洗澡的花洒水温不稳定，时热时温。', '短评打分': 4}
{'短评内容': '停车场不要钱', '短评打分': 5}
{'短评内容': '环境好，室内卫生干净整洁', '短评打分': 5}
{'短评内容': '房子挺大的，有暖气，有窗，很舒服', '短评打分': 5}
{'短评内容': '价格还算合理，周边环境不太好，住房环境还不错。服务也不错。', '短评打分': 4}
{'短评内容': '住过最差的7天酒店，服务态度还可以。就是硬件太差', '短评打分': 3}
{'短评内容': '还可以的就是位置有些偏偏', '短评打分': 5}
{'短评内容': '还不错，就是不是很好找', '短评打分': 5}
{'短评内容': '很不给力', '短评打分': 1}
{'短评内容': '非常好！房间很大，卫生不错', '短评打分': 5}
{'短评内容': '条件一般，服务态度一般，总体上凑合吧', '短评打分': 4}
{'短评内容': '7天一直都不错，这个前门大栅栏店还算可以', '短评打分': 5}
{'短评内容': '还不错！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '价格给力，物美价廉，大品牌', '短评打分': 5}
{'短评内容': '性价比还可以，就在天坛外面，不过到天坛还有一段距离，快捷酒店，差不多这个样子可以的', '短评打分': 4}
{'短评内容': '酒店离天安门很近，设施好，卫生干净，服务态度也很好。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '服务周到，可以考虑一下吧！', '短评打分': 5}
{'短评内容': '很不错，环境干净，服务到位，屋子很大，一个人住感觉非常舒适，很宽敞，热水很到位，希望以后可以继续入住', '短评打分': 5}
{'短评内容': '酒店挺不好找，价格小贵，环境不好', '短评打分': 4}
{'短评内容': '价格在北京前门的位置还算公道合理，只是位置有一点不好找，总的说来还不错！以后会继续支持！', '短评打分': 4}
{'短评内容': '感觉还不错，大床房，视野开阔。', '短评打分': 5}
{'短评内容': '去考试住的，房间暖气很热，前台态度也很好', '短评打分': 5}
{'短评内容': '无线网络不太好，其他不错', '短评打分': 5}
