{'descr': '没早餐，一般', 'star': 4}
{'descr': '新店，设施新', 'star': 5}
{'descr': '距离中街很近，走着就到了，很方便，有小停车场，可以免费停车，就是要早点停进去，晚了可就没地方，推荐入住', 'star': 5}
{'descr': '和小旅馆没差别，房间很小很小，而且安排在最边上，车来车往特别吵！', 'star': 3}
{'descr': '早餐未吃！门口N多饭店', 'star': 5}
{'descr': '很不错，在市中心，步行可以去很多地方，但酒店很安静。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '规划局', 'star': 5}
{'descr': '酒店还是很便利的，去故宫和中街都很近！ 住宿房间也还不错。', 'star': 5}
{'descr': '不错，在中街的胡同里，位置稍微有点偏，但是往北一走打车比较方便。房间不是很大，单也算得上舒服，性价比还可以', 'star': 5}
{'descr': '附近很方便，', 'star': 4}
{'descr': '原来的房间有问题，后面换了个好的，服务不错', 'star': 4}
{'descr': '酒店设施还不错，就是大堂在装修，嘈杂。而且外面的环境差点', 'star': 4}
{'descr': '沈阳北下车乘公交到酒店很方便，酒店设施不错，卫生条件也好。周边吃饭买东西都很方便，到沈阳故宫步行大概二十几分钟，乘公交只有两站，性价比不错，值得入住。', 'star': 5}
{'descr': '可以', 'star': 5}
{'descr': '很干净，地方也很宽敞', 'star': 5}
{'descr': '灰常好 晚退房一会都没事', 'star': 5}
{'descr': '很好，很有礼貌，很干净，就是电视太落后了。', 'star': 5}
{'descr': '交通便利，餐馆遍布，大小超市令购物十分方便，距汽车站和火车站一点三公里，典型的沈阳的中心地区，很不错。', 'star': 3}
{'descr': '交通便利，餐馆遍布，大小超市令购物十分方便，距汽车站和火车站一点三公里，典型的沈阳的中心地区，很不错。', 'star': 3}
{'descr': '出差在卓展，所以定了这里的住宿。主要是外籍人士可以入住，价格相对也实惠。', 'star': 5}
{'descr': '出差在卓展，所以定了这里的住宿。主要是外籍人士可以入住，价格相对也实惠。', 'star': 5}
{'descr': '屋里光线太暗，其它还可以', 'star': 3}
