{'descr': '没窗户，闷', 'star': 4}
{'descr': '一般般', 'star': 4}
{'descr': '没有早餐，房间特别小，不可以加床。地毯很脏，重点是隔音效果特别差，隔壁打电话说话听的一清二楚，晚上那呼噜声更是……不知道是因为网络预定还是什么原因，安排边上的房间。前台服务员态度一般。', 'star': 2}
{'descr': '很干净。很安静', 'star': 5}
{'descr': '很不错。。', 'star': 5}
{'descr': '我很是满意', 'star': 5}
{'descr': '特价房，还算不错，第一次到，不知道当地价格，总体感觉还行吧！服务员很热情。', 'star': 3}
{'descr': '条件还可以', 'star': 5}
{'descr': '周围环境好', 'star': 5}
{'descr': '经济实惠型', 'star': 1}
{'descr': '很好很舒服。还有早餐  下次还来', 'star': 3}
{'descr': '交通方便，环境较为干净', 'star': 3}
{'descr': '不错，前台服务态度挺好，早餐吃得还不错。', 'star': 3}
{'descr': '价格便宜 离高速也方便，从包头城区出口进来一会就到了，空间很大，也干净，不错', 'star': 5}
{'descr': '床非常大，非常舒服，周边环境方便，', 'star': 3}
