{'descr': '酒店距离火车站很近，出行很方便，前台服务态度超级好，房间很大，热水很舒服，房间床单被套睡的很舒服，毛巾很柔软。无线网很给力，是每个房间独立的。下次出行还要住这家。', 'star': 5}
{'descr': '酒店位置离火车站近，交通便利，服务热情周到，整体环境也蛮好，房间干净整洁，无线网快，热水舒服。', 'star': 5}
{'descr': '住的第二晚，服务意识很到位，洗消间公开', 'star': 5}
{'descr': '凌晨到的，房间很大床很大', 'star': 5}
{'descr': '不错的。', 'star': 5}
{'descr': '酒店不错', 'star': 5}
{'descr': '干净，出行方便', 'star': 5}
{'descr': ' 经济实惠！服务还不错。', 'star': 5}
{'descr': '房间很干净，，每次来都是住的这家酒店，已经习惯了。。', 'star': 5}
{'descr': '性价比较高，卫生间比较大', 'star': 5}
{'descr': '位置不错，环境也好，就是卫生间设施有些陈旧，服务态度很好！', 'star': 4}
{'descr': '一般般，牙刷都要自己付钱买，房间毛巾也没有', 'star': 4}
{'descr': '苏州站出来步行10分钟就到了，店招不是很显眼。服务员态度好，房间设施一般，亮点是干净的毛巾都用塑料袋包好了，避免二次污染。', 'star': 5}
{'descr': '一般般', 'star': 3}
