{'descr': '七天酒店不错 还是连锁店。还便宜。离上班的地方比较近。', 'star': 5}
{'descr': '这家酒店感受不错，前台人员服务热情，效率高，每次都安排我常住的房间给我，客房大姐做的卫生超干净，尤其是床铺的超赞，酒店洗澡温度也很好，经常要用到网络，网速也不错，安全有保障，推荐入住！', 'star': 5}
{'descr': '很棒，前台服务很贴心，地理位置很好，交通便利乘车方便。无线很快，打游戏也很顺畅，二十四小时热水，卫生间有吹风机，而且浴巾是封包的这点很好！房间很大很干净，床单被子查了也很干净！住的很舒服，朋友也很满意，旅游的首选！', 'star': 5}
{'descr': '一般', 'star': 4}
{'descr': '地理位置很好，前台服务员态度很热情，房间空间大，通风好，服务员主动帮我拿行李，网速超快，楼下有夜宵吃东西方便，出门就是公交车，去哪都很方便，很满意的一次住宿，下次还会再来..', 'star': 5}
{'descr': '床够大', 'star': 4}
{'descr': '窗口是堵墙，电视电话不能用，空调像卡车', 'star': 1}
{'descr': '挺好的 附近一片比较实惠的了 离商圈也很近 ', 'star': 5}
{'descr': '浴巾都是破的，', 'star': 5}
{'descr': '这家酒店的条件实在是一般，若不是出差需要，真的不会选择住在这里，具体的情况大家可以看我的晒图了！', 'star': 3}
{'descr': '既然能预定失败，京东啊，说你点什么好呢！', 'star': 5}
{'descr': '酒店不错 很舒服', 'star': 5}
{'descr': '途虎KTV哦滤嘴Jul兔兔我', 'star': 5}
{'descr': '123456789', 'star': 5}
{'descr': '帮别人订的，位置不错。还可以吧', 'star': 5}
{'descr': '真的是太旧了，墙皮都掉了，被罩都破了，卫生间顶棚也是开的，该重新装修了', 'star': 5}
{'descr': '价格比较合适，离陆家嘴很近，但是房间较小，也比较老旧了，适合出差的。', 'star': 4}
{'descr': '价格便宜&hellip;&hellip;\n价格便宜&hellip;&hellip;一人饮酒醉仔细看看也可以', 'star': 5}
{'descr': '位置不错，但设施确实很旧。 空调声音很大，而且房间不知道为什么总有一股烟味。附近游玩可以考虑，常住就算了', 'star': 4}
{'descr': '交通还比较方便，服务还是挺好的', 'star': 5}
{'descr': '五个字还是比较好凑的，房间还可以。', 'star': 5}
{'descr': '出差商务不错的地方！', 'star': 3}
{'descr': '实惠', 'star': 5}
{'descr': '比想象中的好。看了点评以为会没那么干净，毕竟陈设很旧，实际体验确实不错，紧邻八佰伴，去陆家嘴坐个公交就到了，', 'star': 5}
{'descr': '很好的环境，位置也很容易找到，价格还可以。', 'star': 5}
{'descr': '地段不错，环境还可以', 'star': 5}
{'descr': '还行，挺好的', 'star': 5}
{'descr': '房间不是特别干净，不过也就这样了。', 'star': 4}
{'descr': '还行，可以\r\n', 'star': 4}
{'descr': '服务质量很好，但酒店硬件设施不满意 1--冷水经常停 导致洗澡的时候水温太高无法正常洗澡  2--大床房面积太小 只有一张床的空间  3--房间整体设施能用破旧来形容', 'star': 4}
