{'短评内容': '总的来说还可以。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '这家酒店是在到云南以来入住同等价格里，硬件设备最齐全规范的酒店，服务人员操作也很规范。物有所值。以后如果来景洪，还会考虑到此入住。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间带阳台很棒，出入交通方便，周边有很多好吃的，信价比很高', '短评打分': 5}
{'短评内容': '出差到这边。感觉挺好性价比很高 ', '短评打分': 5}
{'短评内容': '很好，服务不错，阳台风景好', '短评打分': 5}
{'短评内容': '还行，', '短评打分': 4}
{'短评内容': '续住了一晚，这家信息还是比较真实的！', '短评打分': 5}
{'短评内容': '地理位置不错，出行方便，服务挺好！', '短评打分': 5}
{'短评内容': '位置市中心，去景区购物都很方便，接机的小周很热情，帮忙介绍的景区都不错，版纳之行很开心，以后来版纳还住这家酒店，卫生好，设施简单，洗发水要是好点就更好了。', '短评打分': 5}
{'短评内容': '还不错，干净，位置也不错，出行方便。有阳台还可以晒衣服。', '短评打分': 5}
{'短评内容': '房间不错住着很舒服', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错，就是无线网络差点，经常断！希望能更好点', '短评打分': 5}
{'短评内容': '前台接待员很负责任，联系接机人员小周，到了后直接送到酒店，还介绍西双版纳旅游景点，真心不错', '短评打分': 5}
{'短评内容': '环境很好经常住位置便利停车方便', '短评打分': 3}
{'短评内容': '设施不错 ，有空调，比较舒适 。', '短评打分': 3}
{'短评内容': '酒店房间环境不错', '短评打分': 3}
