{'短评内容': '没有早餐，住一晚还是很经济实惠的', '短评打分': 5}
{'短评内容': '挺安静的，环境和卫生都还行', '短评打分': 4}
{'短评内容': '房间不错，空间够大，够整洁', '短评打分': 5}
{'短评内容': '很干净整洁', '短评打分': 5}
{'短评内容': '住着很舒服', '短评打分': 5}
{'短评内容': '在装修。很吵', '短评打分': 1}
{'短评内容': '服务态度差，不人性化，中午11点多就打电话叫退房，我们12点入住的，我不知道汉庭多垃圾！下次打死也不住', '短评打分': 5}
{'短评内容': '环境不错，交通也方便，下次再去', '短评打分': 4}
{'短评内容': '饭间总体不错，住着舒适隔音可以', '短评打分': 5}
{'短评内容': '汉庭一直是我入住酒店的首选，里面设备齐全，环境优越，风格典雅中不失大方，价格也很优惠，地段也很好找。', '短评打分': 5}
{'短评内容': '停车方便，很好找，比较安静，前台服务比较好，房间属于迷你型的，还算温馨，家具比较新，闻到有装修材料的味道，另外这个价格没早餐感觉不太值，还好楼下有卖饭的。', '短评打分': 4}
{'短评内容': '总体还可以吧！', '短评打分': 4}
{'短评内容': '很不错，很干净！', '短评打分': 5}
{'短评内容': '很棒，环境也还，还挺干净，下次还来，携程还不错，出门旅行必备，酒店也好，价格也很优惠，比到店定划算很多', '短评打分': 5}
{'短评内容': '是我住的抵挡酒店里面，性价比很高的一家，酒店位置还行，房间99元的价格很值，房间隔音还可以，有机会还会光顾！', '短评打分': 4}
{'短评内容': '酒店总体还是蛮好的，价格很实惠，出行也方便，边上就有超市，过马路就有一个广场，里面餐厅很多，就是离市中心有点远，这次是去办事，离办事的地方比较近，酒店还是很不错。', '短评打分': 4}
{'短评内容': '不错。．。。，。。。，。，', '短评打分': 3}
{'短评内容': '服务态度好，就是外面有点吵，其它还行。', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
