{'descr': '干净像自己家', 'star': 5}
{'descr': '酒店还可以', 'star': 4}
{'descr': '很好，位置也好，环境好，交通方便', 'star': 5}
{'descr': '早餐一般吧，没什么好说的', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '还可以吧！这个价钱就算很不错了！', 'star': 5}
{'descr': '挺好的 很暖呵 大冬天就怕酒店冷 服务很好 ', 'star': 5}
{'descr': '性价比很好', 'star': 4}
{'descr': '图片真实度有待勘察，整体环境太稀烂，只能说无语……反正再也不想住。', 'star': 2}
{'descr': '酒店总体不错，地段比较好，吃饭方便，距离白求恩医院比较近，也适合外地看病的人在此入住！', 'star': 5}
{'descr': '床大舒服，屋暖和，干净整洁，交通方便', 'star': 5}
{'descr': '房间干净整洁，交通方便，服务态度热情诚恳！下次会继续入住', 'star': 5}
{'descr': '啥玩意。不咋地。都别来。绝对坑。外表看挺好。里面太差', 'star': 1}
{'descr': '房间干净整洁，舒适，温馨，交通比较方便，周边餐饮很多！', 'star': 5}
{'descr': '附近修地铁，晚上吵。床很舒服，地点方便。', 'star': 3}
{'descr': '非常好的酒店，干净，服务好。便宜', 'star': 3}
{'descr': '环境很好，床睡着很舒适，通风非常好。总之各方面都很满意，有机会还会光临。', 'star': 3}
{'descr': '环境不错，服务也很好，下次再去住', 'star': 3}
{'descr': '类家庭旅店，老板一家人很好，到西塘之前请老板帮忙订好了去苏州的车票，到西塘后老板三轮车接的，开始感觉好像有点偏远，后面发现跟西塘景点就是一桥之隔（桥上有人收门票）。离景点近又远离了晚上的喧闹，睡觉安静。定的大床房，比较便宜。（只是卫生间在房间对过，稍有点不便）。', 'star': 5}
{'descr': '很好，老板老板娘很热情，从车站接我们到客栈，走的时候也送我们过去。客栈离进去不要太近，清明的人太多，我们16:30免费进入了景区。早上大清早起来，去看景区，人少，很安静，别是一番风味！', 'star': 5}
{'descr': '房间很干净，离景区很近很方便，老板一家人都很热情很亲切，值得一住，推荐。', 'star': 5}
{'descr': '西塘依水缘客栈还是不错的，我是2011年11月25日中午到，客栈的大伯开着电动车来接我们一家三口的。客栈就在吴家桥旁，去景区很方便。住的环境干净，整洁。客栈的一家人很朴实，和善！第二天走时还送我们去车站。我会向朋友推荐这家客栈的。', 'star': 5}
{'descr': '酒店老板很热情，让人感觉非常舒服,有种家的感觉，下次去还会入住此家。', 'star': 5}
{'descr': '是私人的客栈，性价比不高，不知道是不是国庆的原因。', 'star': 1}
{'descr': '过节的原因，价格有点贵，人多是有点吵，不过还是要推荐一下', 'star': 5}
{'descr': '环境好，设施挺新，老板人很好，离景区也近下次去还去住，还要通知其他人', 'star': 5}
{'descr': ' 客栈环境挺干净，离景区也蛮近的～', 'star': 3}
{'descr': '干净整洁', 'star': 3}
{'descr': '老板娘很热情~亲自过来接我们。房间也很干净。总之就是很满意！临走的时候还帮我们买了粉蒸肉，谢啦~！：）以后一定还会去住的！', 'star': 5}
{'descr': ' 客栈很新很干净也很大,庭院式的小屋,老板他们人都很好,因为中秋很难得定到这么好价格又能接受的客栈了,拐角就是景区很方便。', 'star': 3}
{'descr': '酒店环境不错，床单被罩都是我喜欢的白色，显得比较干净卫生，地理位置也比较好，就是早餐种类不多，不过在同等经济型酒店里算不错的。', 'star': 3}
{'descr': '环境很好  价位合理   交通很方便   可以延迟到下午一点退房', 'star': 5}
