{'短评内容': '蛮好的', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好～一楼也没有很闷，周围吃饭坐车都很方便，值得再来～', '短评打分': 5}
{'短评内容': '还不错，服务员态度很好', '短评打分': 4}
{'短评内容': '性价比极高的酒店，非常不错', '短评打分': 5}
{'短评内容': '无窗，前台人员提前和你说，有时候地铁经过，较吵', '短评打分': 3}
{'短评内容': '很干净，很舒服，交通方便！', '短评打分': 3}
{'短评内容': '环境，周边都一般吧，就是便宜而且距离工作地方近，距离地铁也近', '短评打分': 4}
{'短评内容': '服务态度好，自动升级为大床房，环境好，离地铁方便', '短评打分': 5}
{'短评内容': '环境好，干净，就是没有电视信号', '短评打分': 3}
{'短评内容': '欣燕都丽泽桥店离我们这非常近，朋友过来就定的这家，大床房，面积不是很大，桌子比较小，卫生间有很大一股很大的消毒水味道，不过卫生倒是很干净，总体还是可以的。', '短评打分': 5}
{'短评内容': '服务态度比较好，洗漱间感觉挺大，房间也很好，设施也好，值得推荐。', '短评打分': 5}
{'短评内容': '还不错的啊·····························', '短评打分': 5}
{'短评内容': '有问题可快速解决,靠近地铁9号线去西站及房山比较方便', '短评打分': 5}
{'短评内容': '还可以哦。。\n\n直这个价吧·················', '短评打分': 5}
{'短评内容': '住得还算不错的了··························', '短评打分': 5}
{'短评内容': '非常好,服务卫生等都很好。', '短评打分': 3}
{'短评内容': ' 酒店整体环境还是不错的，我比较喜欢。', '短评打分': 3}
{'短评内容': '住的自主双床房，房间不错，床大，洗澡舒适 ', '短评打分': 5}
{'短评内容': '挺好，附近吃东西比较方便，晚上楼下就有烧烤，有氛围。', '短评打分': 5}
{'短评内容': '优点：价优，卫生还过得去\n缺点：1.隔间效果太差，太吵，住特价房三天，每天五六点就被外面吵醒了\n      2.信号太差，据说附近的工程影响了信号，尤其是特价房的手机信号，几乎没有信息过\n      3.潮湿，房间很暗，不得不开着空调抽湿', '短评打分': 5}
{'短评内容': '离公交站挺近，不过周围没有什么可以选择吃饭的地儿，房间挺好，前台很热情，服务员都很好。', '短评打分': 5}
{'短评内容': '大床房的房间有点小，但是非常整洁舒服，以后应该还会来住', '短评打分': 5}
{'短评内容': '房间环境很好，性价比比较高，服务也好。就是一楼信号不好', '短评打分': 5}
{'短评内容': '房间不大但是干净，交通还算便利。', '短评打分': 3}
{'短评内容': '干净，很好！服务周到！', '短评打分': 3}
{'短评内容': ' 感觉很好，干净温馨，价格也不错，很多细节做得很不错', '短评打分': 3}
{'短评内容': '很好，很舒适！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '房间虽然小点,但是比较干净.服务员素质也比较高,关键是看病最方便', '短评打分': 5}
{'短评内容': '标间有点小,还有电话没法用,希望改进!工期他的都算好,', '短评打分': 5}
{'短评内容': '还可以，住过好几次了。等那地铁通了以后更方便，就是院里的车位太少了。', '短评打分': 5}
{'短评内容': '离出差地点有点远··不过价格还算可以的了···            ', '短评打分': 5}
{'短评内容': '帮朋友订的,在周边办事情,挺方便.房间据他反映还可以.不过就是从机场过去花了点力气', '短评打分': 5}
{'短评内容': '环境还算可以啊····\n交通部是很方便，打车太纠结了·', '短评打分': 5}
{'短评内容': '很好，服务员不错，屋内条件也不错，很温馨！', '短评打分': 5}
{'短评内容': '环境非常温馨！挺满意的！', '短评打分': 3}
{'短评内容': '酒店很不错，干净卫生方便，价格再优惠点为好，以后还会来', '短评打分': 5}
{'短评内容': '离西站比较近，公交4/5站地，价钱上也很合适', '短评打分': 5}
{'短评内容': '到北京西站还比较方便有直达的公交车，房间还比较干净，就是淋浴的地方比较小，晚上旁边有大排档。', '短评打分': 5}
{'短评内容': '房间很舒适，很干净，推荐，不错', '短评打分': 3}
{'短评内容': '房间还比较干净舒适', '短评打分': 3}
{'短评内容': '屋子有点小，不过非常温馨，非常干净，交通很好。', '短评打分': 3}
{'短评内容': '价格实惠，地理位置不是太好（3环以外了）。房间还算干净。', '短评打分': 5}
{'短评内容': '总体来说还不错，就是被子让我陪了好多钱，只是果汁弄脏了，唉。不能换个颜色吗？', '短评打分': 5}
{'短评内容': '酒店离解放军３０７医院很近，而且周围小饭店比较多，食宿都很方便，推荐。', '短评打分': 5}
{'短评内容': '酒店服务还好，安静，早餐也便宜，如果提前一天还8折，推荐！', '短评打分': 5}
{'短评内容': '酒店服务好，价格适中，就是房间小点，不过临时住住还行。', '短评打分': 5}
{'短评内容': '这家酒店服务员多男士，态度很好，服务周到，价格便宜，下次还住。', '短评打分': 5}
