{'短评内容': '布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。积挺大,设施虽然有些旧了,房间宽敞明亮很干净，设计的也挺有意思。总体来说，性价比挺高的', '短评打分': 5}
{'短评内容': '位置很好！设施较差！', '短评打分': 3}
{'短评内容': '没有早餐，酒店就在山大西门右侧，公路对面就是大海(浴场)。环境不错，可自购海鲜加工，酒店还可提供厨师，很方便。适合亲子旅游或看望读书孩子的家长居住。', '短评打分': 5}
{'短评内容': '无早餐，能加床', '短评打分': 5}
{'短评内容': '整体来说很不错。我们是两家亲子出游，定的130平米三室二卫的房子。位置：在山大威海校区西门旁边，出小区过马路就是海了。很方便。每天都是换好泳衣直接穿去海边。服务：态度很好，提出的要求很快就落实，因为有孩子，所以要求有点多，但没有任何不耐烦。总是态度温柔，及时解决问题。硬件：确实是一个老宾馆了，硬件设施很一般。但热水器，冰箱，电磁炉这些基本需要的都可以，所以还算满意。吃饭：楼下就有早餐，旁边有餐饮街', '短评打分': 4}
{'短评内容': '价格便宜，环境好。位置也很好！在海边！下次去还选这里！', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '离海边近，但是房间卫生不行，和老公睡了都一身坨。很痒。。。一晚上都没有休息好！！', '短评打分': 3}
{'短评内容': '服务很好，位置绝佳，紧邻山大，旅游好去处！', '短评打分': 5}
{'短评内容': '房间非比较旧，洗手间天花板一直漏水，所以不得不出去上厕所，尽管师傅来修了，还是没弄好，热水壶也是坏的', '短评打分': 3}
{'短评内容': '该酒店属于老房子改装，其中家庭房徒有虚名，不可再住，原因是去卫生间要经过另一间房间！其实就是在厅里放了一个床！', '短评打分': 3}
{'短评内容': '环境不错，服务也好，出门就是海滩。我们是一家三口出行，送孩子上山大（威海），酒店就在山大西门口，特方便。建议送孩子上学的外地人入住，很贴心，也很难忘。特别是孩子报名后的当晚，就住宿舍了，我们百般不舍之后，就到海滩消遣，真是个不错的选择。以后还会来住。', '短评打分': 3}
{'短评内容': '还好，干净，主要是离山东大学威海最近', '短评打分': 3}
{'短评内容': '我跟老婆和儿子一起来到威海游玩，酒店房间是住宅楼改造的，有厨房，卫生间可以洗澡，配置了洗衣机和电冰箱，前台服务人员服务很热情，房间的卫生条件还可以，跟海水浴场就隔了一条马路在艺龙网预订的，推荐大家网上预订。', '短评打分': 3}
{'短评内容': '体验不错，谢谢，下次还预定该酒店', '短评打分': 3}
{'短评内容': '刚刚到非常喜欢开始住五楼观海标间超好楼下就是大海可惜网络有问题换了房间小遗憾呵呵', '短评打分': 3}
{'短评内容': '酒店一般化，设施陈旧，卫生差。不过价格便宜，和周边酒店相比。', '短评打分': 1}
{'短评内容': '离海边很近，服务员的态度很一般，浴室喷洒漏水严重，我当天入住快七点了居然没房让我入住。我儿子不小心把床单弄上了点西瓜水，居然让我们按原价赔偿。不可理解，他家唯一好的地方就是离海边近，不过附近还有别的酒店可以选择', '短评打分': 1}
{'短评内容': '位置不错，离海滩一路之隔，但设施不是很好，床也小了点。', '短评打分': 5}
{'短评内容': '环境很好~~屋里3个空调 房间很干净~~~屋里还有冰箱厨房~~~~~~山景很漂亮·~~出了酒店走2分钟就是沙滩~~~吹着海风~~~两人一起漫步在沙滩~~', '短评打分': 5}
{'短评内容': '环境很好，依山傍水的酒店周围环境确实不错。很适合长期入住，房间里面有配备冰箱。', '短评打分': 5}
{'短评内容': '酒店依山傍海，风景独特，地理位置相当不错，交通也很方便', '短评打分': 5}
{'短评内容': '&amp;lt;P&amp;gt;没想到离国际海滨浴场那么近，环境很好。只是出租车司机对这里好象不太熟悉，两次都走错了，拉到大屋建材城。服务一般化，与星级饭店还有点差距。在房间里可以自己动手煮海鲜，不仅美味而且随意，超满足，很适合休闲度假。&amp;lt;/P&amp;gt;', '短评打分': 5}
{'短评内容': '地理位置非常棒，临海而居，海边还有很大的绿地和健身场所。不推荐住海景房，因为面海的一面风比较大，阳台的门晚上总是唧唧作响，搞得我第一晚都没有怎么睡觉。两室一厅的非常好，我们一家后来住在里面自己煮饭吃，很温馨很舒适。', '短评打分': 5}
{'短评内容': '环境非常美丽，24小时可以与大海相伴。步行三分钟可至国际海水浴场。就是服务稍显不足，其他方面可以评价90分。同时到市区交通也很方便。', '短评打分': 3}
{'短评内容': '到威海的第二天住到了这里，打车时司机就说这里非常不错。到了一看果然非常棒！订的一室一厅的房子，很有家的感觉。厨房里的用具一应具全！很新很干净！旁边就是金海湾大酒店，出门就是国际海滨浴场，海水也很干净。&lt;br /&gt;\n唯一的不足是酒店的一些服务生的素质显然不够。先住的房间不知道什么原因一直没水，来水了又不知道哪里漏水，来的服务生看一下就走了什么也没说，感觉很没素质！后来和总台说了，很快给换', '短评打分': 3}
