{'短评内容': '酒店装修还可以，就是卫生间冲淋水有点小，还有就是房间没电话，网络连接信号不好，但服务到位，我一说电视收到频道少，马上就上来维修了', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '恍恍惚惚恍恍惚惚恍恍惚惚恍恍惚惚', '短评打分': 5}
{'短评内容': '空间大，干净整洁，比常见的那些个快捷酒店质量高价格低，很赞。', '短评打分': 5}
{'短评内容': '价格放在哪里，还是蛮有性价比的', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间有异味', '短评打分': 4}
{'短评内容': '在携程的介绍下，我们入住了该旅店，虽然是普通的旅馆，但服务员很热情，设置条件都蛮好，交通、停车便利，出门右转是商业街，吃饭购物很方便。特别感人的是5.1早上离店结帐时，我将建行信用卡遗忘在前台，5.2前台的小汪师傅又联系我，又自己贴了邮费把信用卡寄给了我，这种新时代的雷锋精神真正值得我们学习、点赞！也请携程网替我衷心的谢谢宁诲和居宾馆和小汪师傅！', '短评打分': 5}
{'短评内容': '几年前住过的老店 价格小升 总得说起来还可以 酒店周边出行是比较方便的 设备较老了 老板 房客喊你可以装修了', '短评打分': 4}
{'短评内容': '习惯性好评，马路边吵吵吵，差评。。。。', '短评打分': 3}
{'短评内容': '好高好高好高好好好好好好好好', '短评打分': 3}
{'短评内容': '设备齐全，非常干净，出来旅游不错的选择', '短评打分': 5}
{'短评内容': '不错的酒店，挺卫生的，可以的', '短评打分': 3}
