{'descr': '早餐没东西可以吃，服务态度很不好！', 'star': 1}
{'descr': '房间装修比较陈旧，可能是开业比较早，应该要重新装修升级了，不过性价比还不错，尤其是空调效果非常不错。', 'star': 4}
{'descr': '非常好，很安静!', 'star': 5}
{'descr': '挺干净的，住了两天', 'star': 5}
{'descr': '服务挺好的', 'star': 5}
{'descr': '位置容易找，房间还可以', 'star': 5}
{'descr': '挺好的，经济实惠', 'star': 5}
{'descr': '有点老旧，其他还好', 'star': 4}
{'descr': '呵呵 我携程订了房间 续住了一天 你们为了省一天携程费用 硬是不承认我续住了一天？ 够恶心', 'star': 1}
{'descr': '还好', 'star': 5}
{'descr': '房间有烟味，清扫保洁的时候要开窗通风。', 'star': 3}
{'descr': '一般般吧，感觉有一点点旧了，每次回来门下都塞小广告，这个不好，不过那里有两家KTV，还有按摩的地，挺方便的', 'star': 4}
{'descr': '很方便，附近购物吃饭很方便，房间很干净。', 'star': 5}
{'descr': '推荐', 'star': 4}
{'descr': '打', 'star': 5}
{'descr': '附近啥都没有，酒店后面一个小步行街，也没什么东西', 'star': 3}
{'descr': '不错，地利位置非常方便，房间很温馨，下次还来住。', 'star': 5}
{'descr': '不错，地利位置非常方便，房间很温馨，下次还来住。', 'star': 5}
{'descr': '交通方便,房间宽敞,早餐太贵!', 'star': 3}
{'descr': '交通很方便,出门很好打车,餐厅里面的饭也很好吃,就是希望早饭的样式多点,每天都只有那几样菜', 'star': 5}
{'descr': '位置和服务好，早饭还可以，特别好的是房间很大，周边吃的也很多。适合自驾。', 'star': 5}
{'descr': '非常不错！硬件符合锦江的标准，服务态度也很好！', 'star': 5}
{'descr': '酒店服务很贴心！晚到住店也给很亲切的服务。', 'star': 3}
{'descr': '位置不错，房间挺大，周边设施很全，还靠近东进路美食街', 'star': 5}
{'descr': '房间很大.乾净舒适.就是洗澡时-水忽冷忽热非常不舒服.', 'star': 5}
{'descr': '乾净.基本还算可以.周围吃饭方便.服务也好.住的蛮舒服的.', 'star': 5}
{'descr': '乾净.交通方便.周围吃饭方便.服务也好.住的蛮舒服的.', 'star': 5}
{'descr': '环境不错，服务也好，靠近美食城，就是价格有点偏高', 'star': 5}
{'descr': '交通停车方便，周边的环境不错，整洁干净，推荐！', 'star': 5}
{'descr': '网速太差其他的还可以就隔音效果不好 还有有的房间太小了', 'star': 5}
{'descr': '房间挺干净的，温度也正合适，就是为什么只有一袋洗发水呢', 'star': 5}
{'descr': '朋友很满意！！！卫生干净，购物方便，交通方便！便宜', 'star': 5}
{'descr': '比想象中的要好~但是地方太偏了 房间小但也够用~', 'star': 1}
{'descr': '整体很不错，空间虽然不是很大，但是布局很合理，服务也不错', 'star': 5}
{'descr': '预订的大床房，结果因为之前的客人都续租，导致无房，按大床房价格调至商务大床房。环境不错，周围交通也比较方便。', 'star': 5}
{'descr': '大床房的床真的很小。隔音效果真的很差。很差。懂不懂？再建店的时候应该改善下子了。影响晚上睡觉的环境啊。弄得鸡飞狗跳的。还有这个房间的预定上要加强。怎么定了的房间就能没有呢。是不是该给赔偿啊。如有 疑问可以恢复。核实。', 'star': 5}
{'descr': '大床房好小。尤其是无窗的。不大通风。其他还好。靠近裕华路。交通方便', 'star': 5}
{'descr': '交通位置还是不错的，干净卫生。就是晚上周围环境有些吵。', 'star': 3}
{'descr': '交通很方便，服务态度很好，也很干净,住的蛮舒服的', 'star': 5}
{'descr': '环境很温馨', 'star': 3}
{'descr': '服务态度好，挺干净的，下回还去住。。。。。', 'star': 5}
{'descr': '  之前就住过几次，可巧，住了两次没窗户的，由此可见，生意不错。\n  冬天嘛，基本不用窗户，换气的话有空调和换气扇就够了。\n  商务大床相对来说，空间不算大，电视实在靠床太近。不过卫生和热水很好，本人有点小洁癖，对他们的马桶样式和清洁程度还比较满意。喝水的杯子有点没照顾到，不过自己洗洗也好。\n  前台有个男生服务态度很好，应该是领班或大堂经理之类的吧。女生差些。\n  晚上外面挺安静，就是门缝大些，', 'star': 5}
{'descr': '这家酒店很舒服，被子很新，很好，交通也很方便，服务态度也很好', 'star': 5}
{'descr': '基本上每次都选这里了，干净，舒适，服务也不错', 'star': 5}
{'descr': '  干净舒适  ', 'star': 3}
{'descr': '环境很好，舒适，暖和，干净，温馨。价位合适。服务好。下次过来还住这。', 'star': 5}
{'descr': '一如既往的满意，价格实惠，服务好，位置佳，出行方便。', 'star': 5}
{'descr': '房间太小，窗户小，别的很好，挺干净的。下次还会去那里。', 'star': 5}
{'descr': '总的感觉都不错，所以再住一天\n就是卫生间，洗澡的玻璃透明的，可以弄个模糊的更好', 'star': 5}
{'descr': 'HAI KE YI ! 总体感觉我值这个价钱', 'star': 5}
{'descr': '环境不错很温馨，交通也很便利！', 'star': 3}
{'descr': '基本还算可以，房间空间大，卫生还算干净，就是淋浴龙头水小', 'star': 3}
{'descr': '房间空间大，环境还好，不过价格较高', 'star': 3}
{'descr': '干净、不错       \n\n下次来保定还住这里', 'star': 5}
