{'短评内容': '还不错的地方', '短评打分': 4}
{'短评内容': '携程预订非常方便，但酒店装修太老了，空调出风口周边都是水渍，热水温度太低，而且得放十分钟之上才能洗澡。 ', '短评打分': 4}
{'短评内容': '房间是很大的，设施有复古感', '短评打分': 4}
{'短评内容': '房间挺大，卫生条件一般', '短评打分': 5}
{'短评内容': '没有早餐，周边环境不错', '短评打分': 4}
{'短评内容': '经济实惠，适合短期出差入住', '短评打分': 3}
{'短评内容': '经济实惠，适合短期出差预定', '短评打分': 4}
{'短评内容': '这宾馆环境卫生不是一般的差。马桶居然是坏的，上面还有尿渍。我也是醉了', '短评打分': 3}
{'短评内容': '环境不错，很好', '短评打分': 5}
{'短评内容': '房间很大，唯一不足是地毯有点异味', '短评打分': 4}
{'短评内容': '非常不错，各方面都很好，下次来还会选你们家', '短评打分': 5}
{'短评内容': '非常不错，各方面都很好，下次来还会选你们家', '短评打分': 5}
{'短评内容': '服务太差', '短评打分': 2}
{'短评内容': '总体感觉还不错，只是从电梯到房间的过程中感觉装修有待改善。早餐要是能提供就更好了', '短评打分': 4}
{'短评内容': '不错，下次去了还会去的', '短评打分': 4}
