{'短评内容': '代朋友定的，第二次入住了，朋友很满意', '短评打分': 5}
{'短评内容': '房间干净卫生，停车免费', '短评打分': 4}
{'短评内容': '还可以，交通方便', '短评打分': 4}
{'短评内容': '靠近地铁出口，比较方便', '短评打分': 5}
{'短评内容': '靠近地铁出口，比较方便', '短评打分': 5}
{'短评内容': '酒店不错，出门就有小吃，交通方便。', '短评打分': 5}
{'短评内容': '感觉还不错，近地铁，服务很好，房间设施也不错，就是灯光有点暗，性价比还是不错的，值得推荐，下次过来成都还是会选择这里', '短评打分': 4}
{'短评内容': '地铁口附近，方便，如家全国一样', '短评打分': 5}
{'短评内容': '离地铁站特别近，马路多面的火锅店特别火，胡同里的红汤抄手特别好吃。', '短评打分': 5}
{'短评内容': '离地铁站特别近，马路多面的火锅店特别火，胡同里的红汤抄手特别好吃。', '短评打分': 5}
{'短评内容': '这酒店离地铁站超级近，还可以免费停车，如果要求交通方便的话这酒店绝对特别爽。其他设施和服务和其他如家一样，感觉蛮好的。早餐自助15元，酒店门口还有很多小吃，马路对面有家火锅店超级火爆。另外，前台还帮我代收了快递，必须特别表扬一下！', '短评打分': 5}
{'短评内容': '干净，地理位置佳，骡马市地铁F口出来只要走1分钟', '短评打分': 5}
{'短评内容': '真的不错干净肃静下次还住真的不错干净肃静下次还住真的不错干净肃静下次还住', '短评打分': 5}
{'短评内容': '真的不错干净肃静下次还住', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '很不错，离地铁站非常近，很安静！', '短评打分': 5}
{'短评内容': '很不错，离骡马市地铁站很近，在一巷子里，住的很安静！', '短评打分': 5}
{'短评内容': '位置非常的好，就是修路有点不便，开车不好找，走路很好找。性价比很高，尤其是携程的价格更震撼，哈哈。一起的小伙伴看到这个价格都惊呆了。前台也提供发票的。', '短评打分': 5}
{'短评内容': '位置非常的好，就是修路有点不便，开车不好找，走路很好找。性价比很高，尤其是携程的价格更震撼，哈哈。一起的小伙伴看到这个价格都惊呆了。', '短评打分': 5}
{'短评内容': '位置在内街，但其实还是很好找的。闹中取静的酒店，地理位置靠近市中心，周围吃饭的选择很多，交通也方便。酒店房间干净整洁，设施很人性化，早餐的品种也丰富，值得推荐。', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '环境还不错，前台服务员态度不好', '短评打分': 3}
{'短评内容': '新酒店，设施都是新的，服务态度非常好，楼下的面条不错，在成都旅游一直住在这里，去景点方便，门口就是地铁 ，离火车站也很近，总之很推荐啦~就是门口在修路，不好找~', '短评打分': 5}
{'短评内容': '环境不错，干净卫生，不错，服务人员态度很好，有家的感觉', '短评打分': 5}
{'短评内容': '如家酒店西玉龙街店很不错，房间干净整洁，服务又好，交通便利，值得入住', '短评打分': 3}
{'短评内容': '环境不错，新店，房间干净整洁，临近商业区，方便，修地铁是有点不好找，从车站牌的小巷子进去70米左右。不过希望房间里的wifi上网能尽快实现。', '短评打分': 5}
{'短评内容': '好找，服务优，购物方便，赞一个！', '短评打分': 3}
{'短评内容': '真受不了酒店的霉味太大了。', '短评打分': 3}
{'短评内容': '服务很好的一家酒店，就是现在外面修地铁，好不容易才找到。', '短评打分': 5}
