{'短评内容': '此用户未填写评价内容', '短评打分': 5}
{'短评内容': '东西已经收到了，真的很不错！', '短评打分': 5}
{'短评内容': '环境安静，交通一般，位置好', '短评打分': 5}
{'短评内容': '说了很多次，以后还要住', '短评打分': 5}
{'短评内容': '酒店在绿地广场附近，比较方便，酒店价格有点贵，但房间还不错，水压有点小，厕所马桶冲水比较小，不方便。', '短评打分': 4}
{'短评内容': '都挺好的，毕竟价格不贵', '短评打分': 5}
{'短评内容': '酒店位置非常好！', '短评打分': 5}
{'短评内容': '舒服的感觉', '短评打分': 5}
{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '设计的不错，窗帘电动的。现在没有冷空调，只有顺风，换换空气是可以的。', '短评打分': 5}
{'短评内容': '环境不错，很干净也安静，服务也好。住了几次了。哈哈', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '不错的酒店，就是服务不太好', '短评打分': 5}
{'短评内容': '服务周到，免费升级！', '短评打分': 5}
{'短评内容': '枕头不太好', '短评打分': 5}
{'短评内容': '不错的酒店，设施环境都满意，早餐差点，不够4星级的标准', '短评打分': 5}
{'短评内容': '经常住，还不错的酒店', '短评打分': 5}
{'短评内容': '服务好，房间大气，早餐丰富', '短评打分': 5}
{'短评内容': '一切都不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没什么说的，满意！', '短评打分': 5}
{'短评内容': '非常好的入住体验，直接5分', '短评打分': 5}
{'短评内容': '交了500压金，我是用银行卡刷的，第二天我退房，她说会把压金退回我卡里，我当时赶时间就没问那么多就直接走了，也不知道钱退给我了没有', '短评打分': 2}
{'短评内容': '水龙头一直漏水，还会发出怪声，尤其在半夜', '短评打分': 5}
{'短评内容': '一如既往的好，现在四楼有个日料，比较好吃，只是和酒店分开营业。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 4}
{'短评内容': '一家新店哈，今天还在住，硬件很好，里面的装修风格自己以后也会借鉴到。\n是一次很不错的住宿体验', '短评打分': 5}
{'短评内容': ' 环境不错，就是没装修好，停车位不足，服务员人不错！热情', '短评打分': 3}
{'短评内容': '酒店挺好的，特别是酒店的服务态度，只是店标不是太显眼，不熟悉的不太好找到', '短评打分': 5}
{'短评内容': '酒店在南昌新开发区，酒店招牌不是很突出，有点难找。房间很宽敞，设备设施达到五星级标准，但酒店的软件服务与硬件服务不相符，达不到同类标准。酒店人员服务缺乏微笑，遇到客人都无主动微笑问好，前台人员对周边环境，不熟悉，咨询服务往往都是不清楚、不知道，有待提高。总之，房间是很舒服，但服务还欠缺很多。', '短评打分': 5}
{'短评内容': 'The hotel is very good and cheap. The equipment is nice and high quality and good service. Only the breakfast is not so good, but if they can improve then the hotel is perfect.', '短评打分': 5}
{'短评内容': '酒店12月刚开业，所以很多的士都不知道，得沿路找。但房间相当不错，够大，非常干净，服务很热情。下次还会考虑入住', '短评打分': 5}
