{'descr': '环境好，值得推荐', 'star': 5}
{'descr': '信誉好，服务质量好', 'star': 5}
{'descr': '很差  没窗的房间晚上热的睡不着觉 加90元换的带窗户的能冻死人 不给开暖气 服务员态度极差 说暖气一直开着呢 开没开我还感觉不到吗？ 地暖冰凉冰凉的 床单卫生也不干净  基本没有隔音效果  第一次给差评', 'star': 1}
{'descr': '第二次来 还不错', 'star': 5}
{'descr': '多次入住，很满意哦！', 'star': 5}
{'descr': '一切都比较好，就是订的房间是地下室，WiFi的信号一般，没有窗户，周边吃喝的地方很多，交通也比较方便', 'star': 5}
{'descr': '挺好的，很是不错', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '环境不错，交通方便，停车方便', 'star': 5}
{'descr': '马桶堵塞 冷水洗澡 双人早餐(预定时含)及开具发票交涉了半个小时才给解决！酒店和携程之间的利益分配矛盾让客人来承担，到底该朝谁问呢？', 'star': 3}
{'descr': '挺实惠的酒店 早餐品种不多 但是味道不错 洗澡的水温有点儿低', 'star': 4}
{'descr': '各方面条件都挺好', 'star': 5}
{'descr': '房间有异味，服务员态度非常非常不好，还发火。', 'star': 1}
{'descr': '服务不错，温度很高，就是昨晚有俩蚊子', 'star': 3}
{'descr': '啊哈哈哈哈就行', 'star': 3}
{'descr': '实在感觉和点评上的有差距。也许是对他家的套房期待太高了。\n1.入住时说锅炉坏了，没有热水。\n2.房间没有电话（后来换了间）。\n3.“相当”环保，不提供一次性拖鞋和纸巾。\n4.没有速溶咖啡、没有电吹风\n5.卫生纸抽3、4圈就没了。\n6.放了台式电脑在屋里，贴了张“无法开机”纸条。\n7.开窗吹了一下午，房间还是一股烟味。窗都是对着马路，要多吵有多吵。\n8.早餐要下楼到隔壁宾馆吃（还真的是第一次碰到这种', 'star': 1}
{'descr': '实在感觉和点评上的有差距。也许是对他家的套房期待太高了。\n1.入住时说锅炉坏了，没有热水。\n2.房间没有电话（后来换了间）。\n3.“相当”环保，不提供一次性拖鞋和纸巾。\n4.没有速溶咖啡、没有电吹风\n5.卫生纸抽3、4圈就没了。\n6.放了台式电脑在屋里，贴了张“无法开机”纸条。\n7.开窗吹了一下午，房间还是一股烟味。窗都是对着马路，要多吵有多吵。\n8.早餐要下楼到隔壁宾馆吃（还真的是第一次碰到这种', 'star': 1}
{'descr': '酒店刚开业不久，很干净，房间非常温馨，下次还会住', 'star': 5}
{'descr': '酒店刚开业不久，很干净，房间非常温馨，下次还会住', 'star': 5}
{'descr': '环境不错，服务热情，消费舒心，值得信赖．会推荐给朋友．', 'star': 5}
{'descr': '环境不错，服务热情，消费舒心，值得信赖．会推荐给朋友．', 'star': 5}
{'descr': ' 酒店非常不错 房间绝对称得上四星标准 美中不足，不能使用银行卡', 'star': 3}
{'descr': ' 酒店非常不错 房间绝对称得上四星标准 美中不足，不能使用银行卡', 'star': 3}
{'descr': '很干净，房间也很大，服务也不错！', 'star': 3}
{'descr': '很干净，房间也很大，服务也不错！', 'star': 3}
