{'短评内容': '不错不错四星', '短评打分': 5}
{'短评内容': '酒店不错，近地铁口，又安静', '短评打分': 5}
{'短评内容': '不错 服务态度很好', '短评打分': 5}
{'短评内容': '环境还不错，不过空调没有暖气。', '短评打分': 5}
{'短评内容': '酒店地段很好，餐厅不错，服务也好，下次继续入住。', '短评打分': 5}
{'短评内容': '酒店地段很好，餐厅不错，服务也好，下次继续入住。', '短评打分': 5}
{'短评内容': '挺方便的交通，就是房间小了些，挺好的', '短评打分': 5}
{'短评内容': '太吵啦啦啦啦啦啦啦', '短评打分': 5}
{'短评内容': '下次再来一个 全家喜欢', '短评打分': 5}
{'短评内容': '很喜欢很喜欢', '短评打分': 5}
{'短评内容': '干净卫生，比较安静，总体不错', '短评打分': 5}
{'短评内容': '很漂亮，感觉不错，好评！', '短评打分': 5}
{'短评内容': '4星，就是好，只是自助早餐，1m以下的宝宝也要收费', '短评打分': 5}
{'短评内容': '出差，价格稍贵', '短评打分': 4}
{'短评内容': '卫生和服务还有较大提升空间', '短评打分': 4}
{'短评内容': '朋友推荐住的酒店，好处就是离地铁口比较近，去机场很方便。房间内部很小，装修也一般，床睡的也还可以。总体上感觉性价比不高，下次会选择周边别的酒店', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '经常广州开会，这是最满意的一家酒店，交通很方便，在地铁燕塘站出口即到，卫生也很不错，附近有一商业街，我还抽空理发了。缺点是有点小贵。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '地铁就在门口，出行十分便利。 周边餐饮方便，独缺大型购物商场。要购物需要乘地铁或其他交通工具到其他地方  ', '短评打分': 5}
{'短评内容': '交通便利，非常具有性价比', '短评打分': 5}
{'短评内容': '酒店地理位置优越，紧临地铁口，交通非常方便。周边吃饭、购物都很方便。酒店设施先进，房间干净，设备新，服务热情。酒店住宿可以免费停车，保安很尽责。值得入住', '短评打分': 5}
{'短评内容': '酒店地理位置优越，紧临地铁口，交通非常方便。周边吃饭、购物都很方便。酒店设施先进，房间干净，设备新，服务热情。酒店住宿可以免费停车，保安很尽责。值得入住！', '短评打分': 4}
{'短评内容': '非常好，很好的一次体验，一级棒', '短评打分': 5}
{'短评内容': '还不错，出门就是地铁口，出行比较方便，吃饭也还挺好', '短评打分': 5}
{'短评内容': '不符合星级酒店标准，比较差。', '短评打分': 3}
{'短评内容': '很好。住了好几天。交通非常方便。出门就是地铁站公交站。下次还会来。', '短评打分': 5}
{'短评内容': '不错~3星级的标准 说真的酒店有点旧，早茶的样式不多。在二楼餐厅吃了顿粤菜，也还可以~3人消费1K多。感觉饭食比住店要好一些。', '短评打分': 5}
{'短评内容': ' not bad just a little old and expensive..but service is great...', '短评打分': 3}
{'短评内容': '酒店位于天河区，交通便利，离天河客运站和火车东站都很近。酒店的服务人员态度很好，一开始我嫌给我安排的房间太过高层，提出要求后立刻给我换了低层的房间，卫生条件也不错，可以说性价比非常高！', '短评打分': 5}
{'短评内容': '不错吧，条件还可以，还算方便，就是太贵了。能便宜一点就好。', '短评打分': 5}
{'短评内容': '酒店出行很方便，服务员很可亲 酒店出行很方便，服务员很可亲，', '短评打分': 5}
{'短评内容': '房間不錯，早餐略差。服務和價格也還可以。交通比較方便。', '短评打分': 5}
{'短评内容': '酒店设施一般,早餐品种也不丰富,特别是广式早茶要单点,郁闷.不过,服务一流.', '短评打分': 5}
{'短评内容': ' 还不错，离地铁站很近。前台服务态度非常好。', '短评打分': 5}
{'短评内容': '还好啦，交通方便，服务好，感觉都挺好的。', '短评打分': 5}
