{'descr': '很不错，值得入住，老板娘很热情', 'star': 5}
{'descr': '老板人挺好', 'star': 5}
{'descr': '老板主动开车接送，挺好的。布置比较用心，有当地特色。', 'star': 4}
{'descr': '老板娘挺热心，房间干净，地点佳。', 'star': 4}
{'descr': '房间干净无异味', 'star': 5}
{'descr': '十一人多 不说什么了 建议入住', 'star': 4}
{'descr': '服务特别好 车接车送 还找了很好的位置在平遥第一针织厂里 让我们把车停在那里老板来接的  米家巷出去没多远就是城中心 三人间说实话特别小 但是住着很舒服 而且爸爸特别喜欢他们的枕头 解乏', 'star': 5}
{'descr': '总体尚可', 'star': 3}
{'descr': '客栈很有地方特色，老板娘服务很周到，车接车送很方便。下次再来！', 'star': 5}
{'descr': '环境好，地理位置优越，靠近南大街，转景点方便，老板还接送旅客，且态度好。', 'star': 5}
{'descr': '十一期间去的，平时一百多当时近五百，客栈，里面一张大床，然后就是卫生间了，卫生还可以吧，不如住酒店啊。', 'star': 3}
{'descr': '土炕的房间，好喜欢的~ 只是卫生间有点小，只住了一晚所以没怎么用。朋友说浴巾不是很好用，建议用自己的~   店家环境真不是盖的，个人觉得超漂亮。下高速一个电话打过去，马上就来接了，没堵车棒棒的。  别的买家秀有发照片的，惹惹的民族风，就是那样！  下单时是说送明信片的吗，但没送我… 哈哈…  ', 'star': 5}
{'descr': '土炕的房间，好喜欢的~ 只是卫生间有点小，只住了一晚所以没怎么用。朋友说浴巾不是很好用，建议用自己的~   店家环境真不是盖的，个人觉得超漂亮。下高速一个电话打过去，马上就来接了，没堵车棒棒的。  别的买家秀有发照片的，惹惹的民族风，就是那样！  下单时是说送明信片的吗，但没送我… 哈哈…  ', 'star': 5}
{'descr': '非常好，第二次去了，特意找的这家，在古城里面，很方便', 'star': 3}
{'descr': '已是第二次来入住了。老板人很好，自驾游从平遥高速口接进来。住就在古城内，出行很方便。房间干净整洁。吃饭直接在店里吃比较划算，味道也不错，比古城内一些饭店都强。下次再来！', 'star': 5}
{'descr': '环境很有地方特色，下次还住他们家', 'star': 5}
{'descr': '天壹老板人很热情细心，客栈位置便捷，入住感觉很温馨。荐！！！', 'star': 3}
{'descr': '小店整洁，老板热情！我从五台赶来，两次打我电话关照我行程，并来汽车站接我！挺温暖！就是小店里的水，不知为何，入口很强的橡胶味，刷牙很不自在，煮出来的水更不用说。不知是我用法错误还是其他什么问题。总体推荐！不错的小店。', 'star': 3}
{'descr': '小店整洁，老板热情！我从五台赶来，两次打我电话关照我行程，并来汽车站接我！挺温暖！就是小店里的水，不知为何，入口很强的橡胶味，刷牙很不自在，煮出来的水更不用说。不知是我用法错误还是其他什么问题。总体推荐！不错的小店。', 'star': 3}
{'descr': '很不错，挺干净的，房间很静，院子很古朴，老板也很实在，推荐', 'star': 5}
{'descr': '很不错，挺干净的，房间很静，院子很古朴，老板也很实在，推荐', 'star': 5}
{'descr': '老板人不错，包送包接，酒店很有民族环境，还是很好的。', 'star': 5}
{'descr': '老板人不错，包送包接，酒店很有民族环境，还是很好的。', 'star': 5}
{'descr': '位置 环境还都不错 房间稍小 卫生还可以 老板很好 热情接送', 'star': 5}
{'descr': '位置 环境还都不错 房间稍小 卫生还可以 老板很好 热情接送', 'star': 5}
{'descr': '今天早晨已办理入住，老板人很好，房间很干净。原预定2天，因时间关系临时更改为1天。', 'star': 3}
{'descr': '今天早晨已办理入住，老板人很好，房间很干净。原预定2天，因时间关系临时更改为1天。', 'star': 3}
{'descr': '老板娘非常热情,车接车送,大床很舒服,走时候把贵重东西落下了也马上联系我们及时送过来了，好诚信好服务!推荐!', 'star': 3}
{'descr': '老板娘非常热情,车接车送,大床很舒服,走时候把贵重东西落下了也马上联系我们及时送过来了，好诚信好服务!推荐!', 'star': 3}
{'descr': '店主热情，专门跑到车站来接。装修温馨复古，设施较简陋。很喜欢炕，睡着安心，以后家里装修也也要有炕。同样价格在古城里应能找到更好的。', 'star': 3}
{'descr': '店主热情，专门跑到车站来接。装修温馨复古，设施较简陋。很喜欢炕，睡着安心，以后家里装修也也要有炕。同样价格在古城里应能找到更好的。', 'star': 3}
{'descr': '已经是第二次住这了，老板超级热情，每次都会接送，下次去还会选这里', 'star': 5}
{'descr': '已经是第二次住这了，老板超级热情，每次都会接送，下次去还会选这里', 'star': 5}
{'descr': '我们去感觉可好了，老板人超好，以后朋友去绝对推荐', 'star': 5}
{'descr': '我们去感觉可好了，老板人超好，以后朋友去绝对推荐', 'star': 5}
{'descr': '老板娘超nice~ 出入城都有车专程接送~ 客栈环境非常好，出小巷就是南大街，位置也很理想~ 下次去还订这一家~', 'star': 5}
{'descr': '老板娘超nice~ 出入城都有车专程接送~ 客栈环境非常好，出小巷就是南大街，位置也很理想~ 下次去还订这一家~', 'star': 5}
{'descr': '  下车后给老板娘打电话问怎么走 她很贴心的派了车来接  而且到店后还热心的给了地图帮忙勾注主要旅游纪念  很细节 很SWEE  住的地方也很温馨 大炕房  由于我们是三个人 老板娘还给加了床被子  很好很好  一点小建议 就是洗漱用品换个好点的 那个太次了', 'star': 5}
{'descr': '  下车后给老板娘打电话问怎么走 她很贴心的派了车来接  而且到店后还热心的给了地图帮忙勾注主要旅游纪念  很细节 很SWEE  住的地方也很温馨 大炕房  由于我们是三个人 老板娘还给加了床被子  很好很好  一点小建议 就是洗漱用品换个好点的 那个太次了', 'star': 5}
{'descr': '入住四合院,具有浓重的地方民俗色彩,很有韵味!', 'star': 3}
{'descr': '入住四合院,具有浓重的地方民俗色彩,很有韵味!', 'star': 3}
{'descr': '老板和老板娘给人感觉很亲切，很有生活气息，不像商人，下次也会推荐朋友过去，客栈位置不错，出了门就是南大街，离市楼很近，住宿条件也不错，土炕睡的很舒服，被子什么的也很干净，还负责接送，非常不错~', 'star': 5}
{'descr': '老板和老板娘给人感觉很亲切，很有生活气息，不像商人，下次也会推荐朋友过去，客栈位置不错，出了门就是南大街，离市楼很近，住宿条件也不错，土炕睡的很舒服，被子什么的也很干净，还负责接送，非常不错~', 'star': 5}
{'descr': '很不错的客栈 很干净 住置也很方便 老板也很热心', 'star': 3}
{'descr': '很不错的客栈 很干净 住置也很方便 老板也很热心', 'star': 3}
