{'短评内容': '每次去都住这里，挺好', '短评打分': 5}
{'短评内容': '位置不错也很干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '经常住  好评', '短评打分': 5}
{'短评内容': '每次上威海来，都住这个酒电，我很喜欢', '短评打分': 5}
{'短评内容': '京东还真是便利，比其它网站要优惠，而且确认超快，真不错。', '短评打分': 5}
{'短评内容': '大厅敞亮，房间安静，卫生正洁', '短评打分': 5}
{'短评内容': '服务很好，办公方便，推荐。服务很好，办公方便，推荐。服务很好，办公方便，推荐。 服务很好，办公方便，推荐。', '短评打分': 5}
{'短评内容': '服务很好，办公方便，推荐。服务很好，办公方便，推荐。服务很好，办公方便，推荐。 服务很好，办公方便，推荐。', '短评打分': 5}
{'短评内容': '大床房......是两张小床拼在一起.......的确特别大啊……', '短评打分': 4}
{'短评内容': '特别开心的一次旅行，酒店很不错，设备齐全，服务也挺周到的，是自驾来的，停车特别方便，周边可以逛的地方很多，有4-5个商场，酒店楼下就是夜市，晚上超级热闹，和老公吃得撑得不行，也就10分钟路程就到海边幸福门。前台服务员很热情，问旅游景点什么的，都回答得很详细。', '短评打分': 5}
{'短评内容': '酒店还是不错的，离海近，周边也不错，在携程预订出了点问题，不过携程客服和酒店前台很好的给解决了，非常好', '短评打分': 5}
{'短评内容': '不错哦', '短评打分': 5}
{'短评内容': '不错，就是早餐不好', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '很好的', '短评打分': 5}
{'短评内容': '团购的价格很便宜，服务和住宿都不错，地理位置很好，楼下夜市也不错', '短评打分': 4}
{'短评内容': '非常不错的酒店，性价比很高，坐落在夜市一条街上，很方便，靠夜市一侧12点前有些嘈杂，不熟的开车很难找，特别是晚上。定的是家庭房，非常舒适，因是新房所以还有些味道，早餐很一般，前台服务很一般，可能是新店的原因吧。', '短评打分': 5}
{'短评内容': '硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行硬件挺好,服务不行', '短评打分': 1}
{'短评内容': '就店真好干净，服务态度好', '短评打分': 3}
{'短评内容': '非常好的一家酒店，地理位置好，环境好，酒店设置很好很干净，收拾房间慢些早餐单调些', '短评打分': 5}
{'短评内容': '装修不错，酒店很新。入住第一天网络不好，前台很快给换了房间。服务很不错', '短评打分': 5}
{'短评内容': '条件和环境都很好，但是目前管理不是太到位，半宿竟然由房客进到我们的房间，我预定的几件房，朋友入住登记时竟然弄得乱七八糟，打电话给我多次核实，但服务态度很好', '短评打分': 5}
{'短评内容': '酒店非常不错，设施非常全面，价格合理，非常赞，下次还会光顾！', '短评打分': 5}
{'短评内容': ' 很满意，星级宾馆的享受，可能是刚开业的缘故房间里有点味道', '短评打分': 3}
