{'短评内容': '早餐据说六点半开始', '短评打分': 4}
{'短评内容': '一般性就出差睡个觉', '短评打分': 3}
{'短评内容': '不錯，很乾淨 我已經住第二次了 周圍環境生活機能完善停車也方便 早餐沒有吃樓下就一間麥當勞金拱門哈哈', '短评打分': 5}
{'短评内容': '很方便，参加活动比较便利。就是空调很吵。其他环境还可以', '短评打分': 5}
{'短评内容': '环境很好，出行方便', '短评打分': 5}
{'短评内容': '出差经常住，环境不错，现在又有了早餐卷，可以解决早饭问题。房间有洗衣机，带烘干的，对于商务来说，比较方便。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店很好 价格合理 房间却很大', '短评打分': 5}
{'短评内容': '还是非常不错滴，干净卫生，位置也好，性价比高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店式公寓，有洗衣机微波炉很方便，很安静卫生，下次有机会还住', '短评打分': 5}
{'短评内容': '热水器是手动家用的那种，一次洗热水有限。床单都发黄的。', '短评打分': 4}
{'短评内容': '住惯这家的酒店公寓，这次给爸妈和他们朋友预定，还升级了房间。', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '服务差了点，交通不太方便。装修风格非常好！房间也很大！性价比高！', '短评打分': 5}
{'短评内容': '服务差了点，交通不太方便。装修风格非常好！房间也很大！性价比高！', '短评打分': 5}
{'短评内容': '酒店总体不错～就是停车不够方便～隔音效果不是太好～但下次应该还会入住！', '短评打分': 5}
{'短评内容': '酒店总体不错～就是停车不够方便～隔音效果不是太好～但下次应该还会入住！', '短评打分': 5}
{'短评内容': '真的很棒！房间宽敞明亮，很大很舒服。然后就点下面购物饮食娱乐都很方便，交通也好！', '短评打分': 5}
{'短评内容': '真的很棒！房间宽敞明亮，很大很舒服。然后就点下面购物饮食娱乐都很方便，交通也好！', '短评打分': 5}
{'短评内容': '不错的酒店，下次再来', '短评打分': 3}
{'短评内容': '不错的酒店，下次再来', '短评打分': 3}
{'短评内容': '房间很大，景观不错，但是服务员服务水平不是一般的差，好像都没训练过，基本的礼貌都没有。', '短评打分': 3}
{'短评内容': '房间很大，景观不错，但是服务员服务水平不是一般的差，好像都没训练过，基本的礼貌都没有。', '短评打分': 3}
{'短评内容': '很不错的酒店，周围环境也可以的，基本满足要求 \n', '短评打分': 5}
{'短评内容': '很不错的酒店，周围环境也可以的，基本满足要求 \n', '短评打分': 5}
{'短评内容': '房间还不错，挺干净的。关键是周围吃东西太丰富了。', '短评打分': 5}
{'短评内容': '房间还不错，挺干净的。关键是周围吃东西太丰富了。', '短评打分': 5}
{'短评内容': '很不错的酒店，周围环境也可以的，比较安静的地方    ', '短评打分': 5}
{'短评内容': '很不错的酒店，周围环境也可以的，比较安静的地方    ', '短评打分': 5}
{'短评内容': '酒店的位置确实有点难找，设施还算不错的，就是热水器要等40分钟才能把水烧热，洗起来也不爽快啊。。。', '短评打分': 1}
{'短评内容': '酒店的位置确实有点难找，设施还算不错的，就是热水器要等40分钟才能把水烧热，洗起来也不爽快啊。。。', '短评打分': 1}
{'短评内容': '还行吧 价位有点高了。。。低点的话 我觉得还是不错的选择 周边就是没什么人 圣诞节人都没几个 这个CBD有待开发', '短评打分': 5}
{'短评内容': '还行吧 价位有点高了。。。低点的话 我觉得还是不错的选择 周边就是没什么人 圣诞节人都没几个 这个CBD有待开发', '短评打分': 5}
{'短评内容': '干净，整洁，有家的味道', '短评打分': 3}
{'短评内容': '干净，整洁，有家的味道', '短评打分': 3}
{'短评内容': '还不错，周边配套比较全，就是打车不是很方便', '短评打分': 5}
{'短评内容': '还不错，周边配套比较全，就是打车不是很方便', '短评打分': 5}
{'短评内容': '还不错，周边配套很方便，就是打车不太方便', '短评打分': 5}
{'短评内容': '还不错，周边配套很方便，就是打车不太方便', '短评打分': 5}
{'短评内容': '还ok吧，和星光公馆里别的酒店差不多，周边配套比较好', '短评打分': 5}
{'短评内容': '还ok吧，和星光公馆里别的酒店差不多，周边配套比较好', '短评打分': 5}
{'短评内容': '＋整体不错 周边配套很方便', '短评打分': 3}
{'短评内容': '＋整体不错 周边配套很方便', '短评打分': 3}
{'短评内容': '房间性价比还不错，就是前台在8楼，地方很难找', '短评打分': 5}
{'短评内容': '房间性价比还不错，就是前台在8楼，地方很难找', '短评打分': 5}
{'短评内容': '已经是vip了，非常不错，值得推荐～～～～～', '短评打分': 5}
{'短评内容': '已经是vip了，非常不错，值得推荐～～～～～', '短评打分': 5}
{'短评内容': '不错，就是当晚网络不能用，后来改用的隔壁房间的无线', '短评打分': 5}
{'短评内容': '不错，就是当晚网络不能用，后来改用的隔壁房间的无线', '短评打分': 5}
