{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '还行。打扫卫生的阿姨动作慢', '短评打分': 4}
{'短评内容': '酒店还不错', '短评打分': 4}
{'短评内容': '强烈要求平等对待', '短评打分': 5}
{'短评内容': '房间不错，值得收藏', '短评打分': 5}
{'短评内容': '一般般……', '短评打分': 3}
{'短评内容': '很差', '短评打分': 1}
{'短评内容': '安静，感觉偏远，博物馆、浣花溪公园旁，逛逛公园也好，房间旧式，人少，暖气也可以，当然天气不是太冻，房间有点贵299，没有性价比，懒得再找了晚上九点半入住。', '短评打分': 2}
{'短评内容': '洗浴设施坏了无人修', '短评打分': 4}
{'短评内容': '周边环境不错', '短评打分': 4}
{'短评内容': '最多三星级宾馆的水准，优点就是靠近博物馆', '短评打分': 3}
{'短评内容': '携程订的房间位置很差，另房间里一股臭味道，。', '短评打分': 3}
{'短评内容': '环境很优美，服务态度很好，值得入住。', '短评打分': 5}
{'短评内容': '环境，服务态度，设施都很‘', '短评打分': 5}
{'短评内容': '会议厅很大，服务很好。不足的是电子屏不稳定。客房的标间床有点小。周围环境不错，风景优美，很安静。房费有点贵', '短评打分': 5}
