{'descr': '无窗稍微有点闷 总体还好', 'star': 5}
{'descr': '很老的装修了，毕竟价格就这样', 'star': 2}
{'descr': '周边环境还行，房间小', 'star': 4}
{'descr': '服务员有套路', 'star': 4}
{'descr': '经济实惠好选择', 'star': 5}
{'descr': '环境不错的！', 'star': 5}
{'descr': '房间挺大', 'star': 4}
{'descr': '房间挺大', 'star': 4}
{'descr': '房间性价比不错，150以内就能订单带窗的特价房', 'star': 5}
{'descr': '朋友说还不错', 'star': 5}
{'descr': '还行，对得起这个价格', 'star': 4}
{'descr': '很一般的如家，没什么好说的。唯一气的是，本人是如家会员，会员价格竟然没有携程上订的便宜，郁闷不？', 'star': 3}
{'descr': '去太仓基本上都是住这里，挺好的。', 'star': 5}
{'descr': '房间就那样，卫生不好，服务很好，周围吃的不多，这家如家卫生方面真不好。', 'star': 4}
{'descr': '房间小了点，一个人住还好，在顶层！要走一段光线不好的楼梯！这个对于一个人来说有点小怕怕！', 'star': 5}
{'descr': '地方很好找，交通业挺方便。太仓地方小，也没有喧闹的。整体感觉还好', 'star': 5}
{'descr': '很不错的廉价酒店。特惠房就是没有窗户，味道有点大', 'star': 5}
{'descr': '是给老婆住的，质量还可以，以后还要找类似的酒店住。', 'star': 5}
{'descr': '還不錯……，，，，，，，，，，，，，，，，，，，，，，', 'star': 5}
{'descr': '很好的酒店，各方面都不错，值得去住。去试试吧。', 'star': 5}
{'descr': '很好的酒店，各方面都不错，值得去住。去试试吧。', 'star': 5}
{'descr': '不错的地方，空间恰到好处，比较安静，如果再送个早餐就完美了', 'star': 5}
{'descr': '该酒店地处太仓金融区，靠南阳很近，周边环境很好，酒店服务态度很不错，酒店卫生很不错的，下次还会住', 'star': 5}
{'descr': '如家住的很开心，服务和设施都很好，下次还会来！', 'star': 3}
{'descr': '住的特价房，感觉就是“特”不好！住的二楼205房，进门就是霉味扑面而来！面积小不说，墙上竟然有明显的霉迹！！！要求换房，可前台表示他的电脑一片蓝屏，生意太好房间全满！！！！看来现在社会变了，喜欢闻霉味的同志们都汇聚在这个店里了，不怕变僵尸啊！！！！', 'star': 1}
{'descr': '服务周到亲切，地理位置好，很安静。下次来还会选这里。', 'star': 5}
{'descr': '距离市区非常近，环境也很好，推荐大家入住', 'star': 5}
{'descr': '酒店很干净，服务也比较满意，休息环境也很安静，推荐大家入住', 'star': 5}
{'descr': '住的很舒服很满意,房间性价比很高。\n上网条件也很棒', 'star': 5}
{'descr': '很好，服务很到位。', 'star': 3}
{'descr': ' 环境还可以，妈妈挺满意的，就是隔音效果一般，隔壁电视声音比较大', 'star': 3}
{'descr': '酒店不错，感觉很温馨，卫生间的颜色很明快，前台工作人员态度也挺好的！总体说来，满意！', 'star': 5}
{'descr': '非常好，闹中取静！房间干净，上网速度快！', 'star': 5}
{'descr': '不错，不错不错不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '交通方便，周围银行也很多，邻近超市，很好啊。。。', 'star': 5}
{'descr': '房间蛮好的，住的很舒服，服务员笑容很甜，推荐啊。。。', 'star': 5}
{'descr': '地点挺好的，出门就是上海路，打车很方便，而且临近 市中心，交通方便，不足就是附近购物的东西没什么，只有那么一两个小超市，这个价格的性价比还行的!!!!!!!', 'star': 5}
{'descr': '32232584789321966141354', 'star': 5}
{'descr': '感觉不错,蛮舒服的', 'star': 3}
{'descr': '服务、房间都不错，就是位子不是在上海东路5号，比较难找', 'star': 5}
{'descr': '挺好的,房间挺干净，也非常安静，推荐大家入住', 'star': 5}
{'descr': '总体很好  以后还会来的       就是隔音效果不是太好', 'star': 5}
{'descr': '环境干净整洁精致，房间有多处细致设计，比较贴入人心，临近市中心，周边银行丰富，非常满意。', 'star': 5}
{'descr': '房间很安静，设施也很齐全，商务大床房内有电吹风！', 'star': 5}
{'descr': '整体很干净，员工很敬业，前台服务很规范。很喜欢如家内部饰品简单适用，没有什么多余用品，并且爱护地球，保护环境。并且无任何性用品，非常不错。 \n', 'star': 5}
{'descr': '两次住在这里，服务态度是绝对的好啊，要是再有机会去太仓一定还去那里', 'star': 5}
{'descr': '很不错，各种细节做的都不错，没什么好挑剔的。', 'star': 5}
{'descr': '酒店比较新,设施也较新,网速在连锁酒电算快的;\n服务员很热情,下次还会去住的.', 'star': 5}
{'descr': '酒店比较新，服务员非常热情，下次来还准备住', 'star': 3}
{'descr': '房间很干净，服务态度很不错，员工也很礼貌', 'star': 5}
{'descr': '经济，实惠，我跟老婆出门旅游首选，建议大家关注', 'star': 5}
{'descr': '环境不错，服务员服务态度非常好，下次还会入住如家', 'star': 5}
{'descr': '环境不错，挺干净的，周边交通方便，靠近市区，出行方便', 'star': 5}
{'descr': '酒店很不错干净舒服', 'star': 3}
{'descr': '便宜，干净，方便~~~经常住很好，缺点住的房间没窗户。。。', 'star': 5}
{'descr': '地理位置不错，靠近大润发。离市区也不远。\n服务也不错', 'star': 5}
{'descr': '酒店基本设施还可以，离市区挺进的，是大家考虑住宿的', 'star': 5}
