{'短评内容': '。。。。。。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '干净卫生整洁安静', '短评打分': 5}
{'短评内容': '这次是住荆州运7酒店天数最多的一次，总体感觉非常不错。首先，服务质量是一如既往的好；其次是洗浴间已经换了品牌洗发和沐浴，不再因袋装的洗发、沐浴不够而尴尬。这次店长还给予准备了小点心，非常感谢店长，一天的疲惫因店长的心意而暖。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '挺好的，外面有点吵', '短评打分': 5}
{'短评内容': '酒店位置很好，周边购物、餐饮非常方便，距荆州第一人民医院很近，房间干净卫生。此次来荆州是看望住院的朋友，特从网上选择运七酒店。', '短评打分': 5}
{'短评内容': '非常舒服', '短评打分': 5}
{'短评内容': '环境挺好  美中不足的  服务态度有点差', '短评打分': 5}
{'短评内容': '环境不错  服务态度不是很好', '短评打分': 5}
{'短评内容': '非常的好   非常满意', '短评打分': 5}
{'短评内容': '环境挺好的  服务态度也挺好的', '短评打分': 5}
{'短评内容': '环境挺好的  服务态度也挺好的', '短评打分': 5}
{'短评内容': '商务酒店，比较安静，但酒店设施一般，相比之下，    周边环境比较好，处闹市，外出吃饭，出行比较方便，', '短评打分': 5}
{'短评内容': '方便卫生！', '短评打分': 5}
{'短评内容': '第一次在平台订酒店，没想到如此便捷，以后会常在平台订', '短评打分': 5}
{'短评内容': '装修有点吵，其它还可以', '短评打分': 4}
{'短评内容': '环境卫生，交通方便，什么都方便哦', '短评打分': 5}
{'短评内容': '经常住', '短评打分': 4}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '地段不错，房间不大，D座房间有味道，空气不好', '短评打分': 4}
{'短评内容': '房间与我付的费用等值', '短评打分': 5}
{'短评内容': '位置还可以 小了一点.....', '短评打分': 5}
{'短评内容': '一直都在这里住，还不错，主要是有早餐', '短评打分': 5}
{'短评内容': '很不错，设施很好很赞，前台服务特别热情，值得下次再去', '短评打分': 5}
