{'短评内容': '前台杨文服务好，前台张桂服务好，酒店环境好，设施齐全，前台杨文服务好，前台张桂服务好，酒店环境好，设施齐全，前台杨文服务好，前台张桂服务好，酒店环境好，设施齐全，前台杨文服务好，前台张桂服务好，酒店环境好，设施齐全，前台杨文服务好，前台张桂服务好，酒店环境好，设施齐全，', '短评打分': 5}
{'短评内容': '免费升级了湖景房，很好哦', '短评打分': 5}
{'短评内容': '酒店很好 环境很好 前台何亚娟服务很好', '短评打分': 5}
{'短评内容': '环境不错，非常舒适！下次再来', '短评打分': 5}
{'短评内容': '入住环境满意，前台孟雪服务很好，', '短评打分': 5}
{'短评内容': '大堂环境很好，前台小孟服务非常好', '短评打分': 5}
{'短评内容': '酒店设施很好，大堂何亚娟服务很好，非常棒的一次出行酒店设施很好，大堂何亚娟服务很好，非常棒的一次出行酒店设施很好，大堂何亚娟服务很好，非常棒的一次出行酒店设施很好，大堂何亚娟服务很好，非常棒的一次出行酒店设施很好，大堂何亚娟服务很好，非常棒的一次出行', '短评打分': 5}
{'短评内容': '酒店环境好卫生好服务好 前台宋玉服务酒店环境好卫生好服务好 前台宋玉服务酒店环境好卫生好服务好 前台宋玉服务好酒店环境好卫生好服务好 前台宋玉服务好酒店环境好卫生好服务好 前台宋玉服务好酒店环境好卫生好服务好 前台宋玉服务好', '短评打分': 5}
{'短评内容': '酒店周边环境优美，酒店内部环境也好，早餐很好。酒店服务周到，尤其感谢何亚娟提供的周到服务！', '短评打分': 5}
{'短评内容': '环境好，服务好，有水果', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境很好，服务周到。', '短评打分': 5}
{'短评内容': '不错，经常住，老客户了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间设施设备很好，前厅部经理程玉娟很优秀。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境优美', '短评打分': 5}
{'短评内容': '棒棒哒，景色好，湖景房，下次再来', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '总体来说还行', '短评打分': 5}
{'短评内容': '酒店不错，房间对面就是大巢湖，早上一起床视野很好，前台宋玉服务很好，办的很快很亲切，性格很好的一个美女，给她点个赞', '短评打分': 5}
