{'descr': '还行吧，也是老店了，性价比很高', 'star': 4}
{'descr': '房间卫生还好。就是枕套感觉不那么干净。有时会有点痒。整体性价比比较高。有时候早上还会送包子。可以吧。', 'star': 4}
{'descr': '还是不错的。位置方面。网络方面。就是靠马路感觉吵了点。隔音效果差了点吧。房间还是很大的。性价比比较高吧。', 'star': 4}
{'descr': '一般般吧，温馨的话房间确实小了点挤了点，也很吵。隔音效果不好。不过其他房型都还不错。性价比也很高。。', 'star': 4}
{'descr': '房间挺大的。风格也挺喜欢的。性价比比较高。整体来看还是比较好的。就是可能会吵了点。不过最近附近的都是这么吵，道路施工。', 'star': 4}
{'descr': '图文不符', 'star': 4}
{'descr': '还不错，挺方便的', 'star': 5}
{'descr': '很好，出差住这是个跟好的选择。', 'star': 5}
{'descr': '嗯', 'star': 5}
{'descr': '哈哈哈哈呵呵哈哈哈', 'star': 5}
{'descr': '还不错，位置挺好，就是隔音不太好', 'star': 3}
{'descr': '有麻将的小套房，感觉不错.... 在珠江路上，晚上还是有点吵的... 关键第二天早上九点前竟然有打电钻的声音....店长退了50块', 'star': 3}
{'descr': '虽然老了点，但是设施还是蛮好的，周边吃的比较多', 'star': 4}
{'descr': '还不错吧，以前一直住在这里了。', 'star': 5}
{'descr': '不错，挺干净的，附近吃饭交通都便利！', 'star': 5}
{'descr': '肯定连锁~~~~~住了2次，还不错', 'star': 5}
{'descr': '设施齐全，环境不错~~~~~~~~~~~~~~~~~', 'star': 5}
{'descr': '還不錯……………………住幾次了，，，，，，，，', 'star': 5}
{'descr': '服务态度很差，房间的格局也不好，房间空调声响很大', 'star': 1}
{'descr': '房间比较小，浴室很小，其他设施比较温馨~', 'star': 5}
{'descr': '住了3天，服务态度挺好，房间也还行，但是不知道是酒店床铺的问题还是浴室毛巾的问题，总之回家以后浑身发痒，医生说过敏，前后花了快100买药，郁闷', 'star': 1}
{'descr': '梦开始的地方\n很温馨\n有家的感觉\n她很喜欢\n床帘能拉很紧\n很黑\n让她有安全感', 'star': 5}
{'descr': '很干净，圆床房真的很赞，我在他家住很多次，很喜欢\n暂时没发现问题', 'star': 5}
{'descr': '还是住的那一间哦，有点小了，不能每次都让我住小的吧，也给我换换吧，那里的工作人员都很好哦，还会再去的', 'star': 5}
{'descr': '我觉得还不错哦，出门就图个方便，所以无所谓啦，房间够情侣居住', 'star': 5}
{'descr': '房间略小 电梯小吊', 'star': 3}
{'descr': '房间太小 卫生不好 床单上还有血渍 我很不满意', 'star': 1}
{'descr': '服务态度好，值得入住，女友落手机在房间并不知情的情况下酒店及时归还。感动', 'star': 5}
{'descr': '房间布局很漂亮，价格公道，所处位置繁华热闹。', 'star': 5}
{'descr': '上次住的一个房间  房卡没用  每次进去都要叫服务员', 'star': 1}
{'descr': '环境不错,就是不好找.', 'star': 3}
{'descr': '总体还不错，开始的房间里空调坏了，马上给予调换了~~', 'star': 5}
{'descr': '地方太小  根本没有18个平方   只有10个平方', 'star': 1}
{'descr': '环境还不错，市口也比较好，房间小了点。还是比较整洁干净的。', 'star': 5}
{'descr': '去了两次，每次都是住在一个有一个大房梁柱子的房间里，空间不大，两次都有灯管坏掉的问题，其他还OK吧', 'star': 5}
{'descr': '房间挺好挺干净，设施较新，就是有人吵闹，没人维持秩序，时尚低廉。', 'star': 5}
{'descr': '重装修了比以前好多了，还不错，下次还可以考虑去住', 'star': 5}
{'descr': '空间太小了，还有被单 很不干净 换了2次，说是洗不干净，还有很恶心的是 卫生间的垃圾桶里居然有 避孕套的袋子。。  到处都有叫小姐的卡片。。。', 'star': 1}
{'descr': '＋很温馨不错', 'star': 3}
{'descr': '如果刚入住酒店时是不会推荐的，但是住了以后会推荐一下。\n首先缺点是时尚标间格局很一般，很小，网速不快，甚至打不开网页。\n优点是服务员态度很好，反应情况后能及时回报，和解决；\n欧式标间房子宽敞明亮，家具有些旧。\n是服务态度让我推荐的这家宾馆。', 'star': 5}
{'descr': '酒店的隔音效果不是很好,其它方面都还还.', 'star': 3}
{'descr': '＋很不错，性价比比较高，最主要的是床单什么的不潮湿，这点让我很满意。但是，某些电器的状态不是很理想。', 'star': 3}
{'descr': '性价比尚可。浴巾破旧。没有放袋子的柜子。', 'star': 3}
{'descr': '近几个月来办事全部住这里，有一点值得表扬，就是可以下午2点退房。该店在珠江路百脑汇旁，又一点不好就是早晚上下班高峰期打车不方便。', 'star': 5}
{'descr': '最近几个月来办事全部住这里，有一点值得表扬，就是可以下午2点退房。该店在珠江路百脑汇旁，又一点不好就是早晚上下班高峰期打车不方便。', 'star': 5}
{'descr': '这次去南京，在这里住了4晚。上下班时间打车不方便。房间都是临街的，比较吵。', 'star': 5}
{'descr': '宾馆房间基本都有窗，只是都在马路边，一大早就吵了，地毯很脏，不过正在装修，据说要全部换新的', 'star': 5}
{'descr': '房间太小，门外一整夜噪音不断', 'star': 3}
{'descr': '还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。还好。', 'star': 1}
{'descr': '房间挺好，床很大，服务周到', 'star': 3}
{'descr': '床单上好像有碎头发，希望下次改进，其他方面不错', 'star': 5}
{'descr': '房间比较小，设施陈旧.不过地理位置确实方便.', 'star': 1}
{'descr': '朋友说交通便利，就在珠江路上，就是床铺有小洞，干净还是蛮干净的', 'star': 5}
{'descr': '房间还算可以 关键是来珠江路的很方便 缺点就是在马路旁边 晚上渣土车开来开去的', 'star': 5}
{'descr': '客户入住后说环境还不错，交通也方便，比较满意', 'star': 5}
{'descr': '房间比较小卫生也打扫一般，服务态度也不是太好，价格都差不多，主要酒店环境不是很好，房间太差。', 'star': 1}
{'descr': '外地来宁的朋友觉得还不错，蛮满意的~~~~', 'star': 5}
{'descr': '除了总台及打扫的服务态度不错之外, \n其它一无可取! \n建议别去住啦! \n', 'star': 1}
{'descr': '环境不怎么样\u3000价格贵,房间太小,性介比差', 'star': 1}
{'descr': '这个价位、这个地理位置其实真的还不错了。房间比较干净、设施也还挺新的，可惜就是连个电吹风都么有……', 'star': 5}
{'descr': '总体还不错 但是有老鼠 应该处理下 ！总体来说还不错 ~~~', 'star': 5}
{'descr': '除了总台及打扫的服务态度不错之外,\r\n其它一无可取!\r\n建议别去住啦!\r\n', 'star': 1}
{'descr': '+房间不错', 'star': 5}
{'descr': '\u3000环境不怎么样\u3000价格贵', 'star': 5}
{'descr': '+感觉酒店房间有点小', 'star': 5}
