{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '每次带老外去徐州出差都是住绿地皇冠假日，风景优美，提示都有英文非常方便，早餐和晚餐都很好，有停车场，', '短评打分': 5}
{'短评内容': '#ud83d#udc4c', '短评打分': 5}
{'短评内容': '酒店风景不错，散步好去处。吃饭选择不多，质量一般。', '短评打分': 5}
{'短评内容': '酒店整体硬件还可以，就是位置比较偏，在新城区，离老城区很远，出去不是很方便，这边基本还没怎么开发。服务有待提高，这里的服务员比较散，意识不够，很少主动打招呼，餐厅服务员什么时候你看见都是两个三个的靠在桌子旁聊天，硬件五星，服务像三星的。', '短评打分': 5}
{'短评内容': '酒店完美，机器人很可爱！预订却很差，居然查不到我预订信息！投诉退款！', '短评打分': 1}
{'短评内容': '订房间介绍的很清楚明白，下单后直接赶到酒店就入住了。', '短评打分': 5}
{'短评内容': '一如即往的好', '短评打分': 5}
{'短评内容': '一如即往的好', '短评打分': 5}
{'短评内容': '不错，不错，早餐好', '短评打分': 3}
{'短评内容': '满意！！！！！', '短评打分': 5}
{'短评内容': 'Just stayed one night. Didnt have time to explore. Seems great hotel and beautiful neighborhood. Service was ok. Got free upgrade. Gym and pool are ok. Breakfast has great variety but service was so s', '短评打分': 4}
{'短评内容': '可以，环境不错', '短评打分': 5}
{'短评内容': '就那样吧', '短评打分': 4}
{'短评内容': '服务很好，知道我晚餐不吃饭，还特意送了水果。', '短评打分': 5}
{'短评内容': '总的来说,都不错,很好,点赞.', '短评打分': 5}
{'短评内容': '环境很好，景色宜人，干净整洁。', '短评打分': 3}
{'短评内容': '住过很多次的酒店，最喜欢酒店周边环境，晚上可以去大龙湖夜跑，酒店房间大，装修风格是我喜欢的，对洲际酒店集团的白金卡会员很礼遇，送水果和饮料，我会在睡前换成热牛奶喝。早餐很丰盛，中西合璧，牛角包超好吃，面条好吃，每次都给我升房，服务殷勤周到，礼宾部的路盼先生，非常好，能让人感觉到宾致如归。客房服务送来了加湿器，取暖器，荞麦枕，酒店的自助餐，哈根达斯冰淇淋无限量，菜品丰富，味道也好，徐州最好的五星级酒', '短评打分': 5}
{'短评内容': '环境好，早晨空气质量好，服务人员态度十分亲切，绿地皇冠家一般的感觉！！！', '短评打分': 5}
