{'短评内容': '古镇很漂亮，酒店房间蛮干净的，服务挺好。。。。。。。。推荐入住！！！！！！！！！！！。。。。。。。。。', '短评打分': 5}
{'短评内容': '早餐很简单，房间有跃层，适合大点的宝宝，晚上比较冷，暖气温度不高。位置离民国风情街走路10多分钟。停车方便', '短评打分': 5}
{'短评内容': '早餐很简单，房间有跃层，适合大点的宝宝，晚上比较冷，暖气温度不高。位置离民国风情街走路10多分钟。特别感谢我落东西在酒店了，他们很热情的联系我并寄给我。', '短评打分': 5}
{'短评内容': '房间里面有个阁楼，娃娃太喜欢了，而且房间里面还有暖气，下次还会再来，早餐可以再丰富点，门口有有轨电车站', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还行。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店在安仁古镇边上，距离刘氏庄园和建川博物馆约1公里，走路15分钟，酒店安静静谧，设施设备齐全，可惜没有早餐', '短评打分': 5}
{'短评内容': '安静，古色古香', '短评打分': 5}
{'短评内容': '房间又高又大，还有一个小阁楼，上面是榻榻米，挺有趣味性。酒店环境很好，非常安静。卫生间台面用的是粗糙面的石材，我感觉很难打理，渗进石材里面的各种斑驳水渍，挺影响人的心理。洗澡水不是很热，吹风机的线太短，吹头很不方便，酒店不提供早餐，附近又没有什么可吃，225这个价位就不算低了。', '短评打分': 5}
{'短评内容': '酒店很不错，性价比很高。', '短评打分': 5}
{'短评内容': '酒店很棒，值得入住', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
