{'短评内容': '同事出差代订的，价格十分便宜', '短评打分': 4}
{'短评内容': '很好啊', '短评打分': 4}
{'短评内容': '哦', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '有点小，位置挺好找', '短评打分': 3}
{'短评内容': '环境还不错，性价比高', '短评打分': 4}
{'短评内容': '整体感觉不错', '短评打分': 5}
{'短评内容': '一般，性价比低。以后不会在入住的。早餐太差。', '短评打分': 4}
{'短评内容': '宜必思的管理输出店，还行吧，过得去', '短评打分': 5}
{'短评内容': '性价比高的商务型酒店。', '短评打分': 4}
{'短评内容': '以前还有优惠哦，现在没有优惠了，所以觉得很可惜希望把优惠的，旅途继续。', '短评打分': 3}
{'短评内容': '今早坐车19点，就是价钱现在没有优惠，希望在网上有以前的优惠。', '短评打分': 3}
{'短评内容': '很好的酒店，便宜、安静、干净，我一家人（2个大人1个小孩）住的家庭房，房间布置紧凑、比较合理，但缺少桌子，用手提时不方便，还有就是晒衣服不大方便。酒店靠近马务广场，吃和出行都很方便。', '短评打分': 5}
{'短评内容': '每次都一样，习惯了，还行。。。。。。。。。。', '短评打分': 5}
{'短评内容': '快捷酒店里性价比很不错的一家酒店！住起来很放心！', '短评打分': 5}
{'短评内容': '还不错，去了很多次了，没的说了。。。。。。', '短评打分': 5}
{'短评内容': '很多次入住了，一如既往，没什么变化。。。', '短评打分': 5}
{'短评内容': '170块住这个酒店 没神马可挑剔的\n\n前台服务很好 还有20块早餐不值得 ', '短评打分': 5}
{'短评内容': '我和老婆去玩，首选都会是宜必思，该酒店位置有点偏，不通地铁，但房间还是不错的，服务态度也很OK，下次去还会选择这家酒店，楼下的不停车可以买麦当劳的我还是第一次见！很方便有急事的人！', '短评打分': 5}
{'短评内容': '房间维持宜必思一惯的特色；就是干净、床垫够软、舒服。\n\n缺点就是我住的那间房的浴室无下水孔，洗脸后地板积水。\n还有夏天到了，居然没配置电蚊香？\n', '短评打分': 5}
{'短评内容': '隔音很好，整晚都没有听到外面有动静，就是房间很小，放下一张床所剩无几，服务很好，前台热情。环境还可以，信号比较差，在过道手机没有信号。', '短评打分': 5}
{'短评内容': '不错，很好，就是位置有点偏，交通不太方便', '短评打分': 5}
{'短评内容': '很干净，很温馨，住得很放心，踏实的一个酒店，我以后不管去哪都会先选择这个酒店。', '短评打分': 5}
{'短评内容': '这里的房子性价比挺高的，我住过上海的同家酒店，还真是挺干净的，有外国人那种简单但干净的优点！', '短评打分': 5}
