{'短评内容': '行了，不错', '短评打分': 5}
{'短评内容': '舒服，温暖，地点很好，就是停车场小，我每次都停附近的汉庭酒店停车场，那边车少，好停车。对了，18平米的房间是有窗户的，这个好。', '短评打分': 5}
{'短评内容': '前台服务热情周到，房间设施齐全。非常满意', '短评打分': 5}
{'短评内容': '网络极差  其他可以                                           ', '短评打分': 5}
{'短评内容': '不错 就是有点小，其它都好，地点不错，暖气很好，温暖。没窗户，不太习惯。网速还行，楼层高，下次努力再来', '短评打分': 5}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', '短评打分': 5}
{'短评内容': '性价比高，比较干净。', '短评打分': 5}
{'短评内容': '性价比高，比较干净。最主要周围吃饭方便。', '短评打分': 5}
{'短评内容': '进入房间一股的怪味，说难听的就跟厕所的骚味一样，不知道是消毒水味道还是什么，很不舒服', '短评打分': 3}
{'短评内容': '&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;～', '短评打分': 5}
{'短评内容': '订酒店非常方便.。', '短评打分': 5}
{'短评内容': '价格贵房间小，，，，，，，，，，，，，', '短评打分': 5}
{'短评内容': '入住了好几次了，房子不大，被子挺舒服的，楼层比较高，晚上睡觉挺安静的，房子位置也不错，吃饭 运动都挺方便', '短评打分': 4}
{'短评内容': '还不错，定的时候没有标注名，去了说是没有窗的，然后进来看了看，睡了会，天气缘故吧，不怎么闷，反而感觉有蜗居的感觉，不错，床单下褥子有点薄，有点硌人，被子很舒服', '短评打分': 5}
{'短评内容': '干净整洁，价格合适', '短评打分': 5}
{'短评内容': '挺实惠的，环境还算可以', '短评打分': 5}
{'短评内容': '挺不错的啊', '短评打分': 5}
{'短评内容': '1122号房间的电视机在11月25日凌晨3：27无故开启，你们工程部最好是看一下电视机是否设置了自动开机等？当时遥控器放在书桌上的', '短评打分': 5}
{'短评内容': '酒店地理位置优越，房间尚可略显陈旧，服务态度优，性价比超高。建议更换床垫，睡的实在不舒服。', '短评打分': 4}
{'短评内容': '酒店地理位置优越，价格相当实惠，设施齐全略显陈旧，服务热情，建议床垫该更换了。', '短评打分': 4}
{'短评内容': '还可以，就是价格没准', '短评打分': 3}
{'短评内容': '多次在这里住，安静干净，价格优惠，非常适合出差旅行。', '短评打分': 4}
{'短评内容': '商务出差是个可选之处', '短评打分': 4}
{'短评内容': '环境好，卫生条件不错，离中心区域很近！', '短评打分': 5}
{'短评内容': '快捷酒店～～特价房～便宜所以也没啥好说的', '短评打分': 3}
{'短评内容': '新装修有味道，位置还可以，离乐购步行10分钟，房间不大，仅是够用', '短评打分': 5}
{'短评内容': '酒店位置不错，但是卫生 不干净，服务员打扫不细致，前台服务还可以', '短评打分': 5}
{'短评内容': '房间卫生和设施不错。服务也很好。就是开排风扇一会后，整个房间有臭味。', '短评打分': 5}
{'短评内容': '酒店房间换了二间，每个都有毛病，并且都是漏电跳闸，所以真的很次，。酒店必须整修了，电了我二次，真的很次啊。', '短评打分': 5}
{'短评内容': '酒店除了电梯之外其他的都还可以，就是新装修的，还有一点味道，空间还可以。\n服务一般给力', '短评打分': 5}
{'短评内容': '不错的服务！', '短评打分': 3}
{'短评内容': '已经来过几次了,价格合理,服务周到', '短评打分': 3}
{'短评内容': '还可以就是隔音不太好。', '短评打分': 3}
{'短评内容': '在开发区，离办事的地方距离适中，房间干净，窗户在走廊里，其他都还好。', '短评打分': 5}
{'短评内容': '在开发区来说价格比较便宜，不过比较乱，一个楼上有别的住户和公司，楼层高电梯不是很方便。', '短评打分': 5}
{'短评内容': '房间很干净 价格也很划算 就是卫生间的下水不太顺畅...整体来说还不错', '短评打分': 5}
{'短评内容': '挺新的，很干净！不错！周围购物、吃饭也很方便！！下次还有朋友去，会介绍他们入住！', '短评打分': 5}
{'短评内容': '环境不错，也很实惠', '短评打分': 3}
{'短评内容': '很不错，装修挺新的，很干净，简约，唯一不好的就是我住那房间洗澡下水不利索，不知道其它房间时嘛情况', '短评打分': 5}
{'短评内容': '静，净', '短评打分': 3}
{'短评内容': ' 新开张酒店，干净卫生，不错。', '短评打分': 3}
{'短评内容': '干净\n', '短评打分': 3}
{'短评内容': '价格和装修都还不错 不过新开的房间有点味道 这都无所谓 但是他们的客房服务员太差了 不敲门就直接进房间 投诉之后也没有给个结果 只是说问一下', '短评打分': 5}
{'短评内容': '房间设施齐全，色调温馨，布置简洁，干净卫生。无早餐，交通便利，购物方便。', '短评打分': 5}
{'短评内容': '酒店小巧玲珑，空间略小，暂住可选择。未配备餐厅，不太方便。', '短评打分': 5}
{'短评内容': '大床房较小，刚进去时比较闷，打开空调好些。还是推荐，比较经济！', '短评打分': 5}
{'短评内容': '房间清理叫了多次，仍然无人受理；被套质地很差，弄得全身不舒服', '短评打分': 1}
