{'短评内容': '一般。位置不错，但设施较陈旧。要求不高就尚可。', '短评打分': 5}
{'短评内容': '太差了，房间很脏、而且没有窗户、空调滴水、各位旅游的朋友一定不要住那、安全也没有保障、服务态度不好！差！差！差！', '短评打分': 1}
{'短评内容': '房间很大，就是卫生间有点旧，其他一切OK，靠外滩，旁边有个酒吧一条街非常非常适合年亲人。推荐。。', '短评打分': 5}
{'短评内容': '性价比不错，房间干净，停车免费，就是有点不好找！', '短评打分': 5}
{'短评内容': '100左右的房间还行了吧，北站旁边，机场打的过来45块左右', '短评打分': 5}
{'短评内容': '酒店很一般…', '短评打分': 3}
{'短评内容': '地方是相对偏了些,不过总体性价比还算可以', '短评打分': 5}
{'短评内容': '，服务一般，卫生中上等！地理位置相对价格来讲很不错了，就是退房时间要求十二点，不甚理想！', '短评打分': 3}
{'短评内容': '还不错，挺干净的经济酒店，位置也还算方便，前台操作也算不差。', '短评打分': 5}
{'短评内容': '性价比还不错', '短评打分': 3}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '性价比高，楼下就是北站，旁边就是公交总站，方便出行。就是网速比较慢，可能是因为无线的缘故吧。', '短评打分': 3}
{'短评内容': '多次入住了\u3000总体还凑合\u3000不过这次不能刷卡\u3000有些郁闷', '短评打分': 3}
{'短评内容': '环境一般，但离购票去普陀山快艇的码头很近，离外滩也近，离汽车站也近，推荐。\n缺点就是热水不是很热，空调太厉害了。', '短评打分': 5}
{'短评内容': '上网经常掉线，屋里很暗，没有窗户还没有剃须刀', '短评打分': 1}
{'短评内容': '差的要死，我立即退房居然还收我30元', '短评打分': 3}
{'短评内容': '因为半夜飞机才到,晚班的前台服务态度很差,  床垫人睡的位置整个塌陷下去,有弹簧都跑起来了,整晚没睡好！', '短评打分': 1}
{'短评内容': '交通方便，但条件真不行。。。。。。只能说一般', '短评打分': 1}
{'短评内容': '，有些无窗，热水也不行，无晾衣的地方; 不过价格还好，房也挺大。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间到是挺大~环境也不错~就是服务员态度很操蛋~网络也不好~网速慢还容易掉线~最可气的不是24小时热水~玩回来木有热水洗澡！', '短评打分': 5}
{'短评内容': '服务太差，连热水，毛巾都没有！连住两天，叫服务员换套生活用品，结果把毛巾拿走就不拿新的来，床单被子也没换，就铺了一下！太差了！', '短评打分': 3}
{'短评内容': '性价比很高   房间很干净 下次还会过来住的', '短评打分': 5}
{'短评内容': '整体环境还算好，就是个别房间有点那个啥，建筑问题！', '短评打分': 5}
{'短评内容': ' 很吵，没有做到下单时要求的安静。很失望！！！', '短评打分': 3}
{'短评内容': '虽然位置较好，感觉也是闹中取静，但隔音效果不是很好，走廊上的声音、隔壁房间的电话声都能清楚的听到', '短评打分': 1}
{'短评内容': '隔音效果不好。房间很一般。。。价位高一些', '短评打分': 5}
{'短评内容': '为什么跟上次是同一个房间，很奇怪没有洗头膏', '短评打分': 5}
{'短评内容': '还好吧  干净的还是，就是没有洗头膏   呵呵', '短评打分': 5}
{'短评内容': '原计划住5天，但是我住了一个晚上就逃跑一样的出来了！网速慢的一个网页要开几次。早上没热水。这两个问题打电话去问，而且是用手机打。刚进门就发现房间电话没信号。就对前台说了！一直到第二天早上都没人来管一下。问那两个问题全部被推：因为早上的原因，没有热水，网络很慢！其实晚上更慢！而且如果不是电脑的房间你的电脑必须放在到膝盖高的桌子上使用。', '短评打分': 1}
{'短评内容': '还还好\nv还好\n还好\n还好\n还好\n还好\n还好\n', '短评打分': 5}
{'短评内容': '目前周边在修路，环境不好。酒店内部装修时间过久，部分设施很旧。整体环境不好！', '短评打分': 1}
{'短评内容': '房子整体环境不好，冬天了蚊子还那么多害的晚上没睡好，晚上轮船开过还是有很大噪音，宾馆服务也不好', '短评打分': 3}
{'短评内容': '酒店设施太陈旧，地理位置有些偏僻。如果不是为了在轮船码头坐船去普陀山，建议选择其他酒店。', '短评打分': 1}
{'短评内容': '离哪里都很近，但是设施不是很好，但看在地段的份上，ok', '短评打分': 5}
