{'短评内容': '挺便宜', '短评打分': 5}
{'短评内容': '楼下东侧30米就是统一银座24小时便利店，周边还有特色餐馆，个别房间WIFI信号稍微弱点，总体来说性价比不错，客服人员服务热情。', '短评打分': 5}
{'短评内容': '环境价格都不错，网不大好', '短评打分': 5}
{'短评内容': '还好吧，价格不贵', '短评打分': 5}
{'短评内容': '厉害了我的变压器', '短评打分': 3}
{'短评内容': '不错，挺安静，很实惠', '短评打分': 5}
{'短评内容': '所在位置周边很方便，吃饭购物都有，还算满意，本来是预定无窗房间，入住后是有窗户的，只是家具有点旧，服务态度很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '酒店环境有点差，设施有点陈旧，最重要的是卫生间反味，服务的话，说实话没有什么服务，床单肯定不是新的。', '短评打分': 2}
{'短评内容': '省立医院陪护住的，挺好的，房间很好，很干净，打扫的阿姨很敬业。这是第二次来的，离着省立医院不算远，距离刚刚好。这附近也比较安静。很满意', '短评打分': 5}
{'短评内容': '房子不错', '短评打分': 4}
{'短评内容': '在医院陪护临时住，离着医院不远。比一般的是远点，不过房间很好，这个价格可以，很满意。', '短评打分': 5}
{'短评内容': '三次入住了，只能说越来越差，网上预付定的留给最破的房间？这次实在是忍无可忍，房间味道特别大，浴室旁边木头直接烂掉了，窗边就是一堆垃圾，被子也是破的，图片绝对属实。一共经历了三个前台人员，有一个服务态度实在是差，其余两个还好，第二天果断换了房间。', '短评打分': 2}
{'短评内容': '该酒店周边环境不错，交通比较便利。', '短评打分': 4}
{'短评内容': '房间比较旧吧，热水时有时无，比较坑，不过交通挺方便，周围饭店便利店较齐全。', '短评打分': 3}
{'短评内容': '酒店位置较好，干净卫生', '短评打分': 3}
{'短评内容': '挺干净的 也很安静 经常来', '短评打分': 3}
{'短评内容': '很不错，服务态度很好，住的也很满意', '短评打分': 3}
{'短评内容': '房间还行 不满意在于不能够刷卡 太不方便了 ', '短评打分': 5}
{'短评内容': '周围有很多小吃店，服务好，很干净的，········', '短评打分': 5}
{'短评内容': '挺方便的 。。也较我舒服吧。适合住宿。距离适中', '短评打分': 5}
{'短评内容': '干净卫生，大床房空间较小。让人感觉比较憋闷。', '短评打分': 5}
{'短评内容': '该酒店比较难找，处老城区，凌晨靠马路边较吵', '短评打分': 3}
{'短评内容': '环境不错,满意。', '短评打分': 3}
{'短评内容': '干净，整洁，前台服务态度好，怎么要求那么多字啊！', '短评打分': 5}
{'短评内容': '比较干净还不错', '短评打分': 3}
{'短评内容': '＋整体感觉一般，没有吹风机，隔音效果较差，碰到个隔壁吵架的，吵得不行…前台服务员办事忒慢，态度有待提高…', '短评打分': 3}
{'短评内容': '味道偏重，房间也不是很大，性价比不高。', '短评打分': 3}
{'短评内容': '酒店太一般了，住的大床房，从没见过如此小的卫生间，非常不便，前台态度也不热情。以后还是住七天汉庭之类的连锁酒店了。', '短评打分': 3}
{'短评内容': '房间很干净,离省立医院也比较近,价钱也很合理.', '短评打分': 5}
{'短评内容': '挺不错', '短评打分': 3}
{'短评内容': '服务态度不错，隔音效果太差，大床间房子空间有些小。', '短评打分': 1}
{'短评内容': '不好 没有窗户。。开始定的时候也没有说明', '短评打分': 1}
{'短评内容': '性价比不错的酒店，位置也很好，就是房间小了一点，但这个价格也不错了', '短评打分': 5}
{'短评内容': '宾馆还可以 就是洗手间味道有点重 空调很给力', '短评打分': 5}
{'短评内容': '新开酒店，服务还得加强，都住下来了，因为宽带原因狼狈的换了个房间！', '短评打分': 5}
{'短评内容': '服务很贴心!满意!', '短评打分': 3}
{'短评内容': '房间很干净,很安静,价钱也很合理.如果没有很高的要求,这个酒店是个不错的选择.', '短评打分': 5}
{'短评内容': '价格便宜，房间还算干静，房内家具太少，东西多的话没地放', '短评打分': 5}
{'短评内容': '住的单人间，虽然房间有点小，但是床比较大，里面的设施也一应俱全，还有服务员服务态度很好，\\(^o^)/~', '短评打分': 5}
