{'短评内容': '环境不错，早餐很丰富，出行方便，下次还住这里', '短评打分': 5}
{'短评内容': '不错，去瑞丽以后回来还住的这家', '短评打分': 5}
{'短评内容': '网上看到评论这家还不错，入住后没有失望，房间大设施也还不错对得起200多元的价格。', '短评打分': 5}
{'短评内容': '四星级酒店中比较好的、赞', '短评打分': 5}
{'短评内容': '早餐品种很多，床特别大，带孩子睡非常合适，晚上还送牛奶，正好给小朋友喝，很方便。酒店周围各种吃的，朋友总带去吃本地菜，有点儿吃不惯，后来自己在酒店旁边一家东北菜调节了一下', '短评打分': 5}
{'短评内容': '酒店设施齐全，很hao!', '短评打分': 5}
{'短评内容': '性价比不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比不错的酒店。连续住了好几天...................................', '短评打分': 5}
{'短评内容': '酒店不大，但房间是够大了。确实有水果送，但我不喜欢吃。位于市中心，周边都挺方便的，到机场20分钟车程，可惜只有接机没有送机服务。', '短评打分': 4}
{'短评内容': '房间卫生很好，干净整洁，卫生间用的洁具都是ToTo的而且灯光是感应的，如果没人在里面就会自动熄灭。总之细节做的不错，早餐也挺好吃。如果下次去还会住这里。', '短评打分': 5}
{'短评内容': '房间可以，早餐也可以，前台办理入住很快，比前一天住的麦x好，感觉正规一些，就是结账时没看单，后来发现价格有点对不上。', '短评打分': 4}
{'短评内容': '还行吧 随便住住', '短评打分': 5}
{'短评内容': '不错哦，还可以看日出', '短评打分': 5}
{'短评内容': '很不错！晚上还送来了牛奶！可能是南方人的习惯？一楼大厅总开着门，客人进到大厅办手续感到很冷。客人冷，工作人员我看也冷得够呛。毕竟是接待全国各地的客人，南方的阴冷北方人不适应的。来到酒店就希望找到温暖。冷天关上大厅的门比较人性化。其他都很满意。给赞！', '短评打分': 5}
{'短评内容': '价超所值', '短评打分': 5}
{'短评内容': '价钱合理交通方便', '短评打分': 5}
{'短评内容': '温暖的房间，舒适的环境', '短评打分': 5}
{'短评内容': '清晨打开窗子远处的云雾很美，9楼 房间很暖和', '短评打分': 5}
