{'短评内容': '总体可以，房间灯光有些暗，设施有些老旧了', '短评打分': 4}
{'短评内容': '文化大革命时期的经营模式。来访客人不让进房间…咄咄怪事！态度蛮横无理，保安穷凶极恶…', '短评打分': 2}
{'短评内容': '特点就是房间大！', '短评打分': 4}
{'短评内容': '空调声音太大', '短评打分': 4}
{'短评内容': '设施比较旧', '短评打分': 4}
{'短评内容': '住了个四周都是可以看到远景的高层，大气，明亮，不错！', '短评打分': 4}
{'短评内容': '这次又来住 交通便利 性价比很高，床有点硬别的设施都很好，最好屋里放几瓶水最好了', '短评打分': 5}
{'短评内容': '环境干净，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 4}
{'短评内容': '不错 就是网不太好', '短评打分': 5}
{'短评内容': '环境挺好，不错，睡的很舒服', '短评打分': 5}
{'短评内容': '四周吃东西很方便~离地铁也不远~停车位比较少~不过反正免费也就没啥抱怨了', '短评打分': 5}
{'短评内容': '1.位于黎明国际旁，距离地铁站步行约十来分钟。 2.周边餐馆特别多，公交车站也很多。 3.房间简洁，没有太多的设施', '短评打分': 3}
{'短评内容': '设施一流，服务周到!是沈阳大东区性价比很高的一家酒店，我每次到沈阳出差都住在这里，早餐也很不错，实到沈阳值得居住的酒店！', '短评打分': 5}
{'短评内容': '宾馆地理位置非常好，龙之梦、小十字街都很近，新装修过，但是早餐太一般了，只能是吃饱，另外wifi信号太差，需要开着门才可以链接上', '短评打分': 4}
{'短评内容': '很划算，房间大，整洁，楼下有超市', '短评打分': 5}
{'短评内容': '还行吧，经济型', '短评打分': 5}
{'短评内容': '房间内没有暖气，冬天只有空调，温度设在30度，整体屋内都很冷，房间内应有的椅子和茶几也没有，房间内没有防盗链，门锁不好使。服务态度还可以', '短评打分': 1}
{'短评内容': '很好够些档次', '短评打分': 3}
